Latvian	Old Prussian	probability
ˈɛː	-	1.0
ˈɛ	e	1.0
ˈuɔ̯	a_ŋ	1.0
ˈu	u	1.0
ˈi	i	1.0
ˈaː	o	1.0
ˈai̯	aːi̯	1.0
ˈa	a	1.0
ʦ	k_i	1.0
ʣ	ɡ	1.0
ʎ	l_u	1.0
ʃ	s	1.0
ɲ	iː_n	1.0
ɡ̊	ɡ_i	1.0
ɡ	ɡ	1.0
æ	a	1.0
z̥	z	1.0
z	z	1.0
w	v_a	1.0
v_ˈiɛ̯	ai̯	1.0
t	t	1.0
r̩	r	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k	k	1.0
e	i_ɡ	1.0
d	d	1.0
b	b	1.0
aː	a	1.0
n	n	0.887
a	o	0.833
ˈiɛ̯	-	0.766
v	v	0.729
s	s	0.675
ˈau̯	au̯	0.667
ɛ	i	0.667
i	-	0.605
ˈuː	u	0.564
ˈæ	e	0.534
ˈæ	a	0.466
i	i	0.395
ˈau̯	aːu̯	0.333
ɛ	eː	0.333
ˈuː	v_u	0.302
v	w	0.271
ˈiɛ̯	j	0.234
a	aː	0.167
ˈuː	uː	0.134
n	n_a	0.113
s	-	0.11
s	n	0.1
s	a_n	0.083
