Spanish	Asturian	probability
β_ˈa	β_ˈa	1.0
β	β	1.0
ˈu	ˈu	1.0
ˈo_ɾ	ˈo_ɾ	1.0
ˈi_x	f_ˈi	1.0
ˈi_o	ˈi_u	1.0
ˈe_β	ˈe_β	1.0
ˈe_ɣ	ˈe	1.0
ˈe_t	ˈe_t	1.0
ˈe_s	ˈe_s	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ɾ_β	ɾ_β	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_t	ɾ_t	1.0
ɾ_e	e	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_o	u	1.0
w_ˈe	ˈo	1.0
w	w	1.0
u	u	1.0
t_a	t_a	1.0
t	t	1.0
s_o	s_u	1.0
s_e	s_e	1.0
s	s	1.0
r	r	1.0
p_o	p_u	1.0
p	p	1.0
o_ɾ	o_ɾ	1.0
o_l	o_l	1.0
n	n	1.0
m_b	m	1.0
m	m	1.0
l_ˈe	ʎ_ˈe	1.0
l_o	l_u	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j_ˈe	ˈe	1.0
j	j	1.0
f	f	1.0
e_ɾ	e_ɾ	1.0
d	d	1.0
b_ˈe	b_ˈe	1.0
b	b	1.0
a_ɾ	a_ɾ	1.0
a_n	a_n	1.0
a	a	1.0
ˈe	ˈe	0.988
e	e	0.981
ð	ð	0.963
θ	θ	0.953
ˈo	ˈo	0.907
ˈi	ˈi	0.851
ɟ͡ʝ	ʎ	0.754
o	u	0.739
i	i	0.721
x	ʝ	0.56
ʝ	ʎ	0.54
l	l	0.528
l	ʎ	0.472
x	ʃ	0.338
i	e	0.279
o	o	0.261
ɟ͡ʝ	ʃ	0.246
ʝ	ˈe_ʎ	0.245
ʝ	ʝ	0.215
x	ˈe_ʝ	0.102
ˈi	j	0.096
ˈo	w	0.093
ˈi	ˈi_β	0.053
