Aragonese	Aragonese	probability
θ_#>	z_e_#>	1.0
β_ɾ	r	1.0
ˈu_j	ˈɔ	1.0
ˈe_ʎ	ʧ	1.0
ˈe_w	v_e	1.0
ˈe_n	ŋ_t	1.0
ˈe_j	ˈɛ	1.0
ʝ	-	1.0
ʎ_o	o	1.0
ʃ	s	1.0
ɾ_ˈe	r_ˈe	1.0
ɾ_o	r_o	1.0
ɾ_n	r_n	1.0
ɾ_m	r_m	1.0
ɾ_a	r_a	1.0
ɾ_#>	r_#>	1.0
ð_a	a	1.0
z	z_o	1.0
w_ˈa	w_ˈa	1.0
u	-	1.0
s_k	s_k	1.0
s_a	z_a	1.0
s_#>	#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o_s	i	1.0
o_#>	#>	1.0
n_o	ŋ	1.0
n_#>	ŋ_#>	1.0
l_ˈe	ˈe	1.0
l_ˈa	j_ˈa	1.0
k_l	ʧ	1.0
k	k	1.0
j_t	t	1.0
f	f	1.0
e_ʝ	ˈe_d	1.0
e_ð	e	1.0
e_s	s	1.0
e_#>	#>	1.0
d	d	1.0
b_ɾ	e	1.0
<#_θ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
ˈa	ˈa	0.963
o	o	0.956
t	t	0.935
a	a	0.924
m	m	0.897
ɾ	r	0.88
ʧ	z	0.846
ɣ	ɡ	0.846
ˈi	ˈi	0.833
<#_l	<#_ɰ	0.818
ŋ	ŋ	0.778
β	v	0.706
j_ˈe	ˈɛ	0.688
ʎ_a	a	0.667
ɲ	ɲ	0.667
n	n	0.667
l_#>	l_#>	0.667
ˈo	ˈo	0.645
ˈu	ˈu	0.6
e_n	e_ŋ	0.6
#>	e_#>	0.583
b	v	0.562
θ	s	0.556
ʎ	ʧ	0.556
ɡ	ɡ	0.556
e	e	0.533
w_ˈe	ˈo	0.522
ð	d	0.5
ð	-	0.5
w	-	0.5
j_#>	r_e_#>	0.5
j_#>	e_#>	0.5
<#	<#_z	0.5
<#	<#_l	0.5
w_ˈe	ˈɔ	0.478
ˈe	ˈe	0.429
j	j	0.429
#>	o_#>	0.417
e_n	e	0.4
l	ɰ	0.385
i	i	0.375
i	-	0.375
b	b	0.344
ʎ_a	j_a	0.333
ɲ	n	0.333
n	ŋ	0.333
l_#>	e_#>	0.333
j_ˈe	ˈe	0.312
ˈo	ˈɔ	0.29
j	ˈi	0.286
j	-	0.286
w	ˈɔ	0.25
w	ˈo	0.25
i	a	0.25
ˈu	ˈo	0.24
ˈe	ˈɛ	0.238
l	j	0.231
θ	z_a	0.222
θ	z	0.222
ʎ	ʤ	0.222
ʎ	ɰ	0.222
ɡ	ʤ	0.222
ɡ	k	0.222
ŋ	-	0.222
ˈe	e	0.214
<#_l	<#	0.182
β	b	0.176
ˈu	ˈɔ	0.16
ʧ	-	0.154
ɣ	-	0.154
l	l	0.154
e	o	0.133
e	i	0.133
ɾ	-	0.12
ˈe	-	0.119
β	-	0.118
l	o	0.115
l	-	0.115
m	ŋ	0.103
ˈi	-	0.1
b	-	0.094
a	-	0.076
ˈi	e	0.067
e	ˈe	0.067
e	a	0.067
e	-	0.067
ˈo	-	0.065
t	-	0.065
