Neapolitan	Neapolitan	probability
ˈi_ɾ	ˈɛ_ɾ	1.0
ˈa_t	ˈa_ð	1.0
ʧː	o_k	1.0
ʧ	k	1.0
ʦː	t	1.0
ʦ	ʦ	1.0
ʤː	-	1.0
ʎː	ʣ	1.0
ʃː	s	1.0
ʃ_ˈi	k_ˈi	1.0
ʃ_ə	k_ɛ	1.0
ɾ_ə	ɾ_ɛ	1.0
ɾ_n	r	1.0
ɡ_ə	ɛ	1.0
ə_ɾ	ɛ_ɾ	1.0
ə_#>	#>	1.0
ŋ	m	1.0
w_ˈɔ	ˈo	1.0
tː	t	1.0
t_ə	t_a	1.0
t	t	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
p	p	1.0
nː	nː	1.0
mː_ə	m_i	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː_j	k_ɾ	1.0
kː	k	1.0
k_ˈa	k_ˈa	1.0
k_j	p_ɾ	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	ɡ_ˈe	1.0
fː	f	1.0
f	f	1.0
e	i	1.0
dː	ɣ_i	1.0
bː	-	1.0
b_w	b	1.0
b	b	1.0
a_t	a_t	1.0
a	a	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
#>	ɛ_#>	1.0
ˈa	ˈa	0.953
k	k	0.917
n	n	0.915
d	d	0.857
ˈɔ	ˈɔ	0.842
ˈi	ˈi	0.828
ˈɛ	ˈɛ	0.8
w	-	0.778
ˈu	ˈu	0.756
r	ɾ	0.733
ɾ	ɾ	0.73
lː	ɖː	0.714
ˈo	ˈɔ	0.692
v	b	0.676
ɡ	ɡ	0.625
<#_a	<#_a	0.6
u	u	0.556
i	i	0.538
ʤ	ʣ	0.5
ʤ	-	0.5
o	ɔ	0.5
o	u	0.5
ˈe	ˈi	0.471
ʃ	k	0.444
u	ɔ	0.444
ə	u	0.437
<#_a	<#	0.4
ʃ	i_s	0.389
ɲː	ŋ_ɡ	0.375
ɡ	-	0.375
ˈo	ˈu	0.308
ˈe	ˈɛ	0.294
lː	-	0.286
j	ʣ	0.273
r	r	0.267
v	β	0.265
ə	a	0.263
ɲː	nː	0.25
ɲː	n_ʣ	0.25
i	ɛ	0.231
i	-	0.231
w	b	0.222
ɾ	ð	0.216
ˈɛ	ˈe	0.2
ə	ɛ	0.2
ˈu	ˈɔ	0.195
j	ɾ	0.182
j	ɛ̆	0.182
j	j_z	0.182
j	-	0.182
ʃ	f_ɾ	0.167
ˈɔ	-	0.158
d	-	0.143
ɲː	ɲ	0.125
ˈe	ˈɛ_z	0.118
ˈe	-	0.118
ˈi	ˈɛ	0.103
n	nː	0.085
k	-	0.083
ˈi	ɛ_ɾ	0.069
v	-	0.059
ɾ	r	0.054
