Romanian	Spanish	probability
a	a	0.882
a	e	0.118
b	b	0.466
b	β	0.369
b	-	0.113
b	ɡ	0.052
d	d	0.555
d	-	0.255
d	t	0.072
e	-	0.547
e	e	0.186
e	a	0.185
e̯ˈa	ˈe	1.0
f	-	0.883
f	f	0.106
i	i	0.369
i	e	0.33
i	-	0.107
i	ˈa	0.084
i	ˈi	0.061
j	-	0.481
j	j	0.295
j	x	0.134
k	k	0.532
k	ɣ	0.313
k	x	0.061
k	ɟ͡ʝ	0.054
kʲ	x	1.0
l	l	0.776
l	-	0.144
l	ʝ	0.066
m	m	0.809
m	-	0.153
n	n	0.785
n	-	0.105
n	ɲ	0.082
nʲ	n	1.0
o	o	0.728
o	-	0.136
o	a	0.136
o̯ˈa	w	0.404
o̯ˈa	ˈo	0.349
o̯ˈa	o	0.152
o̯ˈa	ˈa	0.059
p	p	0.649
p	β	0.152
p	ʧ	0.093
p	-	0.053
r	ɾ	0.8
r	l	0.092
r	r	0.072
s	s	0.844
s	ˈe_s	0.061
t	ð	0.353
t	t	0.336
t	-	0.243
u	o	0.533
u	-	0.216
u	ˈo	0.136
u	ˈu	0.053
v	b	1.0
w	o	0.21
w	j	0.206
w	a	0.153
w	ˈe	0.14
w	-	0.119
w	ˈo	0.094
w	β_o	0.078
z	d	0.774
z	-	0.133
z	k	0.077
ŋ	ɲ	0.786
ŋ	-	0.214
ə	a	0.689
ə	-	0.1
ə	e	0.08
ə	o	0.061
ɡ	ɡ	0.526
ɡ	ɣ	0.265
ɡ	-	0.208
ɨ	ˈa	0.656
ɨ	-	0.344
ʃ	s	0.504
ʃ	θ	0.475
ʒ	x	0.574
ʒ	ʝ	0.426
ʤ	-	0.731
ʤ	ɡ	0.075
ʤ	θ	0.075
ʤ	ɟ͡ʝ	0.063
ʤ	x	0.055
ʦ	θ	0.463
ʦ	t	0.364
ʦ	-	0.108
ʦ	ʝ	0.064
ʦʲ	ð	1.0
ʧ	θ	0.897
ʧʲ	t	0.661
ʧʲ	ŋ	0.339
ˈa	ˈa	0.691
ˈa	ˈe	0.181
ˈa	j	0.061
ˈe	ˈe	0.759
ˈe	-	0.165
ˈe	ˈa	0.056
ˈi	ˈe	0.483
ˈi	ˈi	0.372
ˈi	-	0.121
ˈo	w	0.507
ˈo	ˈo	0.354
ˈo	ˈu	0.072
ˈo	ˈe	0.067
ˈu	ˈo	0.39
ˈu	ˈu	0.36
ˈu	w	0.138
ˈu	ˈi	0.061
ˈu	o	0.051
ˈə	ˈe	0.597
ˈə	a	0.403
ˈɨ	ˈa	0.812
ˈɨ	j	0.101
ˈɨ	ˈi	0.088
