Bavarian	West Flemish	probability
a	ɾ	0.704
a	-	0.182
a	ə	0.114
b̥	b	0.763
b̥	v	0.109
b̥	f	0.096
d̥	t	0.526
d̥	d	0.408
d̥	-	0.066
f	v	0.901
f	p	0.099
h	z	0.841
h	ɦ	0.159
i	ɪ	0.388
i	ˈu	0.388
i	ə	0.225
j	l	0.596
j	w	0.249
j	j	0.107
k	-	0.621
k	k	0.379
kʰ	k	0.977
l	l	0.935
m	m	0.79
m	v	0.117
m	-	0.093
n	n	0.934
n	-	0.066
p	f	0.5
p	p	0.5
p͡f	p	0.881
p͡f	f	0.119
r	ɾ	0.908
s	s	0.354
s	t	0.339
s	z	0.307
t	t	0.767
t	-	0.134
t	d	0.098
x	h	0.546
x	k	0.454
ç	k	1.0
ŋ	ŋ	0.633
ŋ	m	0.171
ŋ	-	0.106
ŋ	ɦ_n	0.09
ɐ	ɾ	0.973
ə	ə	1.0
ɡ̊	ɦ	0.779
ɡ̊	h	0.072
ɡ̊	-	0.062
ʃ	s	0.565
ʃ	ʃ	0.328
ʃ	z	0.107
ʋ	ʋ	0.952
ʦ	t	0.848
ʦ	t_ə	0.152
ˈa	ˈɑ	0.392
ˈa	ˈiə̯	0.259
ˈa	ˈɔ	0.189
ˈa	ˈæ	0.111
ˈai̯	ˈiə̯	0.356
ˈai̯	ˈi	0.33
ˈai̯	ˈyː	0.138
ˈai̯	ˈɛ	0.092
ˈai̯	ˈeː	0.085
ˈau̯	ˈyː	0.594
ˈau̯	ˈu	0.299
ˈau̯	ˈoː	0.107
ˈaː	ˈoː	0.701
ˈaː	ˈɒː	0.299
ˈe	ˈæ	0.372
ˈe	ˈeː	0.253
ˈe	ˈiə̯	0.113
ˈe	ˈɛ	0.113
ˈe	ˈɛː	0.102
ˈeɐ̯	ˈiə̯	0.58
ˈeɐ̯	ˈuə̯	0.42
ˈeː	ˈeː	0.504
ˈeː	ˈiə̯	0.415
ˈeː	ˈoː	0.067
ˈi	ˈɪ	0.572
ˈi	ˈæ	0.1
ˈi	ˈiə̯	0.076
ˈi	ˈœ	0.068
ˈi	ˈoː	0.067
ˈiɐ̯	ˈiə̯	0.634
ˈiɐ̯	ˈuə̯	0.248
ˈiɐ̯	ˈœ	0.118
ˈiː	ˈeː	0.416
ˈiː	ˈɛ	0.354
ˈiː	ˈiə̯	0.23
ˈo	ˈɑ	0.273
ˈo	ˈœ	0.248
ˈo	ˈɔ	0.194
ˈo	-	0.159
ˈo	ˈɛ	0.126
ˈou̯	ˈoː	1.0
ˈoɐ̯	ˈɛː	0.395
ˈoɐ̯	ˈoː_ɾ	0.217
ˈoɐ̯	ˈoː	0.154
ˈoɐ̯	ˈeː	0.091
ˈoː	ˈɒː	0.475
ˈoː	ˈɑ	0.325
ˈoː	ˈøː	0.125
ˈoː	ˈoː	0.075
ˈu	ˈu	0.42
ˈu	ˈuə̯	0.135
ˈu	ˈæ	0.135
ˈu	ˈɔ	0.115
ˈu	ˈiə̯	0.086
ˈu	ˈøː	0.056
ˈuɐ̯	ˈuə̯	1.0
ˈy	ˈoː	1.0
ˈɑː	ˈɒː	1.0
ˈɒ	ˈɒː	0.686
ˈɒ	ˈɑ	0.314
ˈɒː	ˈɒː	0.615
ˈɒː	ˈɑ	0.385
ˈɔ	ˈɑ	0.434
ˈɔ	ˈɔ	0.29
ˈɔ	ˈɒː	0.235
ˈɛ	ˈɛː	0.293
ˈɛ	ˈeː	0.251
ˈɛ	ˈɪ	0.165
ˈɛ	ˈɒː	0.147
ˈɛ	ˈɔ	0.052
ˈɛː	ˈɛː	0.85
ˈɛː	ˈɒː	0.15
