Gothic	Gothic	probability
θ_u	d̥	1.0
θ_s	d̥	1.0
ˈɛː_w	ˈi	1.0
ˈɔː_s	ʀ	1.0
ˈuː	ˈuː	1.0
ˈiː_s	ˈɛːi̯	1.0
ˈiː	ˈiː	1.0
ˈeː	ˈɒː	1.0
ʍ	β	1.0
ɡʷː	ˈœi̯	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ	ŋ	1.0
ð	-	1.0
z	-	1.0
x	ɣ̊	1.0
t_#>	d̥_#>	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_u	ə_ʀ	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_s	n_ə	1.0
n_#>	#>	1.0
m_s	ə_m	1.0
m	m	1.0
lː	l	1.0
l_s	ə_l	1.0
l_b	v̥	1.0
kʷ	-	1.0
k_s	s	1.0
iː	-	1.0
h_t	x	1.0
f_s	v̥	1.0
e	ə	1.0
d_u	d̥	1.0
d_s	d̥	1.0
d	d	1.0
b	b	1.0
a_#>	#>	1.0
<#_θ	<#_d	1.0
<#_ˈu	<#	1.0
<#_ɡ	<#_ɣ	1.0
<#_t	<#_t	1.0
<#_s	<#_z	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
r	ʀ	0.938
a	ə	0.909
w	β	0.9
f	v	0.824
l	l	0.818
k	k	0.778
ˈɛ	-	0.75
n	n	0.743
ˈoː	ˈʊː	0.714
h	ɦ	0.708
ˈiu̯	ˈeː	0.7
ˈɛː	ˈɛː	0.667
ɣ	-	0.667
j	-	0.667
i	-	0.667
β	v	0.6
ɡ_s	k	0.6
ˈɔ	ˈʊː	0.571
ɡ	ɣ	0.571
u	ə	0.571
θ	d̥	0.545
ˈɔː	ˈu	0.5
ˈɔː	-	0.5
s	s	0.5
ˈu	ˈʊː	0.438
ɡ	-	0.429
u	-	0.429
β	ˈœ	0.4
ɡ_s	ɣ̊	0.4
ˈa	ˈaː	0.364
ˈɛː	-	0.333
ɣ	ɡ	0.333
j	j	0.333
i	ə	0.333
ˈiu̯	-	0.3
ˈɔ	ˈu	0.286
ˈoː	ˈøː	0.286
ˈi	ˈɪː	0.281
θ	-	0.273
ˈɛ	ˈeː	0.25
k	x	0.222
ˈa	ˈɑ	0.212
h	-	0.208
ˈu	ˈɔ	0.188
ˈi	ˈeː	0.188
θ	d	0.182
ˈa	-	0.182
f	v̥	0.176
s	ʀ	0.167
ˈɔ	ˈœː	0.143
n	ə	0.143
l	j	0.136
ˈu	ˈɔː	0.125
ˈu	-	0.125
ˈi	ˈɛː	0.125
ˈa	ˈɑː	0.121
s	ɣ̊	0.111
s	z̥	0.111
s	n	0.111
w	-	0.1
ˈi	ˈɛ	0.094
a	-	0.091
h	x	0.083
ˈu	ˈʊ	0.062
ˈu	ˈoː	0.062
ˈi	ˈʏː	0.062
ˈi	ˈɪ	0.062
ˈi	ˈæː	0.062
ˈi	ˈi	0.062
ˈi	-	0.062
r	ʀ_ə	0.062
ˈa	ˈæː	0.061
ˈa	ˈæ	0.061
n	ʀ	0.057
n	-	0.057
