Lower Sorbian	Czech	probability
ˈɪ_s	ˈiː_s	1.0
ˈɔ_v	ˈa_v	1.0
ˈe	ˈɛ	1.0
ˈa_s	ˈɛ_s	1.0
ʨ_#>	t_#>	1.0
ʦ_#>	ʦ_#>	1.0
ʦ	ʦ	1.0
ʑ	ɟ	1.0
ɲ	n	1.0
ɨ_m_#>	m̩_#>	1.0
ɨ_#>	iː_#>	1.0
ɡ	ɦ	1.0
ɛ	ɛ	1.0
ɕ_#>	t_#>	1.0
z	z	1.0
x	x	1.0
w_#>	l_#>	1.0
v_<#	<#	1.0
v	v	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ	r̝	1.0
r_ˈɔ	r_ˈaː	1.0
p_#>	p_#>	1.0
p	p	1.0
n	n	1.0
mʲ	m_ɲ	1.0
l_#>	l_#>	1.0
kʲ_i	k_iː	1.0
i	ɪ	1.0
e	ɛ	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ʦ	<#_ʧ	1.0
<#_ʑ	<#_d	1.0
<#_ʐ	<#_ʒ	1.0
<#_ɡ	<#_ɦ	1.0
<#_ɕ	<#_c	1.0
<#_z	<#_z	1.0
<#_vʲ	<#_v	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_pʲ	<#_p	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_mʲ	<#_m	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_v	1.0
a_#>	a_#>	0.889
w	l	0.875
ɔ_#>	o_#>	0.857
<#_s	<#_s	0.8
ˈu	ˈu	0.714
ˈɛ	ˈo	0.692
ˈi	ˈɪ	0.667
k	k	0.667
l	l	0.625
k_#>	k_#>	0.625
ˈɨ	ˈɪ	0.6
ʂ	ʃ	0.6
r	r	0.6
ˈɔ	ˈo	0.5
ɲ_#>	ɲ_#>	0.5
ɲ_#>	n_#>	0.5
ɕ	t	0.5
ɕ	r̝̊	0.5
vʲ	v_j	0.5
vʲ	v	0.5
ˈɨ	ˈiː	0.4
ʂ	r	0.4
r	ˈr̩	0.4
l	l_ˈɛː	0.375
k_#>	x_#>	0.375
ˈi	ˈiː	0.333
ˈa	ˈɛ	0.333
k	ɛ	0.333
ˈɪ	ˈɛ	0.308
ˈɪ	j_ˈɛ	0.308
ˈu	ˈou̯	0.286
ˈa	ˈa	0.267
ˈa	-	0.267
ˈɪ	ˈiː	0.231
ˈɔ	ˈuː	0.222
<#_s	<#	0.2
ˈɔ	ˈɛ	0.167
ˈɪ	ˈa	0.154
ˈɛ	ˈɛ	0.154
ˈɛ	ˈuː	0.154
ɔ_#>	ɛ_#>	0.143
ˈa	ˈaː	0.133
w	ˈl̩	0.125
ˈɔ	-	0.111
a_#>	ɛ_#>	0.111
