Gascon	Gascon	probability
β	β	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ˈe_j	j	1.0
ˈa_w	ˈo	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʦ	θ	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ɾ_ɔ	ɾ_a	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ŋ_#>	n_#>	1.0
z_ɔ	s_a	1.0
w_t	t	1.0
w_r	ɾ_o	1.0
u_l	o_l	1.0
t_#>	#>	1.0
s_#>	s_#>	1.0
r_ˈa	ɾ_ˈa	1.0
r_#>	ɾ_n_o_#>	1.0
r	ɾ	1.0
p	p	1.0
nː	-	1.0
n_ˈa	n_w	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
j_r	j	1.0
j_#>	ʝ_o_#>	1.0
h	f	1.0
b	b	1.0
a_r	r	1.0
a_n	a_n	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
ɔ	a	0.965
ɾ	ɾ	0.92
a	a	0.913
l	l	0.88
k	k	0.877
ˈa	ˈa	0.873
d	d	0.867
ˈe	ˈe	0.846
<#_e	<#_e	0.818
s	s	0.808
ʒ	ʧ	0.769
ˈi	ˈi	0.75
ð	ð	0.75
t	t	0.744
ˈy	ˈu	0.696
ˈɔ	w_ˈe	0.667
<#_s	<#_s	0.654
w_#>	l_o_#>	0.625
#>	o_#>	0.609
u	o	0.583
z	θ	0.571
ŋ	n_o	0.533
j	j	0.524
ˈɛ	j_ˈe	0.517
ˈu	ˈo	0.469
ŋ	ŋ	0.467
i	i	0.444
w	w	0.423
u	u	0.417
e	e	0.378
w_#>	l_#>	0.375
<#_s	<#_θ	0.346
ˈɔ	ˈo	0.333
i	-	0.333
z	s	0.286
j	-	0.286
ˈɛ	ˈe	0.276
ˈu	w_ˈe	0.25
ð	ʝ	0.25
ʒ	-	0.231
w	o	0.231
i	b_ɾ	0.222
j	ˈe	0.19
ˈu	ˈu	0.188
<#_e	<#	0.182
e	ˈe_ɾ	0.156
ˈe	e	0.154
z	z	0.143
#>	e_#>	0.141
d	-	0.133
ˈy	ˈu_ɾ	0.13
t	ʎ_o	0.128
t	ð	0.128
l	ʎ	0.12
w	-	0.115
s	θ	0.115
e	ɾ_o	0.111
ˈi	-	0.107
ˈɛ	j	0.103
ˈɛ	-	0.103
ˈu	ˈo_ɾ	0.094
ˈy	ˈu_j	0.087
ˈy	ˈo	0.087
a	a_ð	0.087
ɾ	-	0.08
#>	t_o_#>	0.078
w	β	0.077
w	ˈo	0.077
w	l	0.077
s	p_o	0.077
ˈi	ˈi_n	0.071
ˈi	ˈe	0.071
k	ɡ	0.07
e	ˈi_ɾ	0.067
e	i	0.067
ˈa	ˈo	0.055
k	ɣ_o	0.053
