Auvergnat	Auvergnat	probability
ˈɪ̃	-	1.0
ˈɛ	j	1.0
ˈɔ_ʀ	ɾ_t	1.0
ˈœ	ˈɔ	1.0
ˈy	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_ʀ	ˈɛ_ɾ	1.0
ˈã	ˈa	1.0
ˈa_l	l	1.0
ˈa_#>	ˈa_#>	1.0
ʧ_ɔ	kː_ə	1.0
ʎ_ˈy	l_ˈu	1.0
ʃ	ʃ	1.0
ʀ_ə	ɾ_ə	1.0
ɪ	ʃ	1.0
ɥ	ɾ_ə	1.0
ə_#>	#>	1.0
œ	-	1.0
w_ˈɔ	ˈɔ	1.0
w_#>	v_ə_#>	1.0
vʲ	v	1.0
v	v	1.0
ũ	-	1.0
t_ˈa	t_ˈa	1.0
s_#>	ə_#>	1.0
pʲ	p_ˈe	1.0
p_l	k_j	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
lː	s_u	1.0
k_#>	k_ə_#>	1.0
ĩ	i	1.0
i	-	1.0
fʲ	f	1.0
e	ə	1.0
dʲ	d	1.0
d_ʀ	ə_ɾ	1.0
b_ʀ	p	1.0
a	a	1.0
<#_ʤ	<#_j	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	ə_#>	0.977
ɔ	ə	0.961
f	f	0.933
m	m	0.85
ˈi	ˈi	0.833
ɲ	-	0.833
z	-	0.8
ˈɔ	ˈɔ	0.75
ɡ	ɡ	0.75
ˈu	ˈu	0.739
k	k	0.737
ʧ	k	0.727
ˈẽ	ˈɛ	0.714
u	u	0.714
ˈa	ˈa	0.69
ˈe_j	ˈa	0.667
ɒ	a	0.667
<#_ˈa	<#_ˈa	0.667
ˈɔ̃	ˈɔ	0.6
ˈũ	ˈo	0.6
ʎ_ɔ	ʎː_ə	0.6
<#	<#_w	0.6
j	ə	0.571
ə	ə	0.536
ʀ	ɾ	0.525
ˈe	j_ˈɛ	0.5
ʎ	kː_j	0.5
d	t	0.5
d	d	0.5
b	b	0.5
w	w	0.485
ˈɪ	ˈi	0.455
ʤ	-	0.455
ŋ	n	0.447
t	tː	0.417
l	l	0.407
ˈɔ̃	n	0.4
ˈũ	-	0.4
ʎ_ɔ	ə	0.4
<#	<#_a	0.4
s	s	0.372
ˈɪ	ˈe	0.364
s	ʃ	0.349
ˈe_j	ˈa_t	0.333
t	t	0.333
b	v	0.333
<#_ˈa	<#	0.333
l	lː	0.296
ˈẽ	-	0.286
u	-	0.286
j	tː_ə	0.286
ˈe	ˈɛ	0.273
ʀ	r	0.25
ɡ	-	0.25
t	s_t	0.25
ɒ	-	0.2
z	ʧ	0.2
ŋ	ŋ	0.184
ˈɪ	-	0.182
ʤ	ʤː	0.182
ʤ	ʤ	0.182
ʤ	j_ˈe	0.182
w	ˈɔ	0.182
w	-	0.182
ə	i	0.179
ˈu	ˈo	0.174
ˈi	-	0.167
ʎ	ʎː	0.167
ʎ	ə	0.167
ʎ	l	0.167
ɲ	ɲ	0.167
b	p	0.167
ŋ	n_t	0.158
k	k_w	0.158
m	mː	0.15
j	-	0.143
ˈe	ˈe	0.136
ɒ	ˈa	0.133
ˈɔ	ɾ	0.125
ˈɔ	-	0.125
s	ʃː	0.116
l	j	0.111
l	-	0.111
k	ɡ_ə	0.105
ˈa	-	0.103
ˈe	-	0.091
ʧ	ʧː_ˈi	0.091
ʧ	ʃ	0.091
ʧ	-	0.091
w	v	0.091
ˈu	ˈu_tː	0.087
ŋ	ə	0.079
ŋ	nː	0.079
ʀ	-	0.075
l	ˈɛ_lː	0.074
ə	ˈɛ	0.071
ə	ɾ_ə	0.071
ə	ɾ	0.071
ə	o	0.071
s	ʦː	0.07
ˈa	ˈɛ	0.069
ˈa	ˈa_ɾ	0.069
ˈa	a	0.069
f	fː	0.067
w	ə	0.061
ŋ	t	0.053
