Ukrainian	Lower Sorbian	probability
ˈɪ_j	ɨ	1.0
ˈɔ_#>	ɔ_#>	1.0
ˈu	ˈu	1.0
ˈi_ɦ	ˈɔ_k	1.0
ʧ	ʦ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʋʲ	vʲ	1.0
ʊ	ˈu	1.0
ɫ_e	w	1.0
ɦ_ˈɔ	ɡ	1.0
ɦ_ɔ	ɡ_ˈɛ	1.0
ɦ	ɡ	1.0
ɔ_r	r	1.0
ɔ_#>	ɔ_#>	1.0
zʲ	z	1.0
z	z	1.0
w	v	1.0
t_e	ɕ	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	pʲ	1.0
nʲ_#>	ɲ_#>	1.0
nʲ	n	1.0
n_e	n	1.0
mʲ	mʲ	1.0
lʲ	l	1.0
kʲ	k	1.0
k_e	kʲ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɑ	ˈɪ	1.0
e_j	ɨ	1.0
e	ˈe	1.0
d_#>	t_#>	1.0
<#_ɫ	<#_l	1.0
<#_w	<#	1.0
tʲ	ɕ	0.818
t	t	0.778
n	n	0.714
m	m	0.692
ˈɑ	a	0.667
ʋ	v	0.667
d	d	0.667
x	x	0.625
p	p	0.625
rʲ	rʲ	0.6
b	p	0.6
ˈɛ	ˈa	0.571
r	r	0.565
ʒ	ʐ	0.5
ʒ	ʂ	0.5
ɫ	w	0.5
ɛ	ˈe	0.5
ɛ	ɔ	0.5
ɔ	ˈɔ	0.5
ɐ	a	0.5
ˈɔ	ˈɔ	0.474
j	ɨ	0.467
ˈɛ	ˈe	0.429
i	ˈɪ	0.429
ˈɪ	ˈɨ	0.417
ˈɪ	ˈi	0.417
rʲ	r	0.4
b	b	0.4
x	k	0.375
p	pʲ	0.375
ˈi	ˈɪ	0.37
ˈɑ	ˈa	0.333
ʋ	vʲ	0.333
m	mʲ	0.308
ˈi	ˈɔ	0.296
ɔ	-	0.286
n	ɲ	0.286
i	e	0.286
i	-	0.286
j	i	0.267
ɫ	l	0.25
t	ɕ	0.222
d	ʑ	0.222
ɔ	ˈɛ	0.214
ˈi	ˈɛ	0.185
tʲ	ʨ	0.182
r	rʲ	0.174
ˈɪ	i	0.167
ɐ	ˈɪ	0.167
ɐ	ˈa	0.167
ɐ	e	0.167
ˈɔ	ˈɛ	0.158
ˈɔ	w	0.158
j	j	0.133
j	-	0.133
r	ʂ	0.13
r	ɕ	0.13
ɫ	d_w	0.125
ɫ	-	0.125
d	t	0.111
ˈɔ	ˈe	0.105
ˈɔ	ˈa	0.105
ˈi	ˈe	0.074
ˈi	ɛ	0.074
