Ligurian	Ligurian	probability
ˈɛː_r	ˈɛ_r	1.0
ˈɛ	-	1.0
ˈe_l	ˈɛː	1.0
ɲ	ɲ	1.0
ɥ	u_d	1.0
ɡ_u	ˈɛ_w	1.0
ɔː	-	1.0
ŋ_#>	n_#>	1.0
y	i	1.0
w_ˈiː	ˈu_s	1.0
v_u_#>	f_#>	1.0
u_#>	#>	1.0
t_u_#>	ʨ_#>	1.0
s_u_#>	s_#>	1.0
r_u	ə_r	1.0
r_n	r_n	1.0
r	r	1.0
p	p	1.0
o	-	1.0
n	n	1.0
m_e_#>	m_#>	1.0
m	m	1.0
k_r	k_r	1.0
i	-	1.0
f	f	1.0
e_r	e_r	1.0
e_#>	#>	1.0
d_u	t	1.0
d_e	t	1.0
b	b	1.0
a_#>	#>	1.0
<#_ʧ	<#_k_l	1.0
<#_ʒ	<#_ʒ_ɡ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
<#	<#_ə	1.0
a	ə	0.928
d	d	0.889
<#_l	<#_l	0.867
ʒ	ʃ	0.846
v	v	0.844
t	t	0.833
ŋ	n	0.774
ˈu	ˈu	0.75
ʤ	ʎ	0.75
l	l	0.667
k	ʨ	0.659
ˈi	ˈiː	0.625
u	r	0.615
ˈyː	ˈi	0.6
ˈɔ	ˈɔ	0.571
ˈy	ˈu	0.556
s	s	0.533
ˈɛː	ˈa	0.5
ˈɔː	ˈɔː	0.5
ˈɔː	ˈa_w	0.5
ˈuː	ˈuː	0.5
ˈuː	ˈu	0.5
ˈaː	ˈaː_r	0.5
ʧ	p_l	0.5
ʧ	-	0.5
ɡ_u_#>	k_#>	0.5
ɡ_u_#>	#>	0.5
ɡ	-	0.5
ˈa	ˈa	0.484
ˈøː	ˈɔ	0.455
ˈø	-	0.444
#>	l_#>	0.438
ˈɔ	-	0.429
ʃ	ʃ	0.429
w	-	0.417
ˈyː	-	0.4
ˈeː	ˈɛ	0.389
ˈiː	ˈiː_r	0.375
ˈiː	ˈiː	0.375
ˈi	ˈi	0.375
z	ʃ	0.364
z	-	0.364
k	k	0.341
ˈø	ˈo	0.333
ɡ	ɡ	0.333
j	j	0.32
#>	r_#>	0.312
ˈe	ˈa	0.303
e	ə_r	0.3
e	ə	0.3
ʃ	f_l	0.286
ʃ	-	0.286
ˈøː	ˈɔː	0.273
ˈøː	j	0.273
ˈe	ˈɛ	0.273
z	ʥ	0.273
ˈɛː	ˈɛː	0.25
ˈɛː	-	0.25
ˈu	ˈuː	0.25
ˈiː	ˈi	0.25
w	w	0.25
#>	s_#>	0.25
s	ʧ	0.244
ˈaː	ˈa	0.231
u	u	0.231
ˈa	ˈa_w	0.226
ˈø	ˈɛ	0.222
ˈy	ˈiː	0.222
ˈy	ˈi	0.222
j	ə	0.2
e	i	0.2
ˈaː	ˈaː	0.192
ˈe	ˈe	0.182
ˈe	ˈa_j	0.182
s	ʃ	0.178
ˈeː	ˈeː	0.167
ˈeː	l	0.167
ˈeː	-	0.167
ɡ	ʥ	0.167
w	u_r	0.167
w	u	0.167
l	ˈɛː	0.167
l	ˈe	0.167
ˈa	ˈɔ	0.161
j	j_r	0.16
ʒ	ʧ	0.154
u	o	0.154
<#_l	<#_ʎ	0.133
ˈa	ˈaː	0.129
ŋ	ŋ	0.129
ʤ	ʥ	0.125
ʤ	ɡ_l	0.125
j	r	0.12
j	-	0.12
ˈeː	v	0.111
d	-	0.111
t	ʨ	0.1
e	ə_s	0.1
e	r	0.1
ŋ	m	0.097
v	f	0.094
j	ə_l	0.08
ˈaː	ˈa_w	0.077
t	-	0.067
v	-	0.062
ˈe	ˈeː	0.061
