Asturian	Asturian	probability
θ_#>	s_#>	1.0
β_ˈa	v_ˈa	1.0
β_u	w	1.0
β_e	w	1.0
ˈe_j	ˈɛ_j	1.0
ʝ_u_#>	j_#>	1.0
ʝ	j	1.0
ʎ_u	w	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_t	ʀ	1.0
ɾ_n	ʀ	1.0
ɾ_a	ɾ_ɔ	1.0
ɾ_#>	#>	1.0
ɣ_u	k	1.0
ɣ	ɡ	1.0
ɟ͡ʝ	-	1.0
ŋ	ŋ	1.0
ð_ɾ	j_ɾ	1.0
w_ˈa	ˈa	1.0
w_a	ɔ	1.0
u_#>	#>	1.0
t	t	1.0
s_ʎ	lː	1.0
s_k	s_k	1.0
r	ʀ	1.0
p_j	p_e	1.0
n_w	n_w	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
l_u	w	1.0
l_m	mː	1.0
l_#>	w_#>	1.0
k	k	1.0
f	f	1.0
e_#>	#>	1.0
<#_θ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
#>	e_#>	1.0
m	m	0.931
p	p	0.929
i	-	0.833
ʃ	ʤ	0.818
ʎ	l	0.815
e	e	0.812
d	d	0.786
ð	d	0.769
ˈa	ˈa	0.736
a	ɔ	0.732
ˈi	ˈi	0.714
ɡ	ɡ	0.7
j_ˈe	ˈɛ	0.7
s	s	0.696
ɾ_u	ɾ_e	0.667
w	w	0.667
ˈe	ˈe	0.661
ɲ	ɲ	0.625
s_#>	#>	0.625
ʧ	-	0.6
b	v	0.567
ɾ	ɾ	0.511
ˈe_ɾ	ɾ_e	0.5
ˈe_ɾ	e	0.5
l	l	0.5
<#	<#_ˈa	0.5
<#	<#_e	0.5
β	b	0.476
θ	s	0.462
o	u	0.455
b	b	0.433
n	n	0.429
j	j	0.429
ˈu	ˈy	0.4
ʧ	ʧ	0.4
θ	z	0.385
ˈo	ˈu	0.383
ɲ	-	0.375
s_#>	j_#>	0.375
l	w	0.357
ɾ_u	ʀ	0.333
w	ɥ	0.333
ɡ	k	0.3
j_ˈe	ˈẽ	0.3
n	ŋ	0.286
j	ˈɛ	0.286
j	-	0.286
u	-	0.278
ˈa	ˈã	0.264
ˈo	w	0.255
ð	-	0.231
o	e	0.227
d	-	0.214
ˈu	ˈỹ	0.2
β	v	0.19
β	-	0.19
a	a	0.183
ʃ	-	0.182
o	-	0.182
ɾ	ʀ	0.178
s	-	0.174
u	e	0.167
i	ĩ	0.167
θ	-	0.154
ˈu	ˈũ	0.15
ˈu	-	0.15
β	ɾ	0.143
ˈi	ˈĩ	0.143
ˈi	-	0.143
l	-	0.143
o	w	0.136
s	z	0.13
ˈo	ˈa_w	0.128
ʎ	p_l	0.111
u	ˈe	0.111
u	ʀ	0.111
u	ŋ	0.111
u	y	0.111
u	w	0.111
ˈo	ˈũ	0.106
ˈu	ɥ	0.1
ɾ	-	0.089
ˈe	-	0.081
ʎ	k_l	0.074
p	-	0.071
n	ˈẽ	0.071
n	ˈe_n	0.071
n	ŋ_d	0.071
n	-	0.071
m	-	0.069
ɾ	ˈe	0.067
ɾ	l	0.067
ˈe	ˈɛ	0.065
ˈe	ˈẽ	0.065
ˈe	j	0.065
e	i	0.062
e	ẽ	0.062
e	-	0.062
