Old French	Occitan	probability
<#_a	<#_a	1.0
<#_ã	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɔ	<#_a	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʦ	<#_s	1.0
<#_ʧ	<#_k	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈã	<#_ˈa	1.0
<#_ˈɔ	<#_ˈa_w	1.0
a	a	1.0
a_j	a	1.0
ã	a	1.0
b	β	1.0
d_r	d_ɾ	1.0
e	e	1.0
f_#>	w_#>	1.0
i	i	1.0
j_s	ʦ_#>	1.0
j_z	z	1.0
k_#>	k_#>	1.0
l_#>	l_#>	1.0
l_ˈã	l_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	#>	1.0
n_t	n_#>	1.0
o_j	ˈe_j	1.0
r_ə	e_#>	1.0
s	s	1.0
s_k	s_k	1.0
s_p	s_p	1.0
u	u	1.0
ũ_n	u_n	1.0
v	β	1.0
v_r	w_ɾ	1.0
w	-	1.0
w_#>	w_#>	1.0
w_t	w_t	1.0
w_ˈɛ	ˈɔ	1.0
z	z	1.0
ŋ	ŋ	1.0
ɔ	e	1.0
ə_n	e_n	1.0
ə_v	a_β	1.0
ɛ_r	e_r	1.0
ɲ	ɲ	1.0
ʎ	ʎ	1.0
ʎ_#>	l_#>	1.0
ʤ_ə	ʤ_e	1.0
ʦ	s	1.0
ʧ_ə	k_ɔ	1.0
ˈa_j	ˈa_ʦ	1.0
ˈã	ˈa	1.0
ˈã_j	ˈa	1.0
ˈe_#>	#>	1.0
ˈẽ_n	ˈɛ_n	1.0
ˈi_s	ˈɛ_ʦ	1.0
ˈĩ	ˈi	1.0
ˈõ_j	ˈy	1.0
ˈu_t	ˈu_t	1.0
ˈũ_n	ˈu_n	1.0
ˈy_j	ɥ_ˈɛ	1.0
ˈỹ	ˈy	1.0
ˈɔ_j	ˈe	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_s	ˈɛ_s	1.0
θ_#>	t_#>	1.0
j	k	0.1
j	j	0.1
j	ð	0.1
l	-	0.061
l	lː	0.061
r	r	0.1
r_#>	r_#>	0.211
s_#>	#>	0.111
t	-	0.111
ə	-	0.091
ˈi	ˈi	0.781
ˈɔ	ˈɔ	0.211
ə_#>	ɔ_#>	0.742
ˈe	ˈa	0.692
ˈi	ˈe	0.062
ˈũ	ˈu	0.692
ˈɛ	ˈu	0.062
j	ʤ	0.133
j	-	0.3
t_#>	ʧ_#>	0.333
ˈa	ˈa	0.913
ˈu	ˈɔ	0.143
ˈɔ	ˈe	0.263
ˈɔ	ˈa_w	0.263
j_ˈɛ	ˈa	0.444
ə	e	0.364
ˈũ	ˈɔ	0.154
ˈũ	-	0.154
ˈy	ˈu	0.154
ˈɛ	ˈa_j	0.094
#>	ɔ_#>	0.375
#>	k_#>	0.625
<#_w	<#_ɥ	0.5
<#_w	<#	0.5
j_#>	j_#>	0.5
j_#>	k_#>	0.5
n	-	0.15
n	n	0.85
ɡ	ɣ	0.5
ɡ	ɡ	0.5
ˈe	ˈe	0.115
ˈe	ˈɛ	0.115
ˈẽ	ˈɛ	0.455
ˈẽ	ˈe	0.545
ˈɔ	ˈu	0.105
ˈɛ	ˈɔ	0.125
ˈɛ	ˈe	0.125
j_ˈɛ	ˈɛ	0.556
r	-	0.06
r	ɾ	0.56
ə	a	0.136
ˈi	j_ˈɛ	0.156
ˈy	ˈy	0.846
ˈɛ	ˈa	0.156
j	s	0.067
j	e	0.067
j	ɣ	0.067
j	w	0.067
t_#>	t_#>	0.667
ˈa	ˈa_β	0.087
ˈe	ˈu	0.077
ˈu	ˈu	0.857
r	ɾ_e	0.28
ə_#>	#>	0.258
ˈɔ	-	0.158
ˈɛ	ˈɛ	0.438
l	l	0.879
r_#>	#>	0.789
s_#>	s_#>	0.889
t	t	0.889
ə	e_#>	0.409
