Catalan	Gascon	probability
d	d	1.0
j	j	1.0
k	k	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ʃ	j_ʃ	1.0
ʤ	ʤ	1.0
ʧ	j	1.0
b	b_j	0.061
l	w	0.41
ŋ	ŋ	0.321
ə	-	0.051
ɡ	ɡ	0.91
ɾ	ɾ	0.81
ˈa	ˈa_ŋ	0.071
ˈɛ	ˈu	0.051
i	e	0.352
ð	-	0.172
ə	a	0.172
ʒ	-	0.152
m	m_j	0.073
u	u	0.583
ʎ	t	0.233
ˈo	ˈu	0.653
ˈɛ	ˈe	0.603
f	h	0.974
r	-	0.104
ɲ	n	0.054
ʎ	ʎ	0.294
ˈi	ˈi_z	0.054
ˈo	ˈu_ŋ	0.104
ˈu	w_ˈe	0.24
ˈu	ˈy	0.714
ˈɔ	ˈa_w	0.174
b	b	0.895
n	n	0.935
u	a_w	0.075
ˈe	ˈɛ	0.395
ˈi	ˈi	0.735
ˈo	w	0.055
m	m	0.816
t	t	0.966
ə	ɔ	0.456
ɲ	ɲ	0.946
ʎ	l	0.426
ˈa	ˈa	0.916
ˈe	ˈe	0.556
ˈɔ	ˈɔ	0.46
ˈɛ	ˈɛ	0.346
m	-	0.087
r	a_r	0.277
ɣ	ɣ	0.957
i	i	0.648
l	l	0.578
n	ŋ	0.058
w	ʦ	0.368
w	w	0.438
ð	ð	0.828
ɾ	-	0.058
ɾ	r	0.098
ʒ	ʒ	0.848
ˈi	z_ˈi	0.088
r	r	0.619
u	-	0.319
w	-	0.169
ŋ	ŋ_k	0.679
ə	e	0.29
ɡ	k	0.09
ˈo	ˈy	0.189
ˈɔ	ˈu	0.29
β	β	0.959
