English	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.624
d	-	0.324
d	tʰ	0.034
d	n	0.033
f	f	0.711
f	ʋ	0.163
f	-	0.086
f	ɡ	0.037
h	h	0.957
h	-	0.046
j	ɡ	0.253
j	ˈoː	0.253
j	-	0.16
j	ˈʊ	0.151
j	ˈyː	0.06
k	k	0.75
k	ʰkː	0.158
k	ç	0.072
kʰ	kʰ	1.0
l	l	0.969
l	-	0.039
m	m	0.827
m	m_j	0.094
m	ɾ_m	0.045
m	mː	0.04
n	n	0.725
n	-	0.152
n	nː	0.084
n	ŋ	0.029
n_d	nː	1.0
p	p	0.91
p	-	0.072
pʰ	pʰ	1.0
s	s	0.903
s	ʃ	0.072
s	sː	0.03
t	t	0.717
t	ʰtː	0.169
t	-	0.052
t	çː	0.034
t	ç	0.034
tʰ	tʰ	0.912
tʰ	ç	0.071
v	ʋ	0.547
v	-	0.218
v	m	0.218
w	ʋ	0.552
w	-	0.13
w	kʰ_ʋ	0.119
w	ˈɔ	0.069
w	ˈuː	0.061
w_ˈɪ	ˈʏ	1.0
w_ˈʊ	ˈʉ	1.0
z	s_e	0.66
z	s	0.151
ð	ɾ	0.592
ð	d	0.313
ð	nː	0.074
ŋ	ŋː	0.795
ŋ	ŋ	0.082
ŋ	ɲ	0.076
ŋ_k	ʰkː	1.0
ə	ɾ	0.219
ə	-	0.213
ə	e_ɾ	0.169
ə	ɾ_e	0.114
ə	e	0.082
əʊ̯	-	0.53
əʊ̯	j	0.461
ɡ	ɡ	0.709
ɡ	-	0.099
ɡ	ɡː	0.074
ɡ	j	0.072
ɪ	e	0.437
ɪ	ɪ	0.214
ɪ	ˈɛ	0.214
ɪ	ɑ	0.084
ɫ	l	0.674
ɫ	lː	0.161
ɫ	ɡ_l	0.157
ɫ_d	lː	1.0
ɹ	ɾ	1.0
ʃ	s_k	0.537
ʃ	ʃ	0.452
ʤ	ɡː	1.0
ʧ	ç	0.794
ʧ	k	0.158
ˈaɪ̯	ˈiː	0.274
ˈaɪ̯	ˈɛ	0.218
ˈaɪ̯	ˈʉː	0.107
ˈaɪ̯	ˈyː	0.105
ˈaɪ̯	ˈɪ	0.081
ˈaɪ̯_d	ˈiː	1.0
ˈaʊ̯	ˈʉː	0.618
ˈaʊ̯	ˈʊ	0.201
ˈaʊ̯	ˈʉ	0.175
ˈe	ˈɛ	0.192
ˈe	ˈʉː	0.167
ˈe	ˈøː	0.124
ˈe	-	0.124
ˈe	ˈoː	0.108
ˈe_d	ˈæʉ̯	1.0
ˈeɪ̯	ˈɑː	0.412
ˈeɪ̯	ˈɑ	0.218
ˈeɪ̯	ˈoː	0.109
ˈeɪ̯	ˈɛ	0.081
ˈeɪ̯	ˈæɪ̯	0.061
ˈiː	ˈøː	0.177
ˈiː	ˈeː	0.159
ˈiː	ˈoː	0.149
ˈiː	ˈæʉ̯	0.119
ˈiː	ˈʉː	0.077
ˈuː	ˈuː	0.493
ˈuː	ˈoː	0.352
ˈuː	ˈɑ	0.07
ˈuː	-	0.051
ˈæ	ˈɑ	0.61
ˈæ	ˈɑː	0.13
ˈæ	ˈʊ	0.13
ˈæ	ˈɛ	0.089
ˈæ	ˈæ	0.035
ˈɐ	ˈuː	0.397
ˈɐ	ˈɔ	0.169
ˈɐ	ˈʉ	0.08
ˈɐ	ˈʊ	0.078
ˈɐ	-	0.076
ˈɑː	ˈɑː	0.313
ˈɑː	ˈɑ_ɾ	0.289
ˈɑː	ˈɑ	0.141
ˈɑː	ˈeː	0.141
ˈɑː	ˈɛ	0.072
ˈɒ	ˈɑ	0.364
ˈɒ	ˈʏ	0.209
ˈɒ	ˈʉː	0.138
ˈɒ	ˈɑː	0.132
ˈɒ	ˈæɪ̯	0.058
ˈɔː	ˈʊ_ɾ	0.233
ˈɔː	ˈɑ_ɾ	0.159
ˈɔː	ˈɔ	0.138
ˈɔː	ˈɑ	0.12
ˈɔː	ˈiː	0.091
ˈəʊ̯	ˈæɪ̯	0.384
ˈəʊ̯	ˈoː	0.248
ˈəʊ̯	ˈʉ	0.097
ˈəʊ̯	ˈøː	0.074
ˈəʊ̯	ˈɑ	0.074
ˈɛ	ˈɑː	0.461
ˈɛ	ˈœ	0.254
ˈɛ	ˈoː	0.077
ˈɜː	ˈʏ	0.425
ˈɜː	ˈuː	0.254
ˈɜː	ɾ	0.081
ˈɪ	ˈɪ	0.212
ˈɪ	ˈiː	0.159
ˈɪ	ˈʏ	0.158
ˈɪ	ˈyː	0.09
ˈɪ	ˈeː	0.078
ˈʊ	ˈuː	0.803
ˈʊ	ˈʉ	0.112
θ	tʰ	0.439
θ	ç	0.172
θ	ɾ	0.15
θ	nː	0.13
θ	d	0.055
