Franco-Provençal	Latin	probability
e	ɛ	1.0
ɛ	ɛ	1.0
ɲ	n	1.0
i	kː_ãː	0.501
k	ɛ̃ː_#>	0.051
v	w	0.591
w	ˈɔ	0.211
w	ˈʊ	0.271
ʁ	ɛ_r	0.071
ʁ	r	0.641
ˈe	ˈiː	0.201
ˈi	ˈiː	0.551
ˈo	ˈoː	0.201
ˈu	ˈuː	0.31
ˈɛ	ɛ̃ː	0.061
a	ãː	0.722
f	f	0.842
k	k	0.682
l	l	0.172
o	oː	0.212
ð	t	0.082
ɡ	ɡ	0.772
ˈa	ˈaː_r	0.202
ˈe	ˈaː	0.122
ˈo	ˈʊ	0.132
ˈoː	ˈa_ɫ	0.172
ˈɑ̃	<#_h	0.082
ˈɛː	ˈɪ	0.122
m	ɪ_m	0.103
w	t	0.123
z	-	0.633
ə	ãː	0.283
ʎ	ɫ_ʊ̃ː	0.353
ʒ	-	0.663
ˈu	ˈu	0.293
ˈɛː	ˈiː	0.123
d	-	0.204
l	lʲː	0.094
l	lʲː_ʊ̃ː	0.184
n	n	0.944
s	s	0.804
ð	ɡ	0.194
ð	r	0.44
ɔ	oː	0.214
ə	ɛ̃ː	0.104
ʎ	-	0.104
ˈa	ˈaː	0.344
ˈe	ˈa	0.24
ˈi	ˈɛ	0.254
ˈĩ	ʊ̃ː	0.84
ˈo	ˈɔ	0.34
ˈɑ̃	ˈa_n	0.324
ˈɔ̃	ˈoː	0.24
ˈɛ	ˈeː	0.074
ˈɛ	ˈɪ	0.44
ˈɛ̃	ˈɛ_n	0.254
j	i	0.595
m	m	0.845
ʁ	r_ɛ	0.085
ʎ	lʲ_i	0.305
ˈa	ʊ̃ː	0.065
ˈø	ˈoː	0.135
ˈɑː	ˈiː	0.065
ˈɑː	ˈa	0.935
ˈɔ	ˈʊ	0.455
ˈɔ	ˈɔ	0.545
ˈɔ̃	ˈoː_n	0.095
ˈɛ	ˈɛ	0.425
ˈɛː	ˈɪ_ɡ	0.075
ˈɛ̃	ʊ̃ː	0.185
b	b	0.916
d	d	0.796
j	-	0.156
j	t	0.196
o	ɛ̃ː	0.226
t	t	0.486
ɔ	ɔ	0.786
ʁ	-	0.076
ˈaː	ˈaː_t	0.206
ˈaː	ˈaː	0.436
ˈĩ	n_ɛ̃ː	0.16
ˈɑ̃	ˈa	0.326
ˈɛ̃	n	0.056
ˈɛ̃	n_ʊ̃ː	0.176
a	a	0.187
k	k_ʊ̃ː	0.077
l	ɫ	0.47
o	ʊ̃ː	0.37
z	s	0.367
ə	i_ãː	0.07
ə	ɛ	0.447
ʃ	k	0.717
ʒ	d	0.337
ˈi	ˈɪ	0.057
ˈo	ˈoː_s	0.137
ˈu	ˈɔ	0.27
ˈø	ʊ	0.357
ˈɔ̃	ʊ̃ː	0.507
ˈɛː	ˈa	0.167
ˈɛː	ˈɛ	0.217
f	-	0.158
k	ʊ̃ː_#>	0.068
p	p	0.968
s	t	0.058
v	p	0.208
w	-	0.258
ð	ɛ_r	0.108
ð	-	0.108
ɡ	k	0.228
ʃ	k_ɛ̃ː	0.198
ʎ	ɫ	0.058
ʎ	ʊ_ɫ	0.18
ˈaː	ˈa	0.358
ˈe	ˈɛ	0.258
ˈi	ˈiː_r	0.138
ˈu	ˈuː_t	0.128
ˈø	ˈɔ	0.508
ˈɔ̃	n_ʊ̃ː	0.158
ˈɛː	ˈeː	0.218
ˈɛ̃	ŋ	0.328
i	iː	0.499
o	k_ʊ̃ː	0.119
t	kː	0.149
t	s_t	0.319
v	-	0.069
w	w	0.089
ˈa	ˈa	0.389
ˈe	ãː	0.09
ˈo	ˈuː	0.19
ˈoː	ˈʊ	0.259
ˈoː	ˈɔ	0.569
ˈɑ̃	ˈa_ŋ	0.269
