Palatine German	Alsatian	probability
ˈɑ̃ɪ̯	-	1.0
ˈɑ	ˈɒ	1.0
ˈuː	ˈʊː	1.0
ˈõː	ˈoː_n	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈiː_n	1.0
ˈi	ˈaː	1.0
ˈẽː	ˈeː_n	1.0
ˈau̯̯	ˈyː	1.0
ʣ̥	ʦ	1.0
ʃ	ʃ	1.0
ɪ_ʃ	i	1.0
ɪ	i	1.0
ɑ	ə	1.0
ɐ_n	ʁ_n	1.0
ŋ	ŋ	1.0
s	s	1.0
m	m	1.0
l	l	1.0
kʰ_ˈeː	kʰ	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	eː_n	1.0
ə	ə	0.946
b̥	b̥	0.906
ˈau̯	ˈyː	0.9
ˈɪ	ˈi	0.89
n	n	0.836
β	ʋ	0.804
ˈu	ˈu	0.802
ˈoː	ˈoː	0.798
x	x	0.797
r	ʁ	0.73
ˈiː	ˈiː	0.712
ɐ	ʁ	0.659
ˈɛ	ˈe	0.576
ˈeː	ˈeː	0.559
ɡ̊	ɡ̊	0.551
d̥	t	0.545
ˈɔ	ˈo	0.544
ɣ̊	ʋ	0.5
ɣ̊	-	0.5
ˈaɪ̯	ˈiː	0.484
ˈɔ	ˈu	0.456
d̥	d̥	0.455
ˈɛː	ˈæː	0.452
ɡ̊	k	0.449
ˈeː	-	0.441
ˈɛː	ˈəi̯	0.411
ˈɑː	ˈɒː	0.384
ˈaɪ̯	ˈi	0.37
ɐ	ə_ʁ	0.341
ˈɑː	ˈʊː	0.293
ˈiː	-	0.288
x	ʃ	0.203
ˈɛ	ˈæ	0.202
ˈu	-	0.198
r	t	0.178
ˈoː	-	0.156
ˈɛ	ˈɛ	0.147
ˈaɪ̯	ˈei̯	0.146
ˈɑː	ˈɒ	0.144
ˈɑː	ˈaː	0.144
ˈɛː	ˈai̯	0.137
β	w	0.123
ˈɪ	ˈu	0.11
ˈau̯	ˈøi̯	0.1
r	d̥	0.092
n	n_d̥	0.09
ˈɛ	-	0.075
n	-	0.074
β	-	0.073
ə	-	0.054
b̥	p͡f	0.053
