Limburgish	Limburgish	probability
β	ʋ	1.0
ˈʏː	ˈœ	1.0
ˈʏ	-	1.0
ˈʊ	ˈo	1.0
ˈɛːi̯	ˈeɪ̯	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈœ	1.0
ˈæː	ˈɛ	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈyː	1.0
ˈu	ˈuː	1.0
ʃ	ʃ	1.0
ʀ_ˈɒː	ʀ_ˈoː	1.0
ʀ_ə	n	1.0
ʀ_t	ʦ	1.0
ʀ_d̥	d̥	1.0
ɪ	-	1.0
ɦ	h	1.0
ɣ̊_#>	#>	1.0
ɡ	-	1.0
ə_ʀ	ɐ	1.0
ə_v̥	ə_f	1.0
ə_p	p	1.0
ə_l	ɫ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w	ɫ	1.0
v̥	v̥	1.0
v_ʀ	f_ʀ	1.0
p_ə	f_ə	1.0
n_d	ŋ	1.0
i	e	1.0
d	d	1.0
b	b	1.0
<#_ˈeː	<#_ˈɛː	1.0
<#_j	<#_j	1.0
#>	d̥_#>	1.0
m	m	0.857
ɣ	j	0.812
z	z	0.8
s	ʃ	0.8
v	f	0.769
n	n	0.75
ə	ə	0.717
ɣ̊	ɕ	0.7
d̥	d̥	0.68
ˈoː	ˈoː	0.667
l	l	0.652
k	k	0.649
ˈɑ	ˈa	0.636
ˈuː	ˈuː	0.636
ˈɔu̯	ˈɔʊ̯	0.6
ˈɔ	ˈɔ	0.6
ˈøː	ˈøː	0.6
ˈiː	ˈiː	0.6
p	p	0.6
j_ə	d_ə	0.6
ˈɛ	ˈe	0.571
x	ɕ	0.545
ˈaː	ˈa	0.524
ˈɛː	ˈeː	0.5
ˈɔː	-	0.5
ˈɒː	ˈoː	0.5
ʀ	ʀ	0.46
ʀ	ɐ	0.46
ˈɪː	ˈe	0.455
ˈi	ˈiː	0.455
x	x	0.455
ˈɪ	-	0.429
ˈɛ	-	0.429
j	-	0.429
ˈeː	ˈeː	0.414
ˈɔu̯	ˈuː	0.4
ˈœi̯	ˈyː	0.4
ˈœi̯	-	0.4
ˈiː	-	0.4
p	f	0.4
j_ə	d	0.4
t	s	0.395
ˈʊː	ˈoː	0.391
ˈɪː	ˈɪ	0.364
ˈɑ	ˈaː	0.364
ˈʊː	ˈo	0.348
l	ɫ	0.348
t	ʦ	0.342
ˈoː	ˈɔ	0.333
d̥	ɡ̊	0.32
ˈɒː	ˈaː	0.3
ɣ̊	ɣ̊	0.3
ˈɪ	ˈɪ	0.286
ˈɪ	ˈe	0.286
ˈɛː	ˈeɪ̯	0.286
j	ɫ	0.286
j	n	0.286
ˈi	ˈɪ	0.273
ˈi	ˈeː	0.273
t	t	0.263
ˈɔː	ˈɔ	0.25
ˈɔː	ˈoː	0.25
n	ŋ	0.25
ə	-	0.245
ˈaː	ˈaː	0.238
v	v	0.231
ˈɛː	ˈe	0.214
ˈɔ	ˈo	0.2
ˈɔ	-	0.2
ˈɒː	-	0.2
ˈœi̯	ˈøʏ̯	0.2
ˈøː	ˈʏ	0.2
ˈøː	ˈyː	0.2
z	ʃ	0.2
s	s	0.2
k	ɕ	0.189
ɣ	-	0.188
ˈɪː	ˈa	0.182
ˈuː	ˈɔʊ̯	0.182
ˈuː	-	0.182
ˈʊː	ˈɔː	0.174
ˈeː	ˈɛ	0.172
ˈaː	-	0.143
ˈeː	ˈɛː	0.138
ˈeː	ˈe	0.103
ˈeː	-	0.103
ˈaː	ˈa_ɫ	0.095
ˈʊː	-	0.087
k	ɡ̊	0.081
k	x	0.081
ʀ	-	0.08
m	m_ˈɔ	0.071
m	m_ə	0.071
ˈeː	ˈɛ_d	0.069
