Spanish	Sicilian	probability
f	f	1.0
b	-	0.151
d	-	0.141
d	d	0.601
k	k	0.801
o	ʊ	0.791
t	ʧː	0.061
e	a	0.142
l	-	0.092
o	-	0.102
u	u	0.742
x	j	0.112
ɣ	k	0.542
θ	z	0.142
a	a	0.873
b	b	0.193
i	ɪ	0.233
p	-	0.073
t	ʈː	0.063
ð	t	0.823
ɟ͡ʝ	j	0.103
ɟ͡ʝ	c	0.483
ɾ	r	0.223
ʝ	j	0.053
ˈe	ɪ	0.113
ˈo	ˈu	0.523
e	ɪ	0.504
i	i	0.484
m	m	0.744
r	-	0.184
s	s	0.74
t	t	0.614
ŋ	-	0.254
ɟ͡ʝ	l	0.154
ɣ	ɡ	0.294
ɲ	nː	0.34
ɲ	ɲː	0.574
ʧ	tː	0.834
ˈe	ˈɛ	0.054
ˈu	ˈu	0.974
b	v	0.585
j	ʤː	0.055
j	ˈɛ	0.605
t	tː	0.115
x	k	0.135
ɡ	ʃː	0.075
ɣ	w	0.095
ɾ	ɾ	0.555
ˈo	ˈa	0.065
ˈo	ˈɔ	0.285
θ	ʃː	0.165
θ	ɕ	0.5
a	-	0.126
i	ˈi	0.056
j	-	0.166
l	l	0.656
n	-	0.06
r	ʐ	0.416
x	ʤ	0.186
ŋ	ŋ	0.746
ɟ͡ʝ	ç	0.226
ɡ	-	0.116
ɲ	-	0.06
ʧ	t	0.166
ˈi	i	0.056
ˈi	f_ˈi	0.086
β	v	0.46
θ	f	0.096
e	ˈɛ	0.117
i	-	0.207
j	ˈe	0.057
l	ɖː	0.087
p	p	0.927
r	r	0.37
w	ˈɔ	0.757
ˈa	ˈa	0.937
ˈo	ˈo	0.097
β	-	0.137
k	kː	0.128
l	ɾ	0.088
m	mː	0.168
n	n	0.918
u	i	0.258
w	w	0.168
x	-	0.058
x	cː	0.168
ð	ʈ	0.108
ˈe	-	0.508
β	p	0.358
d	j	0.249
e	i	0.129
s	-	0.179
x	ɟː	0.299
ɡ	ɡ	0.809
ɣ	kː	0.069
ɾ	-	0.159
ʝ	ɖː	0.909
ˈe	ˈi	0.219
ˈi	ɪ	0.189
ˈi	ˈi	0.569
