Eastern Lombard	Eastern Lombard	probability
ˈø_ʧ	ˈu_j	1.0
ˈu_r_#>	ˈu_#>	1.0
ˈo_s	ˈu_s	1.0
ˈi_d	ˈe_ʤ	1.0
ˈa_#>	ˈa_#>	1.0
ʧ_#>	#>	1.0
ŋ	ŋ	1.0
ø	-	1.0
y	y	1.0
w	-	1.0
u	u	1.0
t_m	mː	1.0
t_#>	#>	1.0
s_ˈɛ	s_ˈẽ	1.0
s_ˈa	s_ˈa	1.0
s_a	s_ɔ	1.0
s_#>	#>	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_k	ʀ_k	1.0
n_t	ŋ	1.0
m	m	1.0
l_ˈɛ	l_ˈe	1.0
l_#>	w_#>	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
k	k	1.0
f_#>	w_#>	1.0
e_#>	#>	1.0
d_e	j_ɾ	1.0
d	d	1.0
b	b	1.0
a_s	a_s	1.0
<#_ˈu	<#_v_ˈu	1.0
<#_ˈe	<#_v_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_a	<#_a	1.0
s	s	0.922
p	p	0.917
f	f	0.917
ɡ	ɡ	0.889
r_#>	e_#>	0.786
l	l	0.78
a	ɔ	0.768
t	t	0.69
ʋ	v	0.667
ˈɛ	ˈɛ	0.656
z	ʤ	0.625
ˈa_s	ˈa_s	0.6
ɲ	ɲ	0.6
n	n	0.6
r	ɾ	0.571
i	e	0.571
ˈa	ˈa	0.553
ˈy	ˈy	0.545
ˈɔ	w_ˈe	0.526
ˈi	ˈi	0.5
r_t	ˈe_ʀ	0.5
r_t	ʀ	0.5
j	l	0.455
e	e	0.448
<#	<#_v	0.444
ˈu	ˈu	0.438
ʤ	ɡ_l	0.429
#>	e_#>	0.429
ˈa_s	ˈa	0.4
o	u	0.4
<#	<#_e	0.37
ˈa	ˈã	0.362
o	-	0.35
e	ɾ	0.345
r	ʀ	0.343
ˈø	w_ˈe	0.333
ˈe	ˈe	0.333
ʋ	b	0.333
ˈo	w	0.3
ʤ	ʤ	0.286
ʤ	j	0.286
i	-	0.286
ˈy	ˈu	0.273
j	j	0.273
j	-	0.273
#>	ŋ_#>	0.262
ˈu	w	0.25
ʧ	ˈe_j	0.25
ʧ	ʧ	0.25
ʧ	k_l	0.25
ʧ	-	0.25
z	z	0.25
n	ŋ	0.25
ˈe	ˈɛ	0.222
r_#>	#>	0.214
ˈɔ	ɥ_ˈe	0.211
ˈo	ˈu	0.2
ˈo	ˈa_w	0.2
ˈo	-	0.2
ɲ	ɲ_ɔ	0.2
ɲ	n	0.2
ˈø	ˈy	0.19
ˈu	ˈũ_ŋ	0.188
ˈy	ˈỹ_ŋ	0.182
ˈi	ˈe	0.179
ˈɔ	-	0.158
ˈe	ˈẽ_ŋ	0.148
ˈø	ɥ_ˈɔ	0.143
ˈø	-	0.143
i	ĩ	0.143
t	d	0.138
e	i	0.138
ˈɛ	ˈẽ	0.125
ˈɛ	j_ˈe	0.125
ˈu	w_ˈẽ	0.125
z	lː	0.125
l	-	0.122
a	a	0.122
#>	j_#>	0.119
ˈe	ˈẽ	0.111
ˈe	j_ˈe	0.111
ɡ	-	0.111
<#	<#_ˈa	0.111
ˈi	ˈĩ	0.107
ˈɔ	w	0.105
t	ŋ	0.103
ˈo	ˈa	0.1
o	ɔ	0.1
o	a	0.1
n	-	0.1
l	w	0.098
ˈø	ˈỹ	0.095
ˈø	ɥ	0.095
#>	w_#>	0.095
ˈɛ	ˈe	0.094
r	-	0.086
p	-	0.083
f	w_ɾ	0.083
ˈe	-	0.074
<#	<#_a	0.074
ˈi	ˈi_v	0.071
ˈi	e	0.071
ˈi	-	0.071
t	ʧ	0.069
e	-	0.069
