Bavarian	Bavarian	probability
β	b	1.0
ˈɑ	ˈa	1.0
ˈuɐ̯	ˈuː	1.0
ˈoɐ̯_#>	ˈaɪ̯_n_#>	1.0
ˈoɐ̯	ˈaɪ̯	1.0
ˈou̯	ˈoː	1.0
ˈeɐ̯	-	1.0
ˈau̯	ˈaʊ̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ʃ_d̥	s_t	1.0
ʃ	ʃ	1.0
ɡ̊_a	k_n	1.0
ə	-	1.0
ɑ	-	1.0
ç	ç	1.0
x_a	x_n	1.0
s_n	s_n	1.0
l	l	1.0
kʰ	kʰ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
eɐ̯	eː	1.0
d̥_ˈo	d_ˈɔ	1.0
d̥_n	t_n	1.0
b̥͡v̥	p͡f	1.0
b̥_#>	b̥_#>	1.0
<#_n	<#_n	1.0
ɐ	ɐ	0.909
j	l	0.909
b̥	b	0.909
n	n	0.896
r	ʁ	0.889
m	m	0.824
ˈe	ˈɛ	0.818
ˈeː	ˈeː	0.812
ˈiɐ̯	ˈiː	0.75
ˈi	ˈɪ	0.704
ˈaː	ˈaʊ̯	0.7
ˈɒː	ˈaː	0.692
ˈai̯	ˈaɪ̯	0.682
ˈoː	ˈoː	0.667
ˈa	ˈa	0.667
x	x	0.643
ɡ̊_#>	ɡ̊_#>	0.625
ɡ̊	ɡ	0.615
a	ɐ	0.605
ˈɑː	ˈaː	0.6
#>	n_#>	0.545
ˈo	ˈɔ	0.542
ˈu	ˈʊ	0.522
ˈiː	ˈɪ	0.5
ˈiː	ˈiː	0.5
ŋ	ŋ	0.474
s	z	0.467
d̥	t	0.432
ŋ	ɡ_n	0.421
ˈɑː	ˈa	0.4
s	s	0.378
ˈo	ˈa	0.375
ɡ̊_#>	#>	0.375
x	ç	0.357
ˈoː	-	0.333
ˈa	ˈaʊ̯	0.333
ˈai̯	ˈɔʏ̯	0.318
ˈɒː	ˈa	0.308
ɡ̊	k	0.308
ˈaː	-	0.3
#>	ç_#>	0.273
ˈiɐ̯	ˈyː	0.25
d̥	d	0.222
ˈeː	ˈøː	0.188
#>	b̥_#>	0.182
ˈu	ˈʏ	0.174
d̥	tʰ	0.173
d̥	d̥	0.173
s	z̥	0.156
a	ə_n	0.14
ˈu	-	0.13
m	b_n	0.118
a	ə	0.116
a	n	0.116
ˈi	ˈʏ	0.111
ˈi	ˈiː	0.111
r	ɐ	0.111
ŋ	n	0.105
ˈe	ˈɛː	0.091
ˈe	ˈœ	0.091
ɐ	ʁ_ə	0.091
j	j	0.091
b̥	p	0.091
ˈu	ˈɔ	0.087
ˈu	ˈuː	0.087
ˈo	ˈoː	0.083
ɡ̊	ɪ_ç	0.077
ˈi	ˈyː	0.074
n	ə	0.062
m	-	0.059
