Swiss German	Swiss German	probability
ˈøː	ˈeː	1.0
ˈøi̯	-	1.0
ˈø	ˈɛ	1.0
ˈæː	ˈeː	1.0
ˈæi̯	ˈaː	1.0
ˈyə̯	ˈiː	1.0
ˈuː	ˈaʊ̯	1.0
ˈuə̯	ˈuː	1.0
ˈo_n	ˈoː_n	1.0
ˈo	ˈɔ	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈiː	1.0
ˈei̯	ˈaɪ̯	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈaː	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ʋ	v	1.0
ʃː_tː	s_d̥	1.0
ʃː	ʃ	1.0
ɣ̊	ɡ̊	1.0
ɡ̊_ə	ŋ	1.0
ɡ̊_r	ɡ̊_r	1.0
ə_r	ɐ	1.0
æ	eː	1.0
z̥	s	1.0
w	l	1.0
v̥	f	1.0
tː_ə	ɾ	1.0
tː_r	d̥_r	1.0
sː_ə	z̥	1.0
r_ɡ̊	ɐ_ç	1.0
r_ə	ɐ	1.0
r_n	ɐ_n	1.0
p͡f	b̥͡v̥	1.0
pː	-	1.0
n_ə	n_a	1.0
n_d̥	n	1.0
m	m	1.0
l_ə	l_n	1.0
l	l	1.0
kː_ə	ɡ̊_n	1.0
j	j	1.0
h	h	1.0
fː_ə	f_n	1.0
d̥_ə	ɾ	1.0
d̥	d̥	1.0
b̥	b̥	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_r	1.0
tː	d̥	0.978
n	n	0.931
ˈɒː	ˈoː	0.867
fː	f	0.818
sː	s	0.789
ˈy	ˈɪ	0.778
ˈæ	ˈɛ	0.75
ˈɒ	ˈɒ	0.714
r	ɐ	0.705
ˈu	ˈʊ	0.7
ŋ	ŋ	0.7
ˈi	ˈɪ	0.667
kː	ɡ̊	0.667
ˈoː	ˈuː	0.643
i	-	0.6
b̥_ə	β	0.6
#>	a_#>	0.556
ə	n	0.531
ɡ̊	ɡ̊	0.476
ˈyː	ˈaɪ̯	0.462
χː	x	0.417
i	ɪ	0.4
b̥_ə	m	0.4
ˈyː	ˈiː	0.385
ˈi	ˈiː	0.333
kː	ɡ̊_n	0.333
ŋ	n_d̥	0.3
r	r	0.295
χː	ç	0.25
ə	a	0.25
ɡ̊	ç	0.238
ˈy	-	0.222
#>	ɐ_#>	0.222
#>	m_#>	0.222
ˈoː	ˈoː	0.214
sː	z̥	0.211
ɡ̊	x	0.19
fː	v̥	0.182
χː	ɡ̊	0.167
ˈyː	-	0.154
ˈæ	ˈeː	0.15
ˈu	ˈɔ	0.15
ˈu	-	0.15
ˈoː	-	0.143
ˈɒː	ˈɒ	0.133
ˈɒ	ˈɔ	0.107
ˈɒ	ˈoː	0.107
ˈæ	ˈɒ	0.1
ɡ̊	-	0.095
ə	-	0.094
χː	ɣ̊	0.083
χː	-	0.083
n	-	0.069
ə	ə	0.062
ə	ŋ	0.062
