Aromanian	Bellunese	probability
a	-	0.704
a	ˈa	0.222
b	b	0.654
b	-	0.265
b	ɡ	0.058
d	d	0.942
e	-	0.508
e	e	0.263
e	l	0.229
e̯a	-	0.5
e̯a	a	0.5
e̯ˈa	ˈe	0.77
e̯ˈa	e	0.123
e̯ˈa	ˈa	0.059
f	f	0.969
i	-	0.603
i	e	0.248
i	o	0.05
j	v	0.653
j	-	0.268
k	k	0.544
k	ɡ	0.199
k	ɡ_o	0.117
k	p	0.092
l	l	0.704
l	j	0.201
l	w	0.057
m	m	0.643
m	-	0.153
m	ŋ	0.103
m	r	0.102
n	n	0.603
n	ŋ	0.262
n	ɲ	0.081
n	-	0.054
o̯ˈa	ˈo	0.685
o̯ˈa	ˈu	0.177
o̯ˈa	ˈɔ	0.137
p	p	0.539
p	-	0.223
p	v	0.124
p	f	0.068
r	r	0.793
r	l	0.114
r	-	0.092
s	s	0.982
t	t	0.483
t	-	0.276
t	d	0.168
u	o	0.683
u	-	0.239
v	v	1.0
w	v_o	0.422
w	f	0.254
w	l	0.254
w	-	0.071
z	z	1.0
ç	f	1.0
ŋ	ŋ	0.817
ŋ	-	0.183
ə	a	0.749
ə	-	0.132
ə	e	0.062
ɡ	ɡ	0.341
ɡ	b	0.219
ɡ	ð	0.122
ɡ	t	0.099
ɡ	v	0.099
ɡ	-	0.074
ɨ	o	0.5
ɨ	ɲ	0.5
ɲ	m	0.501
ɲ	ɲ	0.444
ɲ	p	0.055
ʃ	s	0.688
ʃ	-	0.173
ʃ	d	0.071
ʃ	z	0.068
ʎ	j	1.0
ʣ	ð	0.596
ʣ	d	0.274
ʣ	-	0.129
ʤ	ð	0.585
ʤ	ɡ	0.211
ʤ	-	0.204
ʦ	θ	0.411
ʦ	-	0.228
ʦ	z	0.156
ʦ	t	0.131
ʧ	θ	0.641
ʧ	p	0.238
ʧ	j	0.122
ˈa	ˈa	0.824
ˈa	ˈɛ	0.087
ˈe	ˈɛ	0.469
ˈe	ˈe	0.393
ˈe	j_ˈe	0.097
ˈi	ˈe	0.379
ˈi	ˈi	0.343
ˈi	-	0.088
ˈi	ˈi_v	0.072
ˈo	ˈɔ	0.402
ˈo	ˈo	0.376
ˈo	o	0.102
ˈo	ˈu	0.074
ˈu	ˈo	0.467
ˈu	ˈu	0.33
ˈu	ˈi	0.102
ˈə	ˈi	0.639
ˈə	a	0.361
ˈɨ	ˈa	0.906
ˈɨ	j	0.081
