Sassarese	Sassarese	probability
β_u	v_u	1.0
ˈɛ_rː	ˈɛː_r	1.0
ˈɔ_ɬ	ˈɔː_r	1.0
ˈu_r	ˈyː	1.0
ˈo_r	ˈuː	1.0
ˈi_n	ŋ	1.0
ˈi_#>	e_#>	1.0
ˈe_tː	ˈe_t	1.0
ˈe_d	ˈeː	1.0
ˈa_ɬ	ˈaː	1.0
ˈa_r	ˈaː	1.0
ˈa_i	ˈɛː	1.0
ʧː	ʤ	1.0
ʧ	ʧ	1.0
ʤ	z	1.0
ʣ	z	1.0
ʒ	ʒ	1.0
ʎː	ʤ	1.0
ʃː	ʃ	1.0
ɮ	-	1.0
ɬ	s	1.0
ɡ	ɡ	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z	z	1.0
x	k	1.0
w	w	1.0
v	v	1.0
u_r	w	1.0
u_d	ɥ	1.0
u_#>	#>	1.0
tː	t	1.0
t	t	1.0
s	s	1.0
rː	r_n	1.0
r_u	u	1.0
p_j	ʧ	1.0
p	p	1.0
o	j	1.0
nː	n	1.0
n_u_#>	ŋ_#>	1.0
n_i	ŋ	1.0
mː	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
k_r	k_r	1.0
k	k	1.0
i_pː	s_p	1.0
i_d	ˈe_d	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː_u	u	1.0
dː_a	a	1.0
bː	v	1.0
b_j	ʤ	1.0
a_r	j	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
#>	j_#>	1.0
a	a	0.897
m	m	0.875
n	ŋ	0.852
u	u	0.84
b	b	0.824
ɡː	ɡ	0.8
ˈa_#>	ˈaː_#>	0.786
β	v	0.727
d	d	0.727
ˈɛ	ˈe	0.708
ʦː	s	0.667
sː	s	0.667
i	e	0.617
ʦ	s	0.556
ˈa	ˈa	0.548
r	r	0.538
ʤː	z	0.5
ʤː	-	0.5
xː	r_k	0.5
xː	k	0.5
ʦ	ʒ	0.444
ɲː	ɲ	0.444
ˈe	ˈeː	0.423
ˈu	ˈy	0.421
ˈi	ˈi	0.4
dː	l	0.4
ˈi	ˈiː	0.333
ˈa	ˈaː	0.333
ʦː	r_s	0.333
ɲː	n	0.333
sː	r_s	0.333
j	r	0.333
dː	t	0.3
β	-	0.273
d	-	0.273
r	-	0.256
j	-	0.25
ˈɔ	ˈu	0.231
ˈe	ˈe	0.231
ɲː	-	0.222
ˈa_#>	#>	0.214
ˈu	ˈyː	0.211
ˈu	ˈu	0.211
ɡː	-	0.2
i	i	0.2
dː	-	0.2
ˈo	ˈu	0.192
ˈɔ	ˈøː	0.179
b	v	0.176
ˈɛ	ˈɛ	0.167
j	ˈiː	0.167
j	j	0.167
ˈu	-	0.158
ˈɔ	ˈɔː	0.154
ˈɔ	ˈɔ	0.154
ˈo	ˈøː	0.154
ˈo	ˈø	0.154
ˈe	ˈɛː	0.154
r	j	0.154
n	n	0.148
ˈɔ	ˈuː	0.128
ˈɛ	ˈɛː	0.125
m	-	0.125
ˈo	ˈɔː	0.115
ˈo	ˈuː	0.115
ˈo	-	0.115
ˈe	-	0.115
ˈi	i	0.1
ˈi	-	0.1
dː	d	0.1
j	sː	0.083
i	-	0.083
ˈɔ	ˈø	0.077
ˈɔ	w	0.077
ˈo	ˈy	0.077
ˈo	j_ˈu	0.077
ˈe	ˈɛ	0.077
ˈa	ˈɛː	0.071
ˈi	ˈe	0.067
u	-	0.064
a	-	0.064
r	l	0.051
