Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	ˈe	1.0
ˈau̯	ˈo_ɾ	1.0
ʦʲ	θ	1.0
ʃ_ə	s_a	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
v	b	1.0
t_e	ˈe	1.0
t_#>	t_o_#>	1.0
r_ˈe	ɾ_ˈe	1.0
r_ə	ɾ_a	1.0
r_k	ɾ_k	1.0
r_e_#>	#>	1.0
p_t	ˈe_j	1.0
p_#>	p_o_#>	1.0
o	-	1.0
nʲ	o_s	1.0
n_ʧʲ	ŋ_k	1.0
n_t	ˈe_n	1.0
n_e_#>	n_#>	1.0
n_#>	n_o_#>	1.0
m_n	ɲ_o	1.0
l_#>	ʎ_o_#>	1.0
kʲ	ʎ	1.0
k_r	k_ɾ	1.0
j_#>	s_#>	1.0
f	f	1.0
e̯ˈa	ˈe	1.0
e_n	e_n	1.0
e_d	e_ʝ	1.0
e_#>	#>	1.0
a	a	1.0
<#_ˈo	<#_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_z	<#	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_b	<#	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
ˈɨ	ˈa	0.818
ʧ	θ	0.8
ə	a	0.8
r	ɾ	0.794
m	m	0.792
l	l	0.778
n	n	0.76
p	p	0.758
ˈa	ˈa	0.721
ɡ	ɡ	0.714
z	d	0.714
ʃ	s	0.7
s	s	0.68
ˈe	ˈe	0.667
r_#>	l_o_#>	0.667
d	d	0.667
#>	o_#>	0.644
b	b	0.643
u	o	0.632
ˈi	ˈi	0.611
k	k	0.606
ʦ	-	0.6
ʤ	ʧ	0.6
ʒ	ʧ	0.6
ˈo	w_ˈe	0.55
ˈu	ˈu	0.5
i	e	0.444
t	t	0.433
j	j	0.412
ʦ	θ	0.4
ʤ	-	0.4
ʒ	ð	0.4
w	o	0.4
o̯ˈa	ˈo	0.364
b	β	0.357
r_#>	o_#>	0.333
i	i	0.333
d	ð	0.333
ʃ	ʃ	0.3
w	ˈe	0.3
w	-	0.3
t	ð	0.3
ɡ	-	0.286
z	-	0.286
o̯ˈa	w_ˈe	0.273
k	ɣ	0.273
e	e	0.273
e	a	0.273
ˈo	ˈo	0.25
l	-	0.222
i	-	0.222
ˈu	ˈo	0.211
u	u	0.211
m	m_b	0.208
ʧ	-	0.2
s	e_s	0.2
ˈi	ˈe	0.194
ˈe	j_ˈe	0.185
ˈu	w_ˈe	0.184
ˈɨ	-	0.182
o̯ˈa	w	0.182
o̯ˈa	-	0.182
#>	a_#>	0.178
j	ʎ	0.176
j	-	0.176
u	-	0.158
e	ɾ	0.152
#>	s_#>	0.133
p	β	0.121
e	ɾ_e	0.121
e	-	0.121
s	ʃ	0.12
j	ˈe	0.118
j	ˈa_t	0.118
ˈi	-	0.111
r	l	0.111
ˈo	w	0.1
ˈo	u_s	0.1
t	p	0.1
t	-	0.1
ˈa	-	0.093
ˈi	j_ˈe	0.083
n	ɲ	0.08
n	ŋ	0.08
n	-	0.08
ə	e	0.075
ə	-	0.075
ˈe	n_t	0.074
ˈe	j	0.074
ˈa	j	0.07
ˈa	a	0.07
t	ʝ	0.067
p	w	0.061
p	-	0.061
k	ʎ	0.061
k	k_a	0.061
e	ˈe	0.061
ˈu	ˈi	0.053
ˈu	w	0.053
