Nuorese	Nuorese	probability
β_ɛ	w	1.0
β_u	w	1.0
ˈɔ_n	ˈo	1.0
ˈi_n_ɛ_#>	ˈi_#>	1.0
ˈi_n_u_#>	ˈi_#>	1.0
ˈe_t	ˈi_t	1.0
ˈe_n	ˈe_n	1.0
ˈa_n_u_#>	ˈa_#>	1.0
ʦ_a	s_ɞ	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ɾ_ˈa	l_ˈa	1.0
ɾ_ɛ_#>	r_#>	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɣ	-	1.0
ɛ_#>	#>	1.0
ɖː	ʎ	1.0
ð_ɛ	w	1.0
z_ɛ̆_#>	s_#>	1.0
z_ɔ̆_#>	s_#>	1.0
z_u_#>	s_#>	1.0
z_ă_#>	s_#>	1.0
ŭ	-	1.0
t_u	w	1.0
n_ˈu	n_ˈɒ	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_u_#>	#>	1.0
l_u_#>	l_#>	1.0
k_ˈɔ	k_ˈu	1.0
k_ɾ	ʎ	1.0
k_ɛ_#>	w_#>	1.0
k_ɔ	k_o	1.0
k_u_#>	k_#>	1.0
j	-	1.0
i_k	ʤ	1.0
f	f	1.0
b_ˈa	ˈa	1.0
a_l	a_l	1.0
<#_ˈo	<#_ˈɒ	1.0
<#_ˈi	<#_ˈe	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ʎ	1.0
<#_i	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_k	1.0
#>	t_#>	1.0
u_#>	#>	0.956
ˈa	ˈa	0.927
n	n	0.913
d	d	0.846
r	r	0.818
p	p	0.805
m	m	0.792
s	s	0.781
<#_ˈa	<#_ˈa	0.778
ð	-	0.75
ˈo	ˈɒ	0.733
ɔ	-	0.714
o	o	0.714
t	t	0.7
l	l	0.667
k	k	0.64
β	v	0.625
ɛ_ɾ	ɾ	0.6
ŋ	-	0.6
nː	n	0.545
b	v	0.525
ˈu	ˈu	0.515
ˈɛ	ˈe	0.5
ˈɔ	ˈɒ	0.5
i	-	0.5
ˈi	ˈi	0.486
ˈe	ˈe	0.471
ɡ	ɡ	0.467
ʣ	ʎ	0.455
nː	ɲ	0.455
z	-	0.444
ˈɛ	ˈæ	0.429
e	e	0.429
ɾ	ɾ	0.426
ˈu	ˈo	0.424
a	ɐ	0.405
ɡ	ʤ	0.4
ɛ_ɾ	ɾ_e	0.4
ŋ	ɲ	0.4
u	-	0.4
β	-	0.375
ʣ	ʤ	0.364
ˈe	ˈæ	0.353
z	z	0.333
l	ʎ	0.333
b	b	0.325
ɛ	e	0.303
ˈi	ˈæ	0.297
ɾ	r	0.295
ɔ	o	0.286
o	-	0.286
e	i	0.286
e	-	0.286
i	e	0.273
ˈo	ˈo	0.267
ð	ð	0.25
a	ɜ	0.241
z	s	0.222
<#_ˈa	<#_a	0.222
u	o	0.2
t	ð	0.2
k	s	0.2
ʣ	ɲ	0.182
ɛ	ɜ	0.182
r	ɾ	0.182
ɾ	l	0.164
ˈi	ˈe	0.162
d	t	0.154
ɛ	-	0.152
a	ɞ	0.152
b	-	0.15
p	β	0.146
a	a	0.139
i	i	0.136
ɡ	-	0.133
ˈɔ	ˈu	0.125
ˈɔ	ˈo	0.125
ˈɔ	-	0.125
s	ʃ	0.125
m	ŋ	0.125
ɛ	w	0.121
ˈe	ɾ_ˈe	0.118
u	ʎ	0.1
u	ɞ	0.1
u	w	0.1
u	n	0.1
k	ɣ	0.1
s	-	0.094
i	s_a	0.091
n	ˈo	0.087
m	m_b	0.083
ɾ	-	0.082
ˈa	-	0.073
ˈɛ	ˈi	0.071
a	e	0.063
ˈɔ	ˈi	0.062
ˈɔ	r	0.062
ˈu	ˈɒ	0.061
ɛ	ˈi	0.061
ɛ	ɾ	0.061
ɛ	r	0.061
ɛ	k	0.061
t	-	0.06
k	-	0.06
ˈe	ˈɛ	0.059
ˈi	-	0.054
