Hessian	Swedish	probability
ˈɛː	-	1.0
ˈɑ	ˈa	1.0
ˈæː	-	1.0
ˈuː	ˈuː	1.0
ˈẽː	-	1.0
ˈeː	ˈøː	1.0
ˈãː	ˈeː_n	1.0
ʤ̥	-	1.0
ʒ̊	-	1.0
ʃ_t	tː	1.0
ʀ	r	1.0
ɐ_n	ɳ	1.0
ŋ_ɡ̊	kː	1.0
ŋ	ŋː	1.0
v̥	p	1.0
p	b	1.0
l_ˈi	j_ˈʉː	1.0
j	-	1.0
i	-	1.0
d̥_ˈiː	j_ˈʉː	1.0
b̥_#>	v_#>	1.0
b̥	b	1.0
<#_ʀ	<#_r	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
l	l	0.892
h	h	0.875
ə	a	0.833
#>	n_#>	0.833
v	v	0.826
kʰ	kʰ	0.778
m	m	0.739
s	s	0.719
ˈau̯	ˈʉː	0.7
ˈɛ	ˈɛ	0.667
ˈo	ˈɵ	0.667
ʃ_#>	ɡ_#>	0.667
f	f	0.615
ˈæ	-	0.6
ˈoi̯	ˈyː	0.6
ˈa	ˈa	0.6
z̥	t	0.6
ˈoː	ˈoː	0.571
ˈe	ˈɛ	0.571
d̥	d	0.568
n	n	0.556
ˈai̯	ˈiː	0.5
ɡ̊	j	0.5
ɡ̊	-	0.5
ɐ	r	0.5
ˈi	ˈɪ	0.483
t	d	0.462
ʦ	tʰ	0.455
x	k	0.444
ˈoː	ˈøː	0.429
ˈe	-	0.429
æ̆	ɛ_r	0.409
ˈɑː	ˈoː	0.4
ˈæ	ˈæ	0.4
ˈoi̯	-	0.4
ˈa	ˈɑː	0.4
z̥	tː	0.4
ˈu	ˈɵ	0.385
ˈu	-	0.385
ˈiː	ˈyː	0.375
ˈiː	-	0.375
æ̆	r	0.364
ˈɛ	ˈɛː	0.333
ˈɔ	ˈœ	0.333
ˈɔ	ˈuː	0.333
ˈɔ	-	0.333
ˈɑː	ˈɑː	0.333
ˈo	ˈɔ	0.333
ˈaː	ˈøː	0.333
ʃ_#>	j_#>	0.333
ɣ̊	ɡ_ɛ	0.333
ɣ̊	ɡ	0.333
ɣ̊	-	0.333
x	ɡ	0.333
k	ɡː	0.333
ʃ	s	0.318
t	t	0.308
ˈau̯	-	0.3
ˈai̯	ˈɛ	0.3
ʦ	tː	0.273
ʦ	-	0.273
ʃ	k	0.273
m	mː	0.261
ˈiː	ˈʉː	0.25
ˈaː	ˈeː	0.25
ˈaː	-	0.25
ˈu	ˈʊ	0.231
t	tʰ	0.231
ʃ	ɧ	0.227
x	-	0.222
n	nː	0.222
kʰ	ɕ	0.222
k	ɡ	0.222
k	kʰ	0.222
k	-	0.222
ˈai̯	ˈeː	0.2
ʃ	s_k	0.182
v	-	0.174
ˈaː	ˈœ	0.167
ə	-	0.167
ɐ	r_a	0.167
ɐ	a	0.167
ɐ	-	0.167
#>	ɡː_#>	0.167
d̥	tʰ	0.159
d̥	-	0.159
s	t	0.156
ˈi	ˈʏ	0.138
æ̆	-	0.136
ˈɑː	ˈɛː	0.133
ˈɑː	ˈa_r	0.133
s	ɧ	0.125
h	-	0.125
f	v	0.115
f	p	0.115
d̥	t	0.114
n	n_d	0.111
n	-	0.111
l	lː	0.108
ˈi	ˈɛ	0.103
æ̆	ɛ	0.091
f	pː	0.077
f	pʰ	0.077
ˈi	ˈɵ	0.069
ˈi	ˈœ	0.069
ˈi	j	0.069
ˈi	-	0.069
