Sichuanese	Sichuanese	probability
⁵⁵	⁴²	1.0
⁵³	²¹³	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɥ	ɥ	1.0
ə_n	a_ŋ	1.0
ɕ	ɕ	1.0
ŋ	ŋ	1.0
z̩	z̩	1.0
z	-	1.0
y	y	1.0
x_w	f	1.0
w_ə	u	1.0
w_a	ɵ	1.0
w	w	1.0
v_u	ŋ̍	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	nʲ	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ə	i	1.0
j_²¹³	j_²¹³	1.0
j_a	j_ɛ	1.0
i	i	1.0
f	f	1.0
e_j	j	1.0
e	ɵ_t̚	1.0
<#_n	<#_l_j	1.0
j	j	0.857
n	n	0.8
x	h	0.714
a	a	0.643
t	tʰ	0.6
²¹³	¹¹	0.579
o	u	0.571
ɛ	ɛ_t̚	0.5
u	u	0.5
ə	ɨ	0.429
t	t	0.4
²¹	³⁵	0.327
²¹	⁵	0.308
u	u_ʔ	0.3
ə	ɛ	0.286
ə	j_ɛ	0.286
x	f	0.286
o	o	0.286
²¹³	²¹³	0.263
ɛ	ɛ	0.25
ɛ	a	0.25
²¹	²⁴	0.25
a	ɔ	0.214
u	ɨ_t̚	0.2
n	l	0.2
²¹³	³⁵	0.158
o	ɔ_ʔ	0.143
j	-	0.143
a	ɵ	0.143
²¹	t̚_⁵	0.077
