Alsatian	Middle High German	probability
ˈəi̯	ˈei̯	1.0
ˈɔi̯	ˈou̯_w	1.0
ˈɒː	ˈɑ	1.0
ˈɒ	ˈɑ	1.0
ˈœ	ˈou̯	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈo	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈuː	1.0
ˈo	ˈo	1.0
ˈi_n	ˈy_n	1.0
ˈaː	-	1.0
ˈai̯	ˈøy̯	1.0
ʦ	ʦ	1.0
ʃ_t	s_t	1.0
ʁ	r	1.0
ɡ̊	ɡ	1.0
ə_t	oː	1.0
w	w	1.0
t	t	1.0
p͡f	p͡f	1.0
p	p	1.0
h	h	1.0
eː	ɛ	1.0
e	n	1.0
b̥	b	1.0
l	l	0.977
m	m	0.956
ˈæː	ˈɛ	0.861
ˈi	ˈi	0.803
ʋ	w	0.799
kʰ	kʰ	0.795
n	n	0.786
j	ɡ	0.777
ˈu	ˈu	0.757
f	v	0.713
k	kː	0.705
d̥	d	0.693
ˈʊː	ˈuə̯	0.671
s	s	0.657
x	x	0.571
ˈeː	-	0.558
ə	ə	0.532
ˈei̯	ˈiː	0.531
ŋ	ŋ	0.53
i	ə_ɡ̊	0.5
ʃ	ʃ	0.492
ˈoː	ˈɑː	0.488
ŋ	ŋ_ɡ	0.47
ˈei̯	ˈei̯	0.469
ə	ə_n	0.435
x	xː	0.429
ˈe	ˈɛ	0.388
ˈe	ˈe	0.372
ˈoː	ˈoː	0.344
i	ə	0.333
ˈʊː	ˈou̯	0.329
d̥	d̥	0.307
k	x	0.295
f	f	0.273
ˈiː	ˈiə̯	0.269
ʃ	x	0.264
s	s̻	0.255
ˈeː	ˈøː	0.247
ˈe	ˈy	0.24
ˈiː	ˈyː	0.23
j	j	0.223
kʰ	k	0.205
ˈiː	ˈi	0.194
ˈeː	ˈeː	0.194
ˈiː	ˈiː	0.174
ˈoː	-	0.168
i	i	0.167
ʃ	ʃː	0.155
ˈæː	ˈæː	0.139
ʋ	ɡ_ə	0.134
ˈiː	ˈyə̯	0.133
ˈu	ˈy	0.125
ˈu	ˈo	0.118
ˈi	ˈiː	0.099
ˈi	ˈyː	0.098
ʃ	-	0.09
s	s̻ː	0.089
n	nː	0.086
n	n_ə	0.08
ʋ	-	0.067
