Gascon	Auvergnat	probability
ˈɛ_w	ˈa_l	1.0
ˈo	-	1.0
ˈa_j	ˈe_j	1.0
ʦ	s	1.0
ʤ	ʧ	1.0
ʒ	ʤ	1.0
ʎ	ʎ	1.0
ʃ	s	1.0
ɾ_ˈe	ʀ_ˈɪ	1.0
ɾ_ˈa	ˈa	1.0
ɲ	ɲ	1.0
z_l	lː	1.0
s_e	s_ə	1.0
r_ˈe	ˈe	1.0
r_t	ˈɔ_ʀ	1.0
r	ʀ	1.0
p_ˈe	pʲ	1.0
p	p	1.0
n_ˈa	n_w	1.0
n_u	n	1.0
n_t	ŋ_t	1.0
mː	m	1.0
k_ɾ	k_ʀ	1.0
k_w	k	1.0
h	f	1.0
f	f	1.0
e_s	ɪ	1.0
e_h	f	1.0
a_w	œ	1.0
ɔ	ɔ	0.972
ˈɛ	ˈe	0.945
l	l	0.942
m	m	0.89
ɾ	ʀ	0.881
d	d	0.875
ŋ	ŋ	0.869
w_ˈe	ˈœ	0.831
w	w	0.8
u	u	0.783
ɡ	ɡ	0.743
s	s	0.738
s_t	t	0.728
j	j	0.687
t	t	0.663
ˈa	ˈa	0.643
ˈɔ	w_ˈɔ	0.641
a	ɒ	0.641
ɣ	ɡ	0.635
ð	d	0.595
e	ə	0.533
k	ʧ	0.527
ˈu	ˈu	0.51
i	i	0.501
j_ˈe	ˈe	0.5
j_ˈe	ə	0.5
n	n	0.48
k	k	0.473
z	-	0.466
ˈi	ˈi	0.434
b	v	0.398
n	ŋ	0.393
b	b	0.391
ˈɔ	w	0.359
ˈa	ˈã	0.357
ˈe	ˈɪ	0.354
z	ʒ	0.339
ˈi	ˈĩ	0.315
β	b	0.313
ð	-	0.297
t	ʧ	0.275
s_t	ˈɔ_t	0.272
s	-	0.262
i	ə	0.262
ˈy	ˈy	0.258
ɡ	ʤ	0.257
j	-	0.247
i	ĩ	0.236
β	b_ʀ	0.222
ˈu	w_ˈɔ̃	0.221
β	v	0.212
b	vʲ	0.211
ˈu	ˈũ	0.206
ˈe	ˈẽ	0.205
ˈy	w_ˈẽ	0.199
ɣ	ʤ	0.199
z	z	0.196
ˈy	ˈỹ	0.193
ˈe	ˈe	0.177
w_ˈe	j_ˈɔ	0.169
ˈy	ˈu	0.167
ɣ	ɡʲ	0.167
a	a	0.149
e	-	0.147
e	ɒ	0.142
β	w_ʀ	0.141
ˈi	ˈi_n	0.139
ŋ	n	0.131
ˈe	-	0.126
n	ɲ	0.126
d	dʲ	0.125
e	ʀ_ə	0.117
ˈe	ˈɪ̃	0.112
a	-	0.112
β	-	0.111
ˈi	ˈɪ	0.111
u	ũ	0.11
m	mʲ	0.11
ð	z	0.108
u	-	0.107
a	ã	0.099
ˈy	ˈy_ʀ	0.093
ˈy	-	0.09
ɾ	l	0.082
w	ˈɔ_w	0.07
w	l	0.07
j	i	0.066
ˈu	w	0.063
t	-	0.062
e	e	0.061
w	ɥ	0.06
l	ʎ	0.058
ˈɛ	ˈɛ	0.055
