North Frisian	Nynorsk Norwegian	probability
ˈʏ	ˈʏ	1.0
ˈɛ	ˈøː	1.0
ˈɔu̯_n	ˈoː_n	1.0
ˈɔu̯	ˈuː	1.0
ˈœi̯	-	1.0
ˈœ_dʲ_#>	ˈuː_#>	1.0
ˈøː	ˈʉː	1.0
ˈyː_dʲ_#>	ˈæʉ̯_#>	1.0
ˈyː_#>	ˈʉː_#>	1.0
ˈiː_nʲ_#>	ˈæɪ̯_n_#>	1.0
ˈeː_l	l	1.0
ˈai̯	ˈɪ	1.0
ˈa_r	ˈɑ_ɾ	1.0
ʃ_#>	s_k_#>	1.0
ə_v_#>	ʋ_#>	1.0
ŋ_ə	ŋː_e	1.0
ŋ_k	ʰkː	1.0
ŋ_#>	ŋː_#>	1.0
ŋ	ŋː	1.0
z	t	1.0
x_t	ʰtː	1.0
w	ɡ_ɑ	1.0
v_<#	<#	1.0
tʲ_#>	t_#>	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
r_d_#>	ˈuː_ɾ_#>	1.0
r_#>	ɾ_#>	1.0
r	ɾ	1.0
p_#>	p_#>	1.0
p	p	1.0
nʲ_#>	nː_#>	1.0
m_ə	m_ɑ	1.0
m_#>	m_#>	1.0
m	mː	1.0
lʲ_#>	lː_#>	1.0
j_ə	ɡ	1.0
i	ɑ	1.0
h	j	1.0
f_#>	ʋ_#>	1.0
f	ˈuː	1.0
dʲ	-	1.0
<#_ˈʊ	<#_ˈʉ	1.0
<#_ʃ	<#_ʂ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_p	<#_pʰ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
l	l	0.88
<#_s	<#_s	0.853
t	t	0.75
n_#>	n_#>	0.75
d_#>	#>	0.75
v	ʋ	0.733
j	-	0.727
k_#>	k_#>	0.714
ə_#>	ɑ_#>	0.689
s	s	0.667
ˈi	ˈiː	0.643
l_#>	l_#>	0.636
ˈœ	ˈɑ	0.625
t_#>	t_#>	0.615
ˈɔ_r	ˈʊ_ɾ	0.6
ʃ	-	0.6
ˈɒ	ˈɑ	0.556
ˈyː	ˈʉː	0.556
k	k	0.556
#>	e_#>	0.513
ˈɒː	ˈɛ	0.5
ˈɒː	ˈɑː	0.5
tʲ	t	0.5
tʲ	-	0.5
ˈuː	ˈæʉ̯	0.455
ə	-	0.444
ˈeː	ˈɛ	0.429
d	t	0.429
ˈʊ	ˈʉ	0.4
ˈɔː	ˈʉː	0.4
ˈɔ_r	ˈɔ_ɾ	0.4
ʃ	k	0.4
n	-	0.4
t_#>	#>	0.385
ˈœ	ˈuː	0.375
l_#>	lː_#>	0.364
ˈɛː	ˈoː	0.333
ˈɛː	ˈeː	0.333
ˈɛː	-	0.333
ə	ə	0.333
s	nː	0.333
n	n_d	0.333
ˈa	ˈɪ	0.308
ˈa	-	0.308
ˈeː	ˈʏ	0.286
ˈeː	ˈeː	0.286
k_#>	ɡ_#>	0.286
d	j	0.286
d	-	0.286
ˈuː	ˈɑ	0.273
ˈuː	ˈoː	0.273
j	ɡ	0.273
ˈʊ	ˈɑ	0.267
v	-	0.267
t	-	0.25
n_#>	nː_#>	0.25
d_#>	d_#>	0.25
ə_#>	#>	0.244
ˈa	ˈɛ	0.231
ˈɒ	ˈɑː	0.222
ˈɒ	ˈæɪ̯	0.222
ˈyː	ˈʉ	0.222
ˈyː	-	0.222
ə	e	0.222
k	ç_ɑ	0.222
k	-	0.222
ˈiː	ˈæɪ̯	0.214
ˈiː	ˈyː	0.214
ˈi	ˈɪ	0.214
<#	<#_ç	0.208
#>	ɡ_#>	0.205
ˈʊ	ˈʏ	0.2
ˈɔː	ˈɔ	0.2
ˈɔː	ˈɑ	0.2
ˈɔː	j_ˈœ	0.2
ˈa	ˈɑː	0.154
<#_s	<#_ʂ	0.147
ˈiː	ˈʉː	0.143
ˈi	ˈeː	0.143
ˈʊ	-	0.133
n	nː	0.133
n	n	0.133
<#	<#_ˈɛ	0.125
<#	<#_ˈoː	0.125
<#	<#_s	0.125
<#	<#_kʰ	0.125
<#	<#_j	0.125
l	-	0.12
ˈiː	ˈœʏ̯	0.107
ˈiː	ˈiː	0.107
<#	<#_tʰ	0.083
<#	<#_d	0.083
#>	ɾ_#>	0.077
#>	ɡː_#>	0.077
#>	n_#>	0.077
ˈiː	ˈøː	0.071
ˈiː	ˈoː	0.071
ˈiː	-	0.071
ə_#>	e_#>	0.067
#>	ə_#>	0.051
