Czech	Czech	probability
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʒ̊	w̃_ʐ̊	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɟ	ʥ	1.0
ɛː	ɛ	1.0
ɛ_v	ɛ_v	1.0
ɛ_r	u_r	1.0
ɛ_n	ɔ_n	1.0
ɛ_l	a_w	1.0
ɛ_k	ɛ_k	1.0
z̥	z̥	1.0
uː	u	1.0
t_o	t_ɔ	1.0
t_a	t_a	1.0
s_#>	s_#>	1.0
r̝̊	ʐ̊	1.0
r̝	ʐ	1.0
r	r	1.0
p	p	1.0
m̩	ɛ_m	1.0
l_a	w_ɔ	1.0
k_uː	k_ɔ	1.0
k_iː	k_i	1.0
k	k	1.0
j	j	1.0
f	f	1.0
d̥	d̥	1.0
b̥	b̥	1.0
b	b	1.0
a_t	a_ʨ	1.0
<#_o	<#_ɔ	1.0
a	a	0.943
o	ɔ	0.906
ɦ	ɡ	0.895
v	v	0.846
d	d	0.826
m	m	0.778
x	x	0.75
n	n	0.75
c	ʨ	0.714
z	z	0.643
s	s	0.629
iː	ɨ	0.615
ɲ	ɲ	0.6
l̩	-	0.6
aː	a	0.6
ɛ	ɛ	0.571
t	ʨ	0.552
l	w	0.528
ɪ	ɨ	0.5
ou̯	ɔ	0.5
ou̯	u	0.5
l	l	0.472
t	t	0.448
ɲ	j	0.4
l̩	w	0.4
s	ɕ	0.371
z	ʑ	0.357
u	u	0.333
r̩	ɛ_r	0.333
r̩	r	0.333
r̩	a_r	0.333
ɪ	i	0.312
c	ʈ͡ʂ	0.286
x	ɡ̊	0.25
n	ɲ	0.25
u	ɛ_ŋ	0.222
u	ɔ_m	0.222
u	ɔ	0.222
m	m_j	0.222
aː	ɔ	0.2
aː	u	0.2
ɪ	-	0.188
d	ʥ	0.174
v	f	0.154
ɛ	a	0.143
ɦ	ɡ_j	0.105
iː	j_a	0.103
iː	i	0.103
iː	-	0.103
o	u	0.094
ɛ	j_ɛ	0.089
iː	ɛ	0.077
ɛ	ɛ_ɲ	0.071
ɛ	u	0.071
a	ɛ_w̃	0.057
ɛ	ɔ	0.054
