Asturian	Brazilian Portuguese	probability
f	f	1.0
k	k	1.0
p	p	1.0
r	h	1.0
ɟ͡ʝ	-	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
b	b	0.301
i	i	0.721
j	-	0.071
m	m	0.991
t	t	0.711
ˈi	ˈĩ	0.371
ˈo	ˈɐ̃	0.091
ˈo	ˈo	0.221
ˈu	ˈu	0.561
β	b	0.311
l	-	0.232
ð	d	0.942
ʧ	j_t	0.182
ˈo	ˈu	0.082
ˈo	ˈo_w	0.092
l	l	0.183
l	w	0.563
o	u	0.293
o	o	0.503
t	ʧ	0.273
ŋ	j̃	0.63
ɲ	n	0.263
ɾ	i_#>	0.093
ˈe	ˈɛ	0.053
e	-	0.114
e	e	0.34
e	i	0.494
o	-	0.204
u	w̃	0.054
w	ˈo	0.614
ʃ	j_ʃ	0.084
ʎ	l	0.84
ˈa	ˈɐ̃	0.324
ˈo	ˈɔ	0.124
d	ʤ	0.155
d	d	0.845
n	n	0.515
ɾ	h	0.355
ʝ	-	0.135
ˈe	ˈe	0.725
ˈi	ˈi_ʎ	0.05
ˈi	ˈi	0.5
ˈo	ˈõ	0.325
u	-	0.06
w	w	0.386
ʃ	ʒ	0.916
ʎ	ʃ	0.16
ʝ	ʒ	0.116
ˈa	ˈa	0.676
θ	ʃ	0.216
a	a	0.27
n	-	0.247
ŋ	w̃	0.37
ɲ	j̃	0.737
ɾ	ɦ	0.117
ɾ	ɾ	0.387
ʧ	ʧ	0.47
θ	z	0.287
a	ɐ	0.688
j	j	0.908
n	j̃	0.238
u	u	0.838
ʝ	ʎ	0.748
ʧ	t	0.348
ˈe	ˈẽ	0.148
θ	j_ʃ	0.058
b	v	0.699
i	ĩ	0.279
s	ʃ	0.419
s	s	0.509
ˈi	ˈe	0.079
ˈu	ˈũ	0.439
β	v	0.669
θ	s	0.439
