Macedonian	Macedonian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ɾ	r	1.0
ɲ	ɲ	1.0
ɫ_#>	l_ŭ_#>	1.0
ɡ̊	ɡ_ŭ	1.0
ɡ	ɡ	1.0
ɟ	d_ĭ	1.0
ɛ_#>	t_i_#>	1.0
z̥	z	1.0
z	z	1.0
x	x	1.0
v_a	x_a	1.0
v	v	1.0
t	t	1.0
r_#>	r_ŭ_#>	1.0
p	p	1.0
o_ˈ	o	1.0
o_#>	o_#>	1.0
n_#>	n_ĭ_#>	1.0
m_#>	m_ĭ_#>	1.0
m	m	1.0
l	l	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
j	j	1.0
d	d	1.0
b̥	b_ŭ	1.0
b_a	b	1.0
b	b	1.0
a_ˈ	ˀ	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#	<#_b	1.0
s	s	0.889
r	r	0.786
n	n	0.765
ɫ	l	0.75
r_a	o	0.714
a	a	0.667
r̩	ĭ	0.625
<#_j	<#	0.6
ɔ	o	0.571
t_#>	t_ĭ_#>	0.571
f	v_ŭ	0.571
u	uː	0.538
ɛ_ˈ	e	0.522
ɫ_a	o_l	0.5
ɫ_a	l_ĭ	0.5
o	o	0.5
d̥	d	0.5
ɔ	-	0.429
t_#>	t_ŭ_#>	0.429
f	x_ŭ	0.429
#>	̌_#>	0.417
i	i	0.409
ˈ	̂	0.407
<#_j	<#_a	0.4
#>	ŭ_#>	0.396
d̥	r_d	0.333
ɛ_ˈ	e_̂	0.304
r_a	oː	0.286
ɛ	ɛː	0.277
i	ɨ	0.273
r̩	r_ŭ	0.25
u	-	0.231
ˈ	̌	0.221
ɛ	e	0.213
ˈ	-	0.195
ɛ_ˈ	ɛː	0.174
o	ŭ	0.167
o	ĭ	0.167
d̥	ʤ	0.167
u	õː	0.154
ɫ	-	0.15
a	õː	0.146
#>	ĭ_#>	0.146
r	-	0.143
i	iː	0.136
ˈ	ˀ	0.133
ɛ	ẽ	0.128
ɛ	-	0.128
r̩	ĭː	0.125
n	̌_n	0.118
n	ĭ	0.118
s	s_ŭ	0.111
ɫ	ŭ	0.1
o	oː	0.1
i	ɨː	0.091
i	-	0.091
ɛ	ẽː	0.085
u	u	0.077
r	rʲ	0.071
o	-	0.067
ɛ	ɛː_̌	0.064
ɛ	l	0.064
a	a_ˀ	0.062
