Alsatian	Alsatian	probability
ˈɛ	ˈa	1.0
ˈɔi̯	ˈœu̯	1.0
ˈɒ_l	ˈœu̯	1.0
ˈøː	ˈu	1.0
ˈøi̯	ˈœɪ̯	1.0
ˈø	ˈʊə̯	1.0
ˈyː	ˈœɪ̯	1.0
ˈoː_t	ˈoː	1.0
ˈi_n	n	1.0
ˈaː	-	1.0
ˈai̯	ˈʊə̯	1.0
ʦ	t	1.0
ʋ_ə	v_ə	1.0
ʋ	v	1.0
ʃ_w	s_v	1.0
ʁ_ˈi	r	1.0
ɡ̊	χ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x	χ	1.0
t_ʁ	d_r	1.0
s_ə	t	1.0
p͡f	p	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_ə	k	1.0
k_s	s	1.0
k	χ	1.0
i_ʃ	k	1.0
h	ɦ	1.0
f_ə	p	1.0
eː	i	1.0
e	ˈəɪ̯	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ˈɒ	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
ʁ	r	0.962
n	n	0.952
f	v̥	0.846
ˈɒː	ˈa	0.8
ˈi	ˈə	0.714
ˈo	ˈɔ	0.7
ˈɒ	ˈa	0.65
ˈu	ˈɔ	0.65
ˈəi̯	ˈəɪ̯	0.625
ə	-	0.619
ˈæː	ˈɪə̯	0.6
ˈæ	ˈɪə̯	0.6
ˈei̯	ˈi	0.6
j	χ	0.6
i	ə	0.6
d̥	d	0.594
s	s	0.593
ʃ	s	0.556
ˈoː	ˈɑː	0.538
ˈʊː	ˈu	0.5
ʃ_t	s_t	0.5
t	d̥	0.5
ˈoː	ˈʊə̯	0.462
ˈe	-	0.417
s	t	0.407
ˈæː	ˈɑː	0.4
ˈæ	ˈæ	0.4
ˈei̯	ˈɪə̯	0.4
j	j	0.4
i	ə_ŋ	0.4
ə	ə	0.381
ˈəi̯	ˈɪə̯	0.375
ˈeː	-	0.375
d̥	d̥	0.344
ˈʊː	ˈʊə̯	0.333
#>	d̥_#>	0.333
ˈo	ˈʊə̯	0.3
ˈiː	ˈəɪ̯	0.263
ˈiː	ˈi	0.263
ˈɒ	ˈɑː	0.25
ˈu	ˈœ	0.25
ˈeː	ˈʊə̯	0.25
ˈeː	ˈi	0.25
ˈe	ˈɛ	0.25
ʃ_t	χ	0.25
ʃ_t	s	0.25
ʃ	s_k	0.222
ʃ	k	0.222
#>	χ_#>	0.222
#>	ə_#>	0.222
#>	k_#>	0.222
ˈɒː	-	0.2
t	t	0.192
ˈʊː	ˈu_j	0.167
ˈe	ˈɪə̯	0.167
ˈe	ˈə	0.167
ˈiː	ˈu	0.158
f	p	0.154
ˈeː	w	0.125
t	d	0.115
t	-	0.115
ˈiː	ˈə	0.105
ˈiː	ˈyː	0.105
ˈiː	-	0.105
ˈɒ	-	0.1
ˈu	ˈɪø̯	0.1
ˈi	ˈɪə̯	0.095
ˈi	ˈɛ	0.095
ˈi	ˈœɪ̯	0.095
t	r	0.077
d̥	-	0.062
