Ripuarian	Saterland Frisian	probability
b	b	1.0
d	d	0.727
d	t	0.16
d	-	0.107
d_ɐ	r	0.258
f	f	0.712
f	p	0.156
f	x	0.066
f	-	0.057
h	h	0.927
h	k	0.073
j	ɣ	0.547
j	j	0.351
j	ɡ	0.094
k	k	0.523
k	d	0.217
k	x	0.071
k	s	0.071
k	-	0.047
l	l	0.952
m	m	0.979
m	-	0.042
n	n	0.887
n	-	0.108
p	p	0.734
p	d	0.257
s	s	0.473
s	t	0.392
s	z	0.081
s	t_ə	0.048
t	t	0.488
t	d	0.471
t	-	0.04
v	v	0.283
v	ɣ	0.245
v	w	0.186
v	-	0.135
x	x	0.558
x	k	0.185
x	-	0.122
x	ɣ	0.122
z	s	0.882
z	s_j	0.072
z	z	0.056
ŋ	ŋ	0.549
ŋ	n	0.375
ŋ	x	0.071
ɐ	r	0.605
ɐ	ə_r	0.318
ɐ	-	0.04
ɐ	r_ə	0.039
ɐ	ə	0.037
ɕ	x	0.535
ɕ	k	0.17
ɕ	k_ə	0.107
ɕ	-	0.093
ɕ	ɣ	0.071
ə	ə	0.715
ə	j_ə	0.135
ə	ɪ	0.059
ə	a	0.035
ə	-	0.035
ɣ	ɣ	1.0
ɪ	ɪ	1.0
ʀ	r	0.92
ʀ	r_j	0.047
ʀ	z	0.045
ʃ	s	0.553
ʃ	s_k	0.443
ʋ	v	1.0
ʦ	t	0.929
ʦ	d	0.072
ˈa	ˈɔː	0.199
ˈa	ˈɛ	0.154
ˈa	ˈoːu̯	0.142
ˈa	ˈoː	0.142
ˈa	ˈɔ	0.114
ˈaʊ̯	ˈoː	0.403
ˈaʊ̯	ˈɔ	0.266
ˈaʊ̯	ˈaːu̯	0.155
ˈaʊ̯	ˈuː	0.098
ˈaː	ˈɔː	0.497
ˈaː	ˈoː	0.132
ˈaː	ˈaː	0.1
ˈaː	ˈa	0.1
ˈaː	ˈaːi̯	0.1
ˈe	ˈɪ	0.511
ˈe	ˈiː	0.225
ˈe	ˈʊ	0.129
ˈe	ˈa	0.129
ˈeɪ̯	ˈɛɪ̯	0.784
ˈeɪ̯	ˈɔːɪ̯	0.133
ˈeː	j_ˈoː	0.29
ˈeː	ˈeː	0.194
ˈeː	ˈaː	0.098
ˈeː	ˈɛɪ̯	0.098
ˈeː	ˈi	0.098
ˈiː	ˈi	0.289
ˈiː	ˈeː	0.267
ˈiː	ˈiː	0.246
ˈiː	ˈɛː	0.105
ˈiː	ˈaːu̯	0.082
ˈo	ˈʊ	0.545
ˈo	ˈoːu̯	0.15
ˈo	ˈɔ	0.135
ˈo	ˈuː	0.095
ˈoː	ˈoːu̯	0.351
ˈoː	ˈoː	0.267
ˈoː	ˈiː	0.085
ˈoː	ˈɛ	0.064
ˈoː	ˈɛɪ̯	0.062
ˈoː_d	ˈuː	0.508
ˈu	ˈuː	0.376
ˈu	ˈɔː	0.285
ˈuː	ˈoː	0.549
ˈuː	ˈuː	0.229
ˈuː	ˈɛɪ̯	0.112
ˈuː	ˈu	0.086
ˈyː	j_ˈuː	0.302
ˈyː	ˈuː	0.267
ˈyː	ˈeː	0.232
ˈøː	ˈɛɪ̯	0.685
ˈøː	ˈeː	0.157
ˈøː	ˈuː	0.157
ˈœ	ˈɛː	0.367
ˈœ	ˈʊ	0.206
ˈœ	ˈɔ	0.138
ˈœ	ˈyː	0.093
ˈœ	ˈiː	0.093
ˈɔ	ˈoːu̯	0.29
ˈɔ	ˈʊ	0.259
ˈɔ	ˈɔ	0.208
ˈɔ	ˈu	0.094
ˈɔ	ˈɔː	0.078
ˈɔʏ̯	ˈɛɪ̯	1.0
ˈɛ	ˈeː	0.203
ˈɛ	ˈɛ	0.173
ˈɛ	ˈɪ	0.131
ˈɛ	ˈaː	0.086
ˈɛ	ˈiːu̯	0.072
ˈɛː	ˈiː	0.183
ˈɛː	ˈɔː	0.147
ˈɛː	ˈaːi̯	0.147
ˈɛː	ˈi	0.139
ˈɛː	ˈɛɪ̯	0.105
ˈɪ	ˈɪ	0.311
ˈɪ	ˈi	0.17
ˈɪ	ˈiː	0.148
ˈɪ	ˈɔː	0.148
ˈɪ	ˈoː	0.112
ˈʊ	ˈʊ	0.66
ˈʊ	ˈuː	0.17
ˈʏ	ˈuː	0.381
ˈʏ	ˈœː	0.251
ˈʏ	ˈyː	0.147
ˈʏ	ˈɔ	0.147
