Ripuarian	Saterland Frisian	probability
b	b	0.926
d	d	0.765
d	t	0.19
e	i	1.0
f	f	0.75
f	p	0.179
h	h	0.961
j	j	0.448
j	ɣ	0.427
j	ɡ	0.125
k	k	0.583
k	d	0.205
k	x	0.099
k	-	0.077
l	l	0.96
m	m	0.911
m	-	0.089
n	n	0.93
p	p	0.838
p	d	0.162
s	t	0.577
s	s	0.233
s	z	0.189
t	d	0.629
t	t	0.341
v	v	0.482
v	ɣ	0.215
v	-	0.188
v	w	0.115
x	x	0.629
x	-	0.177
x	k	0.135
x	ɣ	0.059
z	s	0.977
ŋ	n	0.51
ŋ	ŋ	0.469
ɐ	r	0.607
ɐ	ə_r	0.252
ɐ	-	0.063
ɕ	x	0.503
ɕ	k	0.437
ɕ	ɣ	0.06
ə	ə	0.759
ə	j_ə	0.147
ɣ	ɣ	1.0
ɪ	ɪ	0.741
ɪ	-	0.259
ʀ	r	0.951
ʃ	s	0.529
ʃ	s_k	0.471
ʋ	v	0.961
ʦ	t	0.971
ˈa	ˈoːu̯	0.28
ˈa	ˈɔː	0.141
ˈa	ˈɔ	0.138
ˈa	ˈoː	0.088
ˈa	ˈɪ	0.084
ˈa	ˈɛ	0.079
ˈa	ˈaː	0.066
ˈa	ˈiː	0.063
ˈaʊ̯	ˈoː	0.463
ˈaʊ̯	ˈøː	0.205
ˈaʊ̯	ˈuː	0.193
ˈaʊ̯	ˈaːu̯	0.082
ˈaʊ̯	ˈɔ	0.057
ˈaː	ˈɔː	0.372
ˈaː	ˈɛɪ̯	0.214
ˈaː	ˈoː	0.117
ˈaː	ˈaː	0.083
ˈaː	ˈaːi̯	0.083
ˈaː	ˈa	0.066
ˈaː	-	0.065
ˈe	ˈɪ	0.59
ˈe	ˈiː	0.256
ˈe	j	0.137
ˈeɪ̯	ˈɛɪ̯	0.582
ˈeɪ̯	ˈɔːɪ̯	0.275
ˈeɪ̯	ə	0.143
ˈeː	j_ˈoː	0.355
ˈeː	ˈeː	0.244
ˈeː	ˈaː	0.106
ˈeː	ˈi	0.08
ˈiː	ˈi	0.415
ˈiː	ˈeː	0.19
ˈiː	ˈiː	0.128
ˈiː	ə	0.089
ˈiː	ˈaːu̯	0.089
ˈiː	ˈɛː	0.089
ˈo	ˈʊ	0.721
ˈo	ˈoːu̯	0.125
ˈo	ˈɔ	0.09
ˈo	ˈuː	0.064
ˈoʊ̯	ˈuː	0.795
ˈoʊ̯	ˈoː	0.205
ˈoː	ˈoː	0.326
ˈoː	ˈoːu̯	0.312
ˈoː	ˈʊ	0.091
ˈoː	ˈɛɪ̯	0.076
ˈoː	ˈuː	0.065
ˈu	ˈuː	0.913
ˈu	ˈɔː	0.087
ˈuː	ˈoː	0.473
ˈuː	ˈuː	0.388
ˈuː	ˈɛɪ̯	0.078
ˈuː	ˈu	0.061
ˈyː	ˈuː	0.299
ˈyː	j_ˈuː	0.283
ˈyː	ˈeː	0.26
ˈyː	ˈɔː	0.092
ˈyː	j	0.066
ˈøː	ˈɛɪ̯	0.841
ˈøː	ˈeː	0.118
ˈœ	ˈɛː	0.403
ˈœ	ˈyː	0.192
ˈœ	ˈiː	0.18
ˈœ	ˈɔ	0.18
ˈɔ	ˈoːu̯	0.482
ˈɔ	ˈɔ	0.186
ˈɔ	ˈʊ	0.173
ˈɔ	ˈɔː	0.051
ˈɔʏ̯	ˈɛɪ̯	1.0
ˈɛ	ˈɛː	0.18
ˈɛ	ˈɛ	0.176
ˈɛ	ˈeːu̯	0.139
ˈɛ	ˈɪ	0.109
ˈɛ	ˈeː	0.102
ˈɛ	ˈaː	0.082
ˈɛ	ˈiː	0.066
ˈɛ	ˈiːu̯	0.065
ˈɛː	ˈi	0.265
ˈɛː	ˈiː	0.195
ˈɛː	ˈaːi̯	0.133
ˈɛː	ˈɔː	0.099
ˈɛː	ˈɛɪ̯	0.077
ˈɛː	ˈiː_r	0.071
ˈɛː	ˈeː	0.062
ˈɛː	ˈɛː	0.059
ˈɪ	ˈɪ	0.322
ˈɪ	ˈi	0.204
ˈɪ	ˈiː	0.2
ˈɪ	ˈʊ	0.142
ˈɪ	ˈɔː	0.099
ˈʊ	ˈʊ	0.776
ˈʊ	ˈuː	0.224
ˈʏ	ˈuː	0.454
ˈʏ	ˈɔ	0.339
ˈʏ	ˈœː	0.106
ˈʏ	ˈyː	0.101
