Ripuarian	Limburgish	probability
#>	#>	0.932
#>	ʀ_#>	0.054
<#	<#	1.0
b	b	1.0
d	d	0.806
d	-	0.193
d_ɐ	ʀ	1.0
f	v	0.604
f	f	0.193
f	p	0.178
h	ɦ	0.984
j	ɣ	0.81
j	j	0.182
k	k	0.631
k	t	0.237
k	x	0.061
k	-	0.055
l	l	0.869
l_#>	#>	0.242
m	m	0.95
n	n	0.814
n	-	0.183
n_#>	#>	0.492
p	p	0.805
p	t	0.155
s	s	0.564
s	t	0.404
t	t	0.789
t	ʀ_t	0.108
t_#>	#>	0.492
v	v	0.806
v	β	0.118
x	x	0.823
x	k	0.173
z	z	1.0
ŋ	ŋ	0.519
ŋ	n	0.417
ŋ	ɣ	0.061
ɐ	ə	0.65
ɐ	ʀ	0.349
ɕ	x	0.643
ɕ	k	0.238
ɕ	ŋ	0.071
ə	ə	0.88
ə	-	0.085
ɣ	ɣ	0.644
ɣ	ɡ	0.24
ɪ	ə	0.574
ɪ	ɪ	0.282
ʀ	ʀ	1.0
ʃ	s	0.66
ʃ	ʃ	0.187
ʃ	z	0.102
ʋ	β	1.0
ʦ	t	0.785
ʦ	ʀ_t	0.156
ʦ	d	0.055
ˈa	ˈaː	0.4
ˈa	ˈɑ	0.259
ˈa	ˈɑː	0.196
ˈa	ˈɪː	0.096
ˈaʊ̯	ˈɔː	0.304
ˈaʊ̯	ˈɔu̯	0.186
ˈaʊ̯	ˈuː	0.172
ˈaʊ̯	ˈœ	0.111
ˈaː	ˈɑ	0.328
ˈaː	ˈaː	0.286
ˈaː	ˈɒː	0.217
ˈaː	ˈɛ	0.077
ˈaː	ˈɑː	0.06
ˈe	ˈɪː	0.294
ˈe	ˈɛ	0.236
ˈe	ˈɪ	0.236
ˈe	ˈɛː	0.135
ˈe	ˈeː	0.071
ˈeɪ̯	ˈɛːi̯	0.644
ˈeɪ̯	ˈɛi̯	0.118
ˈeɪ̯	ˈɛ	0.078
ˈeː	ˈeː	0.474
ˈeː	ˈɛː	0.331
ˈeː	ˈi	0.122
ˈeː	ˈiː	0.059
ˈiː	ˈiː	0.344
ˈiː	ˈi	0.286
ˈiː	ˈeː	0.174
ˈiː	ˈɛː	0.068
ˈiː	ˈɪ	0.068
ˈiː	ˈɛ	0.053
ˈo	ˈʊː	0.336
ˈo	-	0.193
ˈo	ˈɔː	0.193
ˈo	ˈʊ	0.131
ˈo	ˈɔ	0.089
ˈoː	ˈʊː	0.358
ˈoː	ˈɒː	0.252
ˈoː	ˈɔː	0.088
ˈoː	ˈoː	0.067
ˈoː	ˈoː_j	0.051
ˈoː	ˈøː	0.051
ˈoː	ˈɔ	0.051
ˈu	ˈoː	0.85
ˈu	ˈɔ	0.077
ˈuː	ˈu	0.477
ˈuː	ˈuː	0.471
ˈyː	ˈyː	0.457
ˈyː	ˈu	0.157
ˈyː	ˈœi̯	0.157
ˈyː	-	0.096
ˈøː	ˈøː	0.677
ˈøː	ˈœi̯	0.179
ˈøː	ˈi	0.122
ˈœ	ˈœ	0.364
ˈœ	ˈiː	0.135
ˈœ	ˈɪ	0.128
ˈœ	ˈʏː	0.109
ˈœ	ˈʏ	0.1
ˈɔ	ˈɔ	0.448
ˈɔ	ˈɔː	0.163
ˈɔ	ˈʊː	0.124
ˈɔ	ˈɒː	0.082
ˈɔ	ˈœː	0.067
ˈɔ	ˈoː	0.065
ˈɔʏ̯	ˈœi̯	0.492
ˈɛ	ˈeː	0.39
ˈɛ	ˈæ	0.186
ˈɛ	ˈɛ	0.111
ˈɛ	ˈiː	0.073
ˈɛ	ˈɑ	0.073
ˈɛː	ˈeː	0.479
ˈɛː	ˈæː_ʀ	0.273
ˈɛː	ˈaː	0.162
ˈɛː	ˈæ	0.078
ˈɪ	ˈi	0.268
ˈɪ	ˈɪː	0.228
ˈɪ	ˈɪ	0.114
ˈɪ	ˈeː	0.087
ˈɪ	ˈɛː	0.085
ˈɪ	ə	0.066
ˈɪ	ɪː	0.066
ˈɪ	ˈɛ	0.065
ˈʊ	ˈʏː	0.574
ˈʊ	ˈœː	0.282
ˈʏ	ˈøː	0.349
ˈʏ	ˈɪː	0.265
ˈʏ	ˈeː	0.162
ˈʏ	ˈœi̯	0.111
