Ripuarian	Limburgish	probability
b	b	1.0
d	d	0.816
d	-	0.182
d_ɐ	ʀ	1.0
f	v	0.604
f	f	0.193
f	p	0.178
f	ˈv	0.032
h	ɦ	0.943
h	k	0.059
j	ɣ	0.81
j	j	0.182
k	k	0.604
k	t	0.224
k	x	0.077
k	-	0.058
k	ɦ	0.036
l	l	0.852
l	j	0.048
l	-	0.046
l	w	0.029
l	n	0.029
m	m	0.954
m	-	0.046
n	n	0.77
n	-	0.209
n	l	0.029
p	p	0.692
p	t	0.292
s	s	0.577
s	t	0.392
s	-	0.04
t	t	0.765
t	ʀ_t	0.099
t	-	0.068
t	j	0.042
t	β	0.034
v	v	0.749
v	β	0.238
x	x	0.823
x	k	0.173
z	z	1.0
ŋ	ŋ	0.519
ŋ	n	0.417
ŋ	ɣ	0.061
ɐ	ʀ	0.346
ɐ	ə_ʀ	0.337
ɐ	ʀ_ə	0.312
ɕ	x	0.666
ɕ	k	0.215
ɕ	ŋ	0.064
ɕ	-	0.052
ə	ə	0.88
ə	-	0.085
ə	ɪ	0.033
ɣ	ɣ	0.644
ɣ	ɡ	0.24
ɪ	ə	0.574
ɪ	ɪ	0.282
ʀ	ʀ	0.95
ʀ	-	0.05
ʃ	s	0.66
ʃ	ʃ	0.187
ʃ	z	0.102
ʃ	ʦ	0.043
ʋ	β	1.0
ʦ	t	0.757
ʦ	ʀ_t	0.15
ʦ	d	0.086
ˈa	ˈaː	0.4
ˈa	ˈɑ	0.245
ˈa	ˈɑː	0.196
ˈa	ˈɪː	0.096
ˈa	ˈœ	0.048
ˈaʊ̯	ˈɔː	0.232
ˈaʊ̯	ˈœ	0.232
ˈaʊ̯	ˈuː	0.15
ˈaʊ̯	ˈɔ	0.142
ˈaʊ̯	ˈɔu̯	0.142
ˈaː	ˈɑ	0.328
ˈaː	ˈaː	0.286
ˈaː	ˈɒː	0.217
ˈaː	ˈɛ	0.077
ˈaː	ˈɑː	0.06
ˈe	ˈɪː	0.294
ˈe	ˈɪ	0.236
ˈe	ˈɛ	0.236
ˈe	ˈɛː	0.135
ˈe	ˈeː	0.071
ˈeɪ̯	ˈɛːi̯	0.608
ˈeɪ̯	ˈɛ	0.121
ˈeɪ̯	ˈɛi̯	0.111
ˈeː	ˈeː	0.453
ˈeː	ˈɛː	0.331
ˈeː	ˈi	0.132
ˈeː	ˈiː	0.059
ˈiː	ˈiː	0.337
ˈiː	ˈi	0.281
ˈiː	ˈeː	0.171
ˈiː	ˈɛː	0.067
ˈiː	ˈɪ	0.067
ˈo	ˈʊː	0.533
ˈo	ˈɔː	0.193
ˈo	ˈʊ	0.131
ˈo	ˈɔ	0.089
ˈoː	ˈʊː	0.358
ˈoː	ˈɒː	0.252
ˈoː	ˈɔː	0.088
ˈoː	ˈoː	0.067
ˈoː	ˈøː	0.051
ˈu	ˈoː	0.85
ˈu	ˈɔ	0.077
ˈuː	ˈuː	0.48
ˈuː	ˈu	0.439
ˈuː	ˈʊː	0.077
ˈyː	ˈyː	0.464
ˈyː	ˈœi̯	0.135
ˈyː	ˈu	0.131
ˈyː	-	0.118
ˈyː	ˈøː	0.056
ˈøː	ˈøː	0.677
ˈøː	ˈœi̯	0.179
ˈøː	ˈi	0.122
ˈœ	ˈœ	0.331
ˈœ	ˈʏː	0.187
ˈœ	ˈɪ	0.123
ˈœ	ˈiː	0.123
ˈœ	ˈʏ	0.094
ˈɔ	ˈɔ	0.412
ˈɔ	ˈɔː	0.138
ˈɔ	ˈʊː	0.138
ˈɔ	ˈœ	0.071
ˈɔ	ˈœː	0.06
ˈɔʏ̯	ˈœi̯	0.492
ˈɛ	ˈeː	0.373
ˈɛ	ˈæ	0.178
ˈɛ	ˈɛ	0.106
ˈɛ	ˈiː	0.07
ˈɛ	ˈæː	0.07
ˈɛː	ˈeː	0.479
ˈɛː	ˈæː	0.273
ˈɛː	ˈaː	0.162
ˈɛː	ˈæ	0.078
ˈɪ	ˈi	0.306
ˈɪ	ˈɪː	0.204
ˈɪ	ˈɪ	0.102
ˈɪ	ˈɛː	0.08
ˈɪ	ˈɛ	0.08
ˈʊ	ˈʏː	0.574
ˈʊ	ˈœː	0.282
ˈʏ	ˈøː	0.349
ˈʏ	ˈɪː	0.265
ˈʏ	ˈeː	0.162
ˈʏ	ˈœi̯	0.111
