Proto-Germanic	Proto-Germanic	probability
ˈɛː	ˈaː	1.0
ˈɔː	ˈu	1.0
ˈɑː	ˈaː	1.0
ˈɑu̯	ˈoː	1.0
ˈɑ_x	ˈaː	1.0
ˈɑ_s	ˈɑ_s	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈĩː	ˈɪ	1.0
ˈiː	ˈɛi̯	1.0
ˈiu̯	ˈœy̯	1.0
ˈeː	ˈi	1.0
ˈe_r	ˈaː_ɾ	1.0
ɣ	χ	1.0
ɡʷ	-	1.0
ɛː	ə	1.0
ɔ̃ː_#>	#>	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɑː	ə	1.0
ɑi̯	ˈɪ_n	1.0
ɑ_z_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
z	ɾ	1.0
x_t	χ_t	1.0
x_l	ɫ	1.0
wː	ˈɑu̯	1.0
w_ɑ	w	1.0
tː	t	1.0
t_u	t	1.0
t	t	1.0
sː	s	1.0
s_w	z	1.0
s_l	s_ɫ	1.0
s_#>	#>	1.0
r_ˈi	ˈɛ_ɾ	1.0
r_u	ə_ɾ	1.0
r_i	ɾ	1.0
r_#>	ɾ_#>	1.0
pː	p	1.0
p	p	1.0
nː_i	n	1.0
nː	n	1.0
mː	m	1.0
m_b	m	1.0
lː	ɫ	1.0
l_ɑ	ə_ɫ	1.0
l_i	ɫ	1.0
l	ɫ	1.0
kː	k	1.0
kʷ	k	1.0
k_u	k	1.0
k	k	1.0
jː	ˈɛi̯	1.0
j_ɑ	ə	1.0
j	-	1.0
i_ɸ	ə_v̥	1.0
i_z_#>	#>	1.0
i_z	ə_n	1.0
e_x	i	1.0
e	ə	1.0
d_u	d̥	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ɣ	<#_χ	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
n	n	0.966
ɑ̃_#>	#>	0.944
m	m	0.933
ɸ	v	0.931
r	ɾ	0.915
i	-	0.867
ˈeu̯	ˈi	0.857
x	ɦ	0.852
w	ʋ	0.829
ɑ	ə	0.818
ɔː	-	0.8
ˈuː	ˈœy̯	0.786
u	-	0.75
d	d	0.741
ˈɑi̯	ˈeː	0.722
ˈi	ˈɪ	0.667
xʷ	ʋ	0.667
β	v̥	0.643
s_k	s_χ	0.615
θ	d	0.606
iː	ə	0.6
ˈɑ	ˈɑ	0.556
ð	d̥	0.545
ˈu	ˈɔ	0.535
r_n	ɾ_ə	0.5
r_n	ɾ_n	0.5
s	z	0.49
iː	-	0.4
s_k	s	0.385
β	v	0.357
θ	d̥	0.333
ˈe	ˈɛ	0.333
ˈe	ˈeː	0.333
xʷ	-	0.333
ˈu	ˈoː	0.326
s	s	0.275
ð	d	0.273
d	d̥	0.259
u	ə	0.25
ˈɑ	ˈaː	0.222
ˈuː	-	0.214
ɔː	ə	0.2
s	z̥	0.196
ɑ	-	0.182
ð	-	0.182
ˈɑ	ˈɛ	0.178
w	-	0.171
ˈɑi̯	ˈɛi̯	0.167
ˈi	ˈɛi̯	0.167
x	-	0.148
ˈeu̯	-	0.143
ˈu	ˈʏ	0.14
i	ə	0.133
ˈɑi̯	-	0.111
ˈe	ˈɪ	0.111
ˈe	ˈi	0.111
ˈe	-	0.111
ˈi	ˈeː	0.1
r	ə_ɾ	0.085
ɸ	v̥	0.069
ˈi	ˈɛ	0.067
m	-	0.067
θ	-	0.061
ɑ̃_#>	n_#>	0.056
