French	French	probability
ʁ_i	ɾ_ˈe	1.0
ɲ	ɲ_a	1.0
ɛ_ʁ	e_ɾ	1.0
ə_v	a_β	1.0
ɔ_ʁ	o_ɾ	1.0
œ_ʁ	ˈo_ɾ	1.0
œ	w_ˈe	1.0
w_a	ˈe	1.0
v_w	b	1.0
t_#>	t_a_#>	1.0
s_#>	#>	1.0
p	p	1.0
o_#>	j_ˈe_ʎ_o_#>	1.0
m_ɛ	m_ˈa	1.0
m_#>	m_a_#>	1.0
m	m	1.0
k_ʁ	k_ɾ	1.0
j_#>	ʎ_a_#>	1.0
i_ʁ	ˈi_ɾ	1.0
b_#>	β_a_#>	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
k	k	0.895
l	l	0.886
f	f	0.857
ʁ	ɾ	0.852
ʒ	ʧ	0.846
d	d	0.846
y	ˈu	0.818
ə	e	0.714
b	b	0.714
n	n_a	0.706
ʃ	k	0.7
ɥ	ˈu	0.667
ɔ	w_ˈe	0.667
t	t	0.667
ɡ	ɡ	0.6
z	-	0.6
<#	<#_ˈa	0.6
v	b	0.593
s	s	0.575
<#_a	<#_a	0.571
i	ˈi	0.548
#>	o_#>	0.538
ø	ˈe_ɣ	0.5
ø	o	0.5
e	ˈa_ɾ	0.462
o	ˈo	0.444
<#_a	<#_ˈa	0.429
u	ˈo	0.421
ɔ̃	ˈo_n	0.417
w	ˈe	0.409
ɡ	ɣ	0.4
z	s_a	0.4
<#	<#_ɡ	0.4
a	a	0.387
ɛ	ˈe	0.375
a_#>	θ_#>	0.375
a_#>	#>	0.375
ɛ̃	ˈa_n	0.35
ɥ	-	0.333
ɑ̃	n	0.333
v	β	0.333
o	o	0.333
s	θ	0.325
n	n	0.294
j	ʎ	0.294
j	j	0.294
a	ˈa	0.29
ə	i	0.286
ɛ	ˈa	0.275
w	e	0.273
ɔ̃	ˈe_n	0.25
a_#>	j_#>	0.25
j	-	0.235
ɑ̃	ˈe_n	0.222
o	-	0.222
#>	a_#>	0.212
u	o	0.211
ʃ	k_a	0.2
ɛ̃	ˈi_n	0.2
ɔ	ˈo	0.2
t	s_t	0.2
a	ˈe	0.194
y	-	0.182
j	j_ˈe	0.176
ɔ̃	n	0.167
ɔ̃	-	0.167
i	ˈe	0.161
i	j	0.161
u	ˈu	0.158
ʒ	-	0.154
e	ˈa	0.154
e	-	0.154
d	-	0.154
ɛ̃	ɲ_o	0.15
ɛ	j_ˈe	0.15
b	β	0.143
b	b_w	0.143
w	ˈu	0.136
ɔ	o	0.133
t	ʃ_ˈe	0.133
#>	e_#>	0.115
ɑ̃	ˈe	0.111
ɑ̃	ˈa_ŋ	0.111
ɑ̃	ˈa	0.111
ɑ̃	e_n	0.111
u	ˈu_ʎ	0.105
u	u	0.105
k	k_w	0.105
ʃ	k_ˈa	0.1
ɛ̃	ŋ	0.1
ɛ̃	t_o	0.1
ɛ̃	n_o	0.1
ɛ	j	0.1
w	ˈu_n	0.091
w	ð	0.091
e	ˈa_ð	0.077
e	ˈa_s	0.077
e	ɾ	0.077
v	-	0.074
f	β_o	0.071
f	-	0.071
i	j_t	0.065
i	i	0.065
a	β_ˈe	0.065
a	w_ˈa	0.065
l	ʎ_a	0.057
l	ʎ	0.057
