Catalan	Logudorese	probability
f	f	1.0
j	-	1.0
p	p	1.0
ʃ	s_k	1.0
ˈɔ	ˈo	1.0
b	-	0.051
i	e	0.271
k	ɣ_u	0.081
l	l_u	0.161
n	n_t	0.221
u	ˈo	0.181
ŋ	m	0.101
ɡ	ɡ	0.771
ɲ	ŋ	0.141
ˈa	ˈa_r	0.151
ˈi	ˈi_e	0.051
i	i	0.472
k	k_u	0.072
l	-	0.212
l	l	0.232
t	ð_u	0.122
t	t_e	0.192
ɣ	ɡ	0.342
ɲ	nː	0.512
ˈa	ˈa	0.762
d	-	0.133
k	k	0.813
r	r	0.793
s	-	0.053
w	e	0.413
ə	-	0.053
ə	a	0.623
ɡ	b	0.183
ɾ	r	0.73
ʤ	e_#>	0.263
ˈe	ˈi	0.283
ˈu	ˈu	0.83
β	-	0.373
s	z_ĕ	0.054
ŋ	m_b	0.654
ə	u	0.074
ɣ	ɣ	0.124
ɣ	-	0.534
ɾ	-	0.174
ʎ	ɖː_u	0.164
ʤ	ɣ	0.574
ˈa	ˈa_n	0.064
ˈe	ˈe	0.684
ˈo	ˈo_n	0.114
m	m	0.925
s	k	0.185
w	-	0.095
ŋ	-	0.245
ɾ	e_r	0.05
ʎ	-	0.085
ʒ	-	0.125
ˈi	ˈe	0.125
ˈo	ˈo	0.235
ˈo	ˈu	0.65
ˈɛ	ˈi	0.405
s	sː	0.066
u	u	0.16
u	o	0.616
w	ð_e	0.06
ð	ð	0.96
ʎ	k_r	0.066
ʤ	u_#>	0.146
ˈi	ˈi	0.716
β	β	0.456
d	d	0.867
r	r_e	0.127
ə	e	0.147
ɲ	n_ʣ	0.097
ʒ	j	0.167
ˈu	ˈo	0.17
i	j	0.258
l	r	0.28
m	-	0.058
t	t_u	0.148
w	u	0.148
ʎ	l	0.508
ʒ	ɡ	0.708
ˈi	ˈi_n	0.108
b	b	0.949
l	l_e	0.099
n	n	0.779
s	s	0.539
t	t	0.529
w	ɣ_e	0.229
ə	i	0.09
ɲ	ɲː	0.249
ˈɛ	ˈe	0.559
β	p	0.129
