English	West Frisian	probability
b	b	1.0
d	d	0.528
d	t	0.357
d	-	0.114
f	f	0.921
f	-	0.064
h	h	1.0
j	j	0.846
j	ɡ	0.154
k	k	0.891
k	-	0.095
kʰ	k	1.0
l	l	1.0
m	m	0.895
m	r_m	0.081
n	n	0.986
p	p	1.0
pʰ	p	1.0
s	s	0.94
s	ɕ	0.06
t	t	0.75
t	χ_t	0.218
tʰ	t	0.804
tʰ	ʦ	0.159
v	v	0.442
v	-	0.296
v	f	0.263
w	ʋ	0.64
w	v	0.264
w	-	0.073
z	z	0.677
z	s	0.323
ð	r	0.878
ð	d	0.122
ŋ	ŋ	0.889
ŋ	n	0.111
ə	ə	0.621
ə	r	0.339
əʊ̯	-	0.821
əʊ̯	j	0.179
ɜː	ˈɛ	1.0
ɡ	ɡ	0.954
ɪ	ə	0.521
ɪ	ɪ	0.285
ɪ	-	0.12
ɪ	ˈa	0.074
ɫ	l	0.876
ɫ	ə_l	0.105
ɹ	r	0.834
ɹ	-	0.166
ʃ	s	1.0
ʤ	ɣ	0.5
ʤ	χ	0.5
ʧ	k	0.64
ʧ	ʦ	0.36
ˈaɪ̯	ˈiː	0.298
ˈaɪ̯	ˈi	0.215
ˈaɪ̯	ˈɪ	0.134
ˈaɪ̯	ˈuː	0.093
ˈaɪ̯	j	0.089
ˈaɪ̯	ˈa	0.056
ˈaɪ̯	ˈeː	0.05
ˈaʊ̯	ˈuː	0.633
ˈaʊ̯	ˈoː	0.135
ˈaʊ̯	ˈu	0.104
ˈaʊ̯	ˈuə̯	0.076
ˈaʊ̯	ˈyː	0.052
ˈe	ˈɪə̯	0.162
ˈe	ˈɛ	0.137
ˈe	ˈɪ	0.135
ˈe	ˈaː	0.103
ˈe	ˈɛi̯	0.092
ˈe	ˈiə̯	0.087
ˈe	ˈøə̯	0.083
ˈeɪ̯	ˈɛi̯	0.382
ˈeɪ̯	ˈa	0.24
ˈeɪ̯	ˈaː	0.156
ˈeɪ̯	ˈɪə̯	0.072
ˈeɪ̯	ə	0.061
ˈeɪ̯	ˈuː	0.052
ˈiː	ˈiə̯	0.234
ˈiː	ˈɪə̯	0.224
ˈiː	ˈi	0.137
ˈiː	j	0.131
ˈiː	ˈɛ	0.099
ˈuː	ˈɪ	0.291
ˈuː	ˈoə̯	0.16
ˈuː	ˈoː	0.16
ˈuː	ˈuə̯	0.136
ˈuː	ˈiː	0.077
ˈuː	-	0.07
ˈuː	ˈɔu̯	0.065
ˈæ	ˈɔː	0.369
ˈæ	ˈa	0.338
ˈæ	ˈaː	0.13
ˈæ	ˈɪ	0.098
ˈæ	ˈɛ	0.065
ˈɐ	ˈɔ	0.285
ˈɐ	ˈu	0.219
ˈɐ	ˈoə̯	0.118
ˈɐ	ˈy	0.087
ˈɐ	-	0.071
ˈɐ	ˈyː	0.061
ˈɐ	ˈɪ	0.058
ˈɑː	ˈɛː	0.45
ˈɑː	ˈɪə̯	0.227
ˈɑː	ˈaː	0.148
ˈɑː	ˈɛ	0.111
ˈɑː	ˈa	0.064
ˈɒ	ˈɔ	0.411
ˈɒ	ˈa	0.332
ˈɒ	ˈi	0.175
ˈɒ	ˈɔː	0.083
ˈɔː	ˈoə̯	0.602
ˈɔː	ˈa	0.129
ˈɔː	ˈɛ	0.067
ˈɔː	ˈɔ	0.058
ˈɔː	ˈaː	0.054
ˈəʊ̯	ˈiə̯	0.362
ˈəʊ̯	ˈɪə̯	0.143
ˈəʊ̯	ˈoə̯	0.089
ˈəʊ̯	ˈɔː	0.083
ˈəʊ̯	ˈiː	0.058
ˈɛ	ˈɛi̯	0.286
ˈɛ	ˈa	0.245
ˈɛ	ˈɪə̯	0.162
ˈɛ	ˈiə̯	0.153
ˈɛ	ˈɛ	0.153
ˈɜː	j	0.509
ˈɜː	ˈɛ	0.266
ˈɜː	ˈoə̯	0.086
ˈɜː	ˈiə̯	0.085
ˈɜː	-	0.054
ˈɪ	ˈɪ	0.512
ˈɪ	ˈi	0.104
ˈɪ	ˈɔ	0.096
ˈɪ	ˈiə̯	0.062
ˈʊ	ˈuə̯	0.756
ˈʊ	ˈɔ	0.244
θ	t	0.461
θ	-	0.157
θ	d	0.154
θ	ʦ	0.138
θ	n	0.09
