English	West Frisian	probability
b	b	1.0
d	d	0.42
d	-	0.332
d	t	0.244
f	f	0.924
f	-	0.044
f	χ	0.043
h	h	1.0
j	j	0.561
j	ˈɛ	0.28
j	ˈiə̯	0.109
k	k	0.893
k	-	0.107
kʰ	k	1.0
l	l	1.0
m	m	0.814
m	r_m	0.178
n	n	0.966
p	p	1.0
pʰ	p	0.501
s	s	0.976
s	ɕ	0.032
t	t	0.789
t	χ_t	0.208
tʰ	t	0.761
tʰ	ʦ	0.109
tʰ	b	0.106
v	v	0.539
v	-	0.369
v	f	0.048
w	ʋ	0.501
w	v	0.336
w	ˈuə̯	0.048
w	ˈɔ	0.044
w	ˈiə̯	0.044
z	s	0.58
z	z	0.383
ð	r	0.725
ð	d	0.245
ŋ	ŋ	0.877
ŋ	n	0.122
ŋ_ɡ	ŋ	1.0
ə	ə	0.451
ə	r	0.255
ə	-	0.206
ə	ˈuə̯_r	0.076
əʊ̯	j	0.45
əʊ̯	-	0.342
ɡ	ɡ	0.906
ɡ	-	0.079
ɪ	ə_χ	0.457
ɪ	ɪ	0.199
ɪ	ə	0.12
ɪ	ˈa	0.069
ɫ	l	0.65
ɫ	l_ə	0.18
ɫ	ə_l	0.099
ɫ	-	0.065
ɫ_d	t	1.0
ɹ	r	0.818
ɹ	-	0.178
ʃ	s_k	1.0
ʤ	ɣ	0.784
ʤ	χ	0.13
ʧ	k_ə	0.418
ʧ	ʦ	0.364
ʧ	k	0.209
ˈaɪ̯	ˈiː	0.293
ˈaɪ̯	ˈuː	0.156
ˈaɪ̯	j_ˈɔ	0.118
ˈaɪ̯	ˈi	0.106
ˈaɪ̯	ˈɪ	0.093
ˈaʊ̯	ˈuː	0.684
ˈaʊ̯	ˈoː	0.114
ˈaʊ̯	ˈyː	0.112
ˈaʊ̯	ˈu	0.066
ˈe	ˈɪə̯	0.239
ˈe	ˈaː	0.153
ˈe	ˈɪ	0.123
ˈe	-	0.107
ˈe	ˈoə̯	0.061
ˈeɪ̯	ˈɛi̯	0.319
ˈeɪ̯	ˈa	0.247
ˈeɪ̯	ˈaː	0.147
ˈeɪ̯	ˈɛː	0.078
ˈeɪ̯	ˈuː	0.074
ˈiː	ˈiə̯	0.255
ˈiː	ˈɪə̯	0.228
ˈiː	ˈɛ_j	0.101
ˈiː	ˈi	0.093
ˈiː	ˈɪ	0.061
ˈuː	ˈuə̯	0.306
ˈuː	ˈiː	0.153
ˈuː	ˈoː	0.153
ˈuː	j	0.153
ˈuː	ˈaː	0.106
ˈæ	ˈɔː	0.316
ˈæ	ˈa	0.269
ˈæ	ˈaː	0.199
ˈæ	ˈɪ	0.114
ˈæ	ˈɛ	0.085
ˈɐ	ˈuə̯	0.235
ˈɐ	ˈɔ	0.217
ˈɐ	ˈu	0.148
ˈɐ	ˈoə̯	0.129
ˈɐ	ˈy	0.098
ˈɑː	ˈɛː	0.3
ˈɑː	ˈɪə̯	0.241
ˈɑː	ˈɛ_r	0.241
ˈɑː	ˈaː	0.159
ˈɑː	ˈa	0.041
ˈɒ	ˈɔ	0.428
ˈɒ	ˈa	0.335
ˈɒ	ˈɔː	0.168
ˈɒ	ˈi	0.059
ˈɔː	ˈoə̯	0.46
ˈɔː	ˈɛ	0.153
ˈɔː	ˈa	0.133
ˈɔː	ˈaː	0.081
ˈɔː	ˈø	0.076
ˈəʊ̯	ˈiə̯	0.308
ˈəʊ̯	ˈɔː	0.12
ˈəʊ̯	ˈoə̯	0.12
ˈəʊ̯	ˈiː	0.079
ˈəʊ̯	ˈuə̯	0.079
ˈɛ	ˈa	0.323
ˈɛ	ˈiə̯	0.161
ˈɛ	ˈɪə̯	0.081
ˈɜː	ˈiə̯	0.265
ˈɜː	r	0.265
ˈɜː	ˈɛ	0.265
ˈɜː	j	0.165
ˈɪ	ˈɪ	0.41
ˈɪ	ˈi	0.125
ˈɪ	ˈiə̯	0.095
ˈɪ	ˈɔ	0.085
ˈɪ	ˈeː	0.056
ˈʊ	ˈɔ	0.556
ˈʊ	ˈuə̯	0.422
θ	t	0.463
θ	d	0.15
θ	-	0.13
θ	n	0.13
θ	ʦ_j	0.113
