Shanghainese	Shanghainese	probability
⁵⁵	²⁴	1.0
⁵	²⁴	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʥ	k	1.0
ʔ_⁵⁵	²⁴	1.0
ʔ_¹²	⁴²	1.0
ʑ	ʦ_y	1.0
ɯ	w_a	1.0
ɪ	ɛ	1.0
ɥ	y_j	1.0
ɤ	u	1.0
ɡ	k	1.0
ə_ʔ	ɛ	1.0
ɕ	s	1.0
ɔ	a_w	1.0
ŋ	ŋ	1.0
¹²	⁴²	1.0
z̩_³⁴	²¹	1.0
z̩	i	1.0
w	a	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o_⁵³	a_⁵⁴	1.0
nʲ	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɪ	i	1.0
f	x	1.0
b	p	1.0
ã	a_j	1.0
a_ʔ	a	1.0
a	a	1.0
<#_ɦ	<#	1.0
⁵³	⁵⁴	0.929
j	j	0.778
³⁴	²¹	0.68
ʦ	ʦ	0.667
ɑ̃	ɔ_ŋ	0.667
ø	ŋ	0.667
y	y	0.667
o_ʔ	y	0.667
o	ɔ	0.625
z	t	0.6
h	x	0.6
d	t	0.6
ʨʰ	ʦʰ	0.5
ʨʰ	kʰ	0.5
ɜ	j_u	0.5
ɜ	e	0.5
v	p	0.5
v	-	0.5
e	ɛ	0.5
n	ŋ	0.471
u	u	0.444
²³	³³	0.434
n	j_ŋ	0.412
z	-	0.4
h	x_w	0.4
d	tʰ	0.4
ɦ	œ	0.375
ɦ	x	0.375
ə	ɔ	0.375
ə	-	0.375
i	i	0.35
ʦ	t	0.333
ɑ̃	ŋ	0.333
ø	a_ŋ	0.333
y	ɥ	0.333
u	w_ɛ	0.333
o_ʔ	u	0.333
i	e	0.3
ɦ	w	0.25
ə	a	0.25
o	-	0.25
e	u_j	0.25
e	o	0.25
³⁴	³³	0.24
u	-	0.222
j	-	0.222
²³	⁵⁵	0.208
²³	²¹	0.208
i	j	0.2
i	i_ŋ	0.15
o	a	0.125
n	n	0.118
²³	ŋ_²¹	0.094
³⁴	-	0.08
⁵³	ŋ_⁵⁴	0.071
²³	⁴²	0.057
