Dalmatian	Campidanese	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_a_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_b	1.0
<#_w	<#_ˈɔ	1.0
a_#>	a_#>	1.0
a_n	a_n	1.0
e_#>	z_ă_#>	1.0
j_#>	u_z_ŭ_#>	1.0
k_l	ɣ	1.0
m	m	1.0
m_j	m_i	1.0
o_r	o	1.0
s	ʃ	1.0
s_t	s_t	1.0
t_#>	t_i_#>	1.0
w_k	ˈu_ʒ	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ɡ	ɡ_w	1.0
ʎ	ɭː	1.0
ˈa_n	ˈɛ_n	1.0
ˈa_r	ɾ	1.0
ˈa_s	s	1.0
ˈe_ʎ	ˈi_ɭː	1.0
ˈo_j	ˈu	1.0
ˈu_#>	ˈɔ_i_#>	1.0
ˈu_f	ˈo_u	1.0
ˈu_n	ˈɔ_n	1.0
ˈu_ŋ	ˈa_n	1.0
ˈɔ	-	1.0
e	-	0.571
r_#>	ɾ_i_#>	0.562
w_ˈa	ˈu	0.2
ˈa	ˈɛ	0.12
ˈa	ˈi	0.32
ˈa	-	0.32
ˈi	ˈe	0.222
#>	u_#>	0.533
<#_j	<#_ˈi	0.133
<#_ʧ	<#_k	0.333
a	-	0.333
d	i	0.333
k	k	0.333
n	n	0.733
o	u	0.333
o	-	0.333
o	ɔ	0.333
t	-	0.143
t	ð	0.333
w	ˈo	0.333
w	ˈɔ	0.333
w	-	0.333
w_ˈa	ˈo	0.333
ˈa_j	ˈi	0.643
ˈu	ˈu	0.143
j	-	0.4
j_ˈa	ˈi	0.214
w_ˈɔ	ˈa	0.714
ˈa	ˈa	0.24
ˈa_l	ɖː	0.714
ˈu	ˈo	0.214
ˈu	ˈɔ	0.214
<#_k	<#	0.125
<#_k	<#_k	0.875
i	ɔ_z_ɔ̆	0.5
i	i	0.5
k	ʧ	0.095
k	ʒ	0.095
l	ɭː	0.095
o_#>	i_#>	0.455
o_#>	u_#>	0.545
p	p	0.5
p	-	0.5
t	t_u	0.095
ŋ	nː	0.125
ˈa_w	ˈa	0.25
ˈa_w	ˈɔ	0.75
ˈe	ˈe	0.375
ˈe	ˈi	0.625
ˈo	ˈɔ_z	0.125
ˈo	ˈɔ	0.125
ˈo	ˈu	0.375
j	ˈɛ	0.6
k	ɣ	0.476
l	ɾ	0.286
w_ˈɔ	ˈɔ	0.286
ˈa_l	s	0.286
<#_j	<#	0.867
<#_ʧ	<#_ʧ	0.667
a	a	0.667
d	-	0.667
j_ˈa	ˈe	0.357
n	-	0.267
r	r	0.167
r	-	0.167
r	ɾ	0.667
w_ˈa	ˈa	0.467
ˈa_j	ˈɛ	0.357
#>	i_#>	0.378
r_#>	i_#>	0.438
ŋ	ŋ	0.188
ŋ	n	0.688
ˈi	ˈɛ	0.778
ˈo	t_ɛ	0.188
ˈo	ˈo	0.188
#>	ŭ_#>	0.089
e	ˈɛ	0.429
j_ˈa	ˈɛ	0.429
l	-	0.19
l	l	0.429
t	t	0.429
ˈu	ˈa	0.429
