Campidanese	Campidanese	probability
ˈɛ_n	ˈe_n	1.0
ˈi_ɭː	ˈi	1.0
ˈa_i	ˈa_ɾ	1.0
ʧ	-	1.0
ʦ	-	1.0
ʤ	-	1.0
ʒ	θ	1.0
ɾ_ˈa	ˈa	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɭː	ʝ	1.0
ɣ_u	ˈe_u	1.0
ɖː_i	l	1.0
ɖː	ʎ	1.0
ɔ̆_#>	#>	1.0
ŋ	ŋ	1.0
ð_u	u	1.0
z_ŭ_#>	#>	1.0
z_ĭ	s	1.0
z	s	1.0
w	w	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ	t	1.0
t_i	t_e	1.0
n_ʤ	ɲ	1.0
n_i	ŋ	1.0
m	m	1.0
j	-	1.0
i_n	e	1.0
e	-	1.0
<#_ˈa	<#_a	1.0
<#_ʧ	<#_θ	1.0
<#_ʤ	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
<#_a	<#	1.0
k	k	0.949
i_#>	#>	0.939
b	b	0.933
a	a	0.928
f	f	0.917
<#_s	<#_s	0.889
p	p	0.862
n	n	0.848
d	d	0.833
u	u	0.807
ð	ð	0.769
r	r	0.769
ˈa	ˈa	0.76
ɡ	ɡ	0.75
ɾ	ɾ	0.719
t	t	0.704
ɣ	ɣ	0.692
ɔ	o	0.667
s	s	0.667
ˈe	ˈe	0.615
β	β	0.6
ɛ	-	0.6
nː	n	0.6
<#	<#_ɡ	0.6
l	ʎ	0.559
ˈi	ˈi	0.553
ˈɛ	j_ˈe	0.52
ˈu	ˈu	0.515
ˈɔ	ˈo	0.5
ʃ	ʃ	0.5
ʃ	-	0.5
ˈo	w_ˈe	0.455
ˈi	ˈe	0.447
o	o	0.429
β	β_ɾ	0.4
ɛ	ɾ	0.4
nː	ɲ	0.4
<#	<#_e	0.4
ˈu	ˈo	0.394
i	e	0.388
ˈe	j_ˈe	0.385
l	l	0.382
ˈo	ˈo	0.364
ɔ	-	0.333
s	e_s	0.333
ˈɔ	w_ˈe	0.308
o	o_ɾ	0.286
o	-	0.286
ˈɛ	ˈe	0.28
ɡ	-	0.25
ð	-	0.231
r	ɾ_n	0.231
t	ʧ	0.185
d	-	0.167
ɣ	ˈe_ʝ	0.154
ɣ	ʝ	0.154
n	-	0.152
p	-	0.138
i	-	0.122
ˈɛ	ˈe_j	0.12
ˈɔ	w	0.115
t	-	0.111
<#_s	<#	0.111
ɾ	-	0.109
i	β_e	0.102
i	ˈe	0.102
i	ɾ	0.102
ˈu	w	0.091
ˈo	w	0.091
ˈo	o	0.091
f	-	0.083
i	i	0.082
ˈɛ	j	0.08
ˈa	ˈo	0.08
ˈa	-	0.08
u	-	0.08
ɾ	ʎ	0.078
ˈɔ	o	0.077
a	e	0.072
b	-	0.067
ɾ	j	0.062
i_#>	ˈe_#>	0.061
i	l	0.061
l	-	0.059
k	θ	0.051
