Romansch	Emilian	probability
ˈɛ_n	ˈa_n	1.0
ˈɔː	ˈɔː	1.0
ˈuɔ̯	ˈʌ	1.0
ˈo	ˈɔ	1.0
ʨ	k	1.0
ʧ	θ	1.0
ʦ	-	1.0
ʒ	v	1.0
ʃ_ə	ð	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ə_r	e_r	1.0
z	-	1.0
w_n	ŋ	1.0
v_ˈɛ	v	1.0
v_ə	v	1.0
v	v	1.0
t_ə	t_a	1.0
t	t	1.0
r_ˈiː	r_ˈiː	1.0
r_ə	r_a	1.0
p	p	1.0
o	u	1.0
l_ə	l_a	1.0
k	k	1.0
j_ˈɛ	ˈuː	1.0
i	-	1.0
f	f	1.0
e	-	1.0
b	b	1.0
s	s	0.958
m	m	0.943
ɡ	ɡ	0.859
r	r	0.812
ə	a	0.783
ˈa_w	ˈɛ	0.766
d	d	0.754
ˈaː	ˈɛ	0.74
n	ŋ	0.73
ˈiə̯	-	0.703
u	u	0.678
ˈɛː	ˈɛ	0.645
ʃ	s	0.643
w	ˈɔː	0.617
ˈuː	ˈʌu̯	0.59
ʥ	-	0.576
ʎ	ʧ	0.55
ˈa_j	ˈiː	0.544
ˈeː	ˈa	0.53
ŋ	ŋ	0.515
ˈiː	ˈe	0.512
ˈa	ˈa	0.49
ŋ	ŋ_ɡ	0.485
ˈɛ	ˈɛ	0.478
ˈeː	-	0.47
ˈa_j	ˈa	0.456
l	l	0.447
ˈe	-	0.445
ʥ	ð	0.424
j	j	0.413
ˈuː	-	0.41
ˈɔ	ˈaː	0.401
ˈɛ	ˈæ	0.386
w	w	0.383
l	j	0.369
ʃ	z	0.357
ˈɛː	ˈɛ_l	0.355
ˈi	ˈe	0.345
u	-	0.322
ˈiə̯	ˈiː	0.297
ˈe	ˈa	0.277
ˈe	j	0.277
j	-	0.274
ˈu	ˈo	0.272
ˈu	ˈʌ	0.264
ʎ	j	0.262
ˈi	ˈiː	0.255
ˈiː	ˈiː	0.249
d	-	0.246
ˈiː	-	0.239
ˈa	ˈaː	0.239
ˈa_w	ˈɔː	0.234
ˈɔ	ˈɔː	0.227
n	n	0.208
ˈa	ˈɛ	0.204
ˈɔ	ˈɔ	0.191
ʎ	ˈɔː_l	0.188
l	-	0.184
ˈɔ	ˈa	0.181
ˈaː	ˈaː	0.167
ˈi	ˈo	0.165
j	e	0.16
ˈu	ˈɔ	0.159
j	ˈæ	0.152
ˈi	ˈuː	0.143
ɡ	-	0.141
ˈɛ	-	0.136
ˈu	ˈʌu̯	0.136
ˈaː	j_ˈɛ	0.093
ˈi	-	0.092
ˈu	-	0.089
ˈu	ˈuː	0.08
ə	r	0.079
r	r_e	0.079
r	e_r	0.076
ˈa	-	0.066
n	ɲ	0.061
ə	-	0.059
m	ŋ	0.057
