Old Norse	Bokmål Norwegian	probability
a	ə	0.964
b	b	0.965
c	-	0.625
c	k	0.375
cʰ	ɕ	0.822
cʰ	kʰ	0.178
cː	kː	1.0
d	d	0.608
d	-	0.392
f	f	0.889
f	-	0.111
h	h	0.901
h	-	0.099
i	ə	0.589
i	-	0.362
j	-	0.695
j	j	0.305
k	k	0.785
k	-	0.146
k	j	0.069
kʰ	kʰ	1.0
kː	kː	0.941
kː	k	0.059
l	l	0.771
l	lː	0.178
l	-	0.051
lː	lː	0.681
lː	l	0.319
l̥	l	1.0
m	m	0.92
m	mː	0.069
mː	m	0.5
mː	mː	0.5
n	n	0.714
n	nː	0.273
nː	nː	0.698
nː	n	0.302
p	p	1.0
pː	pː	1.0
r	ɾ	0.839
r	ə	0.06
r	-	0.06
rː	ɾ	0.911
rː	n	0.089
r̥	ɾ	1.0
s	s	0.856
s	ʂ	0.065
s	ʃ	0.051
sː	sː	0.733
sː	s	0.267
t	t	0.725
t	tː	0.115
t	d	0.105
tʰ	tʰ	0.906
tʰ	ɕ	0.094
tː	tː	0.949
tː	-	0.051
u	ə	0.635
u	-	0.365
v	ʋ	0.798
v	-	0.174
ç	j	1.0
ð	-	0.481
ð	d	0.372
ð	nː	0.135
ŋ	ŋː	0.75
ŋ	ŋ	0.201
ɑ	ə	0.954
ɑː	ə	1.0
ɟ	j	0.796
ɟ	ɡ	0.161
ɟː	ɡː	1.0
ɡ	-	0.583
ɡ	ɡ	0.417
ɡː	ɡː	1.0
ɣ	-	0.511
ɣ	ɡ	0.463
ɾ	ɾ	1.0
ʝː	-	1.0
ʦ	s	1.0
ˈa	ˈɑ	0.672
ˈa	ˈɑː	0.328
ˈe	ˈɛ	0.328
ˈe	ˈɪ	0.157
ˈe	ˈɛː	0.147
ˈe	ˈiː	0.098
ˈe	ˈɑː	0.067
ˈe	ˈæɪ̯	0.064
ˈeː	ˈeː	0.425
ˈeː	ˈæː	0.303
ˈeː	ˈɛ	0.182
ˈeː	ˈiː	0.089
ˈi	ˈɪ	0.617
ˈi	ˈœ	0.09
ˈi	ˈɛ	0.085
ˈi	ˈiː	0.069
ˈi	ˈeː	0.06
ˈiː	ˈiː	0.885
ˈiː	ˈeː	0.115
ˈo	ˈuː	0.408
ˈo	ˈʊ	0.249
ˈo	ˈɔ	0.243
ˈoː	ˈuː	0.541
ˈoː	ˈiː	0.278
ˈoː	ˈɪ	0.08
ˈoː	ˈyː	0.051
ˈu	ˈʉ	0.718
ˈu	ˈʊ	0.078
ˈu	ˈʉː	0.078
ˈu	ˈʏ	0.057
ˈuː	ˈʉː	0.958
ˈy	ˈʏ	0.397
ˈy	ˈɔ	0.213
ˈy	ˈuː	0.126
ˈy	ˈœ	0.123
ˈy	ˈʉ	0.093
ˈyː	ˈyː	0.578
ˈyː	ˈʉː	0.186
ˈyː	ˈiː	0.133
ˈyː	ˈɪ	0.067
ˈøy̯	ˈøː	0.502
ˈøy̯	ˈœ	0.393
ˈøy̯	ˈœʏ̯	0.105
ˈøː	ˈøː	0.779
ˈøː	ˈœ	0.221
ˈɑ	ˈɑ	0.486
ˈɑ	ˈɑː	0.17
ˈɑ	ˈæː	0.099
ˈɑ	ˈɛ	0.09
ˈɑ	ˈæ	0.064
ˈɑ	ˈoː	0.051
ˈɑu̯	ˈøː	0.581
ˈɑu̯	ˈœ	0.335
ˈɑu̯	ˈʉː	0.084
ˈɑː	ˈoː	0.746
ˈɑː	j	0.107
ˈɑː	ˈeː	0.095
ˈɒu̯	ˈøː	0.756
ˈɒu̯	ˈʏ	0.244
ˈɔ	ˈøː	0.198
ˈɔ	ˈɑ	0.194
ˈɔ	ˈæː	0.171
ˈɔ	ˈuː	0.141
ˈɔ	ˈœ	0.104
ˈɔ	ˈɛ	0.104
ˈɔ	ˈɔ	0.057
ˈɔː	ˈuː	1.0
ˈɛ	ˈɛ	0.804
ˈɛ	ˈeː	0.117
ˈɛi̯	ˈæɪ̯	0.497
ˈɛi̯	j	0.234
ˈɛi̯	ˈuː	0.114
ˈɛi̯	ˈeː	0.107
ˈɛː	ˈoː	0.275
ˈɛː	ˈæː	0.275
ˈɛː	ˈøː	0.231
ˈɛː	ˈeː	0.22
θ	tʰ	0.845
θ	ɕ	0.121
