Provençal	Provençal	probability
ˈɔ	-	1.0
ˈỹ	ˈu	1.0
ˈu_#>	ˈɔ_ɾ_ɛ_#>	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ɛ_#>	1.0
ˈe_ʀ	ɾ_t	1.0
ˈe_s	s_u	1.0
ˈã	ˈa	1.0
ʧ	t	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ɔ	ɾ_a	1.0
ɾ_e	ɔ̆	1.0
ɥ_ˈe	ˈɔ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ŋ_k	m_b	1.0
ŋ_d	nː	1.0
y	u	1.0
w_t	j_z	1.0
ũ	ɔ	1.0
t_ɔ	t_a	1.0
s_ˈe	s_ˈɛ	1.0
s_ɔ	ʦ_a	1.0
s_#>	z_ŭ_#>	1.0
p	p	1.0
m_#>	m_ɛ_n_ɛ_#>	1.0
m	m	1.0
lː	-	1.0
k_l	k_ɾ	1.0
j_ˈe	ˈɛ	1.0
j_ɔ	ʣ_a	1.0
ĩ	i	1.0
f	f	1.0
ẽ	-	1.0
ã	a	1.0
a_l	a_l	1.0
a_d	a_ð	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_ɾ	1.0
<#_ɥ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_e	<#_i	1.0
<#	<#_i	1.0
t	t	0.895
k	k	0.875
n	n	0.824
ˈi	ˈi	0.773
ˈy	ˈu	0.769
ˈu	ˈu	0.762
v	b	0.76
ˈũ	ˈɔ	0.714
ʀ	ɾ	0.696
ɲ	-	0.667
b	b	0.654
ɾ	ɾ	0.611
j_s	s_k	0.6
j_#>	#>	0.6
d	d	0.6
<#_a	<#_a	0.6
ˈe	ˈi	0.593
ˈa	ˈa	0.593
#>	ɛ_#>	0.562
ˈɛ	ˈɛ	0.556
w_ˈe	ˈɔ	0.529
ɥ	ˈɔ	0.5
ɥ	-	0.5
i	i	0.5
i	-	0.5
s	s	0.487
w_ˈe	ˈo	0.471
w_#>	u_#>	0.462
ˈẽ	ˈe	0.429
#>	u_#>	0.412
ŋ	n	0.41
l	l	0.409
j_s	s	0.4
j_#>	u_#>	0.4
j	-	0.4
<#_a	<#	0.4
e	ɛ	0.392
w_#>	ɛ_#>	0.385
ˈɛ	ˈe	0.37
ɲ	ɲ	0.333
ɡ	ɣ	0.333
ɡ	b	0.333
z	ɣ	0.333
z	z	0.333
z	-	0.333
ʤ	ʣ	0.312
d	ð	0.3
ˈũ	n	0.286
ˈẽ	ˈɛ	0.286
u	ɔ	0.286
u	u	0.286
ˈa	ˈa_ɾ	0.278
s	k	0.256
ʤ	-	0.25
ɾ	ɛ_ɾ	0.25
v	-	0.24
ˈu	ˈɔ	0.238
ˈy	ˈu_ɾ	0.231
l	ɾ	0.227
w	ˈo	0.222
w	-	0.222
ʀ	r	0.217
u	ˈɔ	0.214
u	o	0.214
ŋ	n_u	0.205
ɡ	-	0.2
b	-	0.192
ʤ	i_ɣ	0.188
l	ɖː	0.182
n	-	0.176
ŋ	n_t	0.154
w_#>	#>	0.154
b	β	0.154
j	ɣ_ɛ	0.15
j	ɛ	0.15
j	j_u	0.15
j	j	0.15
ˈe	-	0.148
ˈẽ	n	0.143
ˈẽ	-	0.143
w	l_u	0.139
ˈi	ˈi_ɾ	0.136
ɡ	ɡ	0.133
s	ɣ_ɛ	0.128
ʤ	b_e	0.125
ʤ	b	0.125
k	ɣ_u	0.125
e	a	0.118
ˈe	ˈɛ	0.111
t	ð	0.105
d	n	0.1
e	i	0.098
ˈi	ɛ	0.091
l	j	0.091
l	-	0.091
ʀ	-	0.087
ɾ	e	0.083
w	ˈɔ	0.083
w	ɖː_u	0.083
w	u	0.083
e	ɔ̆	0.078
e	u	0.078
e	e	0.078
ŋ	u	0.077
s	z	0.077
ˈɛ	-	0.074
ˈe	ˈi_t	0.074
ˈe	l	0.074
e	ɾ_ɛ	0.059
e	ɾ_u	0.059
ˈa	ˈa_t	0.056
ɾ	-	0.056
w	ɾ	0.056
w	ɛ	0.056
w	l_ɛ	0.056
ŋ	t	0.051
ŋ	nː	0.051
ŋ	m	0.051
s	u	0.051
