Polish	Bulgarian	probability
b	b	1.0
d	d	1.0
f	f	1.0
j	ɛ	1.0
m	m	1.0
n	n	1.0
p	p	1.0
r	r	1.0
s	s	1.0
w	ɫ	1.0
w̃	-	1.0
x	x	1.0
z	z	1.0
ɕ	s	1.0
ɡ	ɡ	1.0
ɲ	n	1.0
ʑ	z	1.0
ʥ	d	1.0
ʦ	ʦ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈi	1.0
t	t	0.911
ɛ	ˈɛ	0.11
ʂ	ʃ	0.521
ʨ	t	0.851
ˈɔ	o	0.21
ˈɛ	ˈɛ	0.231
ˈɛ	ɛ	0.311
a	ˈa	0.742
k	k	0.962
l	lʲ	0.472
ʈ͡ʂ	ʧ	0.582
l	l	0.283
ɛ	ɛ	0.853
ʐ	r	0.914
ˈu	ˈu	0.24
ˈɔ	ˈɤ	0.194
ˈɛ	ˈa	0.214
l	ɫ	0.245
v	vʲ	0.105
v	v	0.895
ɔ	ˈɔ	0.335
ˈa	ˈɛ	0.225
ˈu	ˈɔ	0.525
ˈɔ	ˈɔ	0.245
ɔ	o	0.606
ʐ	ʒ	0.086
ˈɔ	ɛ	0.086
ˈɛ	ɐ	0.066
ˈa	ˈɤ	0.157
ˈa	ˈa	0.617
ˈu	ˈa	0.107
ˈɔ	ˈɛ	0.157
a	ɐ	0.258
ʈ͡ʂ	t	0.418
ˈu	u	0.128
ˈɔ	ˈa	0.108
ˈɛ	ˈɤ	0.178
t	t_ɐ	0.089
ɔ	ɐ	0.059
ʂ	-	0.479
ʨ	-	0.149
