Upper Sorbian	Polish	probability
β_<#	<#	1.0
ˈɪ	ˈɨ	1.0
ˈɔ_β	ˈɔ_v	1.0
ˈɔ_m	ɛ_m	1.0
ʦ	ʦ	1.0
ʤ	ʥ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ʀʲ	ʐ	1.0
ʀ	r	1.0
ɲ_#>	ɲ_#>	1.0
ɲ	ɲ	1.0
ɦ	ɡ	1.0
ɛ	ɛ	1.0
ɔ_#>	ɛ_#>	1.0
xʲ	x	1.0
w	w	1.0
t	t	1.0
pʲ	p	1.0
n	n	1.0
mʲ	m_j	1.0
m	m	1.0
l	l	1.0
kʲ	k	1.0
k	k	1.0
j	j	1.0
e	ˈɛ	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a	a	1.0
ɪ	ɨ	0.875
ɔ	ɔ	0.846
p	p	0.818
ˈa	ˈa	0.778
β	v	0.727
ˈi	ˈi	0.667
ɥ	v_j	0.636
z	z	0.625
ʧ	ʨ	0.619
i	i	0.6
ˈɔ	ˈɔ	0.591
s	s	0.591
ˈɛ	ˈɛ	0.583
ˈo	ˈɔ	0.583
ˈu	ˈɔ	0.571
x	x	0.5
x	k	0.5
ˈe	ˈɛ	0.444
ˈu	ˈu	0.429
ˈo	ˈu	0.417
s	ɕ	0.409
i	ɨ	0.4
ˈe	ˈa	0.389
z	ʑ	0.375
ˈi	ˈɨ	0.333
β	ˈɔ	0.273
ˈɛ	ɛ	0.25
ˈa	ˈɛ_w̃	0.222
ʧ	ʈ͡ʂ	0.19
ʧ	ɲ_ʨ	0.19
ˈɔ	ˈɛ	0.182
ɥ	v	0.182
ɥ	f	0.182
p	m_p	0.182
ˈɛ	ˈa	0.167
ˈe	j_ˈa	0.167
ɔ	ˈɔ	0.154
ˈɔ	ˈu	0.136
ɪ	i	0.125
ˈɔ	ˈa	0.091
