Provençal	Provençal	probability
ˈɔ	ˈo	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈũ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ	ˈi	1.0
ʧ	-	1.0
ʀ	r	1.0
ɾ	r	1.0
ɲ	m	1.0
ɔ_#>	#>	1.0
ɔ	ə	1.0
z	-	1.0
w_ˈẽ	ˈu	1.0
v_ˈẽ	ɔ	1.0
u	-	1.0
n	n	1.0
mː	m	1.0
l_ɔ	ə	1.0
k_#>	#>	1.0
k	k	1.0
j_ɾ	t	1.0
j_#>	ʎ_u_#>	1.0
i	i	1.0
f_ɥ	f	1.0
e_s	s	1.0
e_#>	#>	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_w	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
#>	ə_#>	1.0
m	m	0.857
p	p	0.818
ˈa	ˈa	0.81
t	t	0.786
v	v	0.778
ˈã	ˈɔ	0.75
b	b	0.714
l	l	0.706
ŋ	n	0.7
ɡ	ɡ	0.667
w_ˈe	ˈo	0.667
j	-	0.625
d	d	0.625
e	i	0.6
f	f	0.571
s	s	0.52
ˈu	ˈu	0.5
ɥ	w	0.5
ɥ	-	0.5
f	-	0.429
ˈɛ	ˈe	0.4
ˈɛ	ˈa	0.4
ʤ	z	0.375
w	l	0.375
j	ʎ	0.375
d	-	0.375
ˈe	ˈe	0.35
ɡ	-	0.333
w_ˈe	o̯ˈa	0.333
s	ʦ	0.32
l	ʎ	0.294
b	p	0.286
ˈu	ˈo	0.25
ˈe	e̯ˈa	0.25
ˈã	ˈa	0.25
ʤ	ʒ	0.25
ʤ	-	0.25
w	w	0.25
w	r	0.25
v	-	0.222
t	ʦ	0.214
ˈɛ	-	0.2
ˈe	ˈo	0.2
ŋ	n_t	0.2
e	ə	0.2
e	u	0.2
p	-	0.182
m	ɲ	0.143
ˈu	ˈu_k	0.125
ˈu	o̯ˈa	0.125
ʤ	ʤ	0.125
w	u	0.125
ˈe	r	0.1
ˈe	j	0.1
ŋ	j_n	0.1
ˈa	ˈɔ	0.095
ˈa	ˈe	0.095
s	ʃ	0.08
s	-	0.08
