Swabian	Hessian	probability
ˈɪ	ˈi	1.0
ˈɔː_ʕ	ˈɑː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeə̯	-	1.0
ʕ	ɐ	1.0
ʋ	v	1.0
ʁ_a	ɐ_n	1.0
ʁ	ʀ	1.0
ɪ	i	1.0
ɡ_#>	ʃ_#>	1.0
ŋ	ŋ	1.0
ç	ʃ	1.0
t	-	1.0
n_ˈae̯	n	1.0
n_d	n	1.0
m	m	1.0
l_d	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
e	-	1.0
b̥͡f	-	1.0
b_ʌ	v_æ̆	1.0
b_a	v_ə	1.0
a	ə	0.938
n	n	0.931
f	f	0.912
ʌ	æ̆	0.905
s	s	0.881
ʦ	ʦ	0.846
ʃ	ʃ	0.769
ˈɔe̯	ˈaː	0.75
ˈuə̯	ˈuː	0.75
ˈi	ˈi	0.75
ˈaː	ˈɑː	0.75
x	x	0.75
d	d̥	0.734
ˈiə̯	ˈiː	0.714
ˈe	ˈi	0.714
ˈao̯	ˈau̯	0.714
ˈɔː	ˈɑː	0.667
ˈoː	ˈoː	0.667
#>	ə_#>	0.667
b	b̥	0.652
ˈu	ˈu	0.625
ˈae̯	-	0.625
ˈəi̯	ˈai̯	0.6
ˈɔ	ˈo	0.6
ˈɛː	-	0.571
ˈa	ˈa	0.542
ˈa_ʕ	ˈɑː	0.5
ˈa_ʕ	ˈɑ	0.5
ˈɛː	ˈɛ	0.429
ˈo	ˈu	0.429
ˈo	ˈo	0.429
ˈɛ	ˈɛ	0.421
ˈəi̯	ˈoi̯	0.4
ˈɔ	ˈɔ	0.4
ˈu	ˈi	0.375
ˈeː	ˈeː	0.375
ˈeː	-	0.375
ˈae̯	ˈai̯	0.375
ˈa	ˈɑ	0.375
ɡ	ɡ̊	0.364
b	p	0.348
ˈɔː	-	0.333
ˈoː	-	0.333
#>	ʃ_#>	0.333
ɡ	k	0.303
ˈiə̯	-	0.286
ˈe	-	0.286
ˈao̯	ˈaː	0.286
d	t	0.266
ˈɔe̯	ˈãː	0.25
ˈuə̯	ˈu	0.25
ˈeː	ˈæː	0.25
ˈaː	ˈɑ_n	0.25
x	ɣ̊	0.25
ˈɛ	ˈe	0.211
ˈɛ	ˈæ	0.158
ʦ	-	0.154
ʃ	s	0.154
ɡ	ɣ̊	0.152
ˈo	ˈɔ	0.143
ˈi	ˈiː	0.125
ˈi	-	0.125
s	z̥	0.119
ˈɛ	ˈi	0.105
ˈɛ	-	0.105
ʌ	ɐ	0.095
f	v̥	0.088
ˈa	ˈaː	0.083
ʃ	ʒ̊	0.077
n	-	0.069
a	-	0.062
ɡ	x	0.061
ɡ	j	0.061
ɡ	-	0.061
