Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d̥	1.0
ˈɑː	ˈoː	1.0
ˈɑi̯_w	ˈɜɪ̯	1.0
ˈɑi̯	ˈeː	1.0
ˈɑ_ɣ	ˈoː	1.0
ˈɑ_r	ˈaː	1.0
ˈɑ_nː	ˈæ_n	1.0
ˈu_ɣ	ˈe	1.0
ˈĩː	ˈiː	1.0
ˈiː	ˈæːɪ̯	1.0
ˈiu̯	ˈɑɪ̯	1.0
ˈi_s	ˈə	1.0
ˈeː	ˈɑɪ̯	1.0
ˈeu̯_ɣ	ˈɜɪ̯	1.0
ˈe_ɣ	ˈeː	1.0
ɣ_ɑ	ɕ	1.0
ɣ_j_ɔː_#>	k_#>	1.0
ɣ_i	ə	1.0
ɡʷ	-	1.0
ɡ_ɑ	ɡ̊	1.0
ɡ	-	1.0
ɛː	ɐ	1.0
ɔ̃ː_#>	#>	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɑi̯	ˈɑ_n	1.0
ɑ_ɣ	ə_ɕ	1.0
ɑ_z_#>	#>	1.0
ɑ_n	n	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
xʷ	v	1.0
x_u	ŋ	1.0
x_t	ɕ_t	1.0
x_s	s	1.0
t_ɑ	s	1.0
t_i	t	1.0
s_ɑ̃	z̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɔː	ɐ	1.0
r_ɑ	ɐ	1.0
r_u	ɐ	1.0
r_n	ˈaː_ʀ	1.0
r_i	ɐ	1.0
r_#>	#>	1.0
pː	p	1.0
nː	n	1.0
n_θ	n	1.0
n_d	n	1.0
n_#>	#>	1.0
mː	m	1.0
lː	l	1.0
l_ˈi	l	1.0
l_d	l	1.0
l	l	1.0
kː	k	1.0
kʷ	-	1.0
k_ˈu	kʰ	1.0
k_ɑ_z_#>	ʃ_#>	1.0
k_s	ɕ	1.0
jː	-	1.0
iː	-	1.0
i_j	ə	1.0
e	ɐ	1.0
d_ɑ	d̥	1.0
d_u	d̥	1.0
b	b	1.0
<#_ˈɑi̯	<#_ˈeː	1.0
<#_ˈɑ	<#_ˈaː	1.0
<#_x	<#	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
m	m	0.931
ɸ	f	0.929
ɑ̃_#>	#>	0.917
n	n	0.914
x	h	0.833
d	d	0.833
ɑ	ə	0.806
i	-	0.789
ɣ	ɡ	0.778
ɔː	-	0.778
u	-	0.769
ˈeu̯	ˈɜɪ̯	0.75
θ	d	0.714
p	f	0.714
j	-	0.643
ˈɛː	ˈoː	0.625
r	ʀ	0.585
β	v̥	0.545
w	v	0.529
z	ɐ	0.5
z	-	0.5
ˈuː	ˈæːʊ̯	0.462
β	v	0.455
ˈɔː	-	0.438
ð	d̥	0.438
t	s	0.438
ˈɑ	ˈaː	0.425
s	z	0.409
ˈi	ˈɑ	0.385
ˈɛː	-	0.375
ˈɑu̯	ˈəʊ̯	0.375
ˈɑu̯	ˈaː	0.375
ð	t	0.375
r	ɐ	0.366
s	ʃ	0.364
ˈu	ˈo	0.357
t	t	0.344
k	χ	0.333
k	ɕ	0.333
k	k	0.333
ˈuː	ˈɑʊ̯	0.308
ˈɑ	ˈɑ	0.275
ˈɔː	ˈu	0.25
ˈɑu̯	ˈɜɪ̯	0.25
ˈeu̯	-	0.25
w	w	0.235
ˈuː	-	0.231
ˈi	ˈə	0.231
u	ə	0.231
ɣ	-	0.222
ɔː	ɐ	0.222
θ	d̥	0.214
ˈe	ˈə	0.214
j	ə	0.214
ɑ	-	0.194
ˈɔː	ˈʊ	0.188
ð	d	0.188
t	ʦ	0.188
ˈe	-	0.179
d	d̥	0.167
s	z̥	0.159
w	-	0.147
ˈu	ˈə	0.143
ˈu	-	0.143
ˈe	ˈɛː	0.143
ˈe	ˈiː	0.143
ˈe	ˈiə̯	0.143
p	pʰ	0.143
p	p	0.143
j	k	0.143
ˈɔː	ˈi	0.125
ˈu	ˈuː	0.119
ˈi	ˈæːɪ̯	0.115
ˈi	-	0.115
ˈe	ˈe	0.107
i	ə	0.105
i	ɐ	0.105
ˈɑ	ˈuə̯	0.1
ˈɑ	-	0.1
w	ˈɜɪ̯	0.088
ɑ̃_#>	n_#>	0.083
x	ɕ	0.083
x	-	0.083
ˈi	ˈɑɪ̯	0.077
ˈi	ˈiː	0.077
θ	-	0.071
ˈu	ˈɔ	0.071
ˈu	ˈu	0.071
ˈe	ˈɛ	0.071
ɸ	ə_f	0.071
m	n	0.069
s	-	0.068
n	-	0.052
