Russian	Čakavian	probability
b	b	1.0
d	d	1.0
dʲ	d	1.0
k	k	1.0
kʲ	-	1.0
lʲ	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
sʲ	s	1.0
t	t	1.0
v	ʋ	1.0
vʲ	ʋ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɡ	ɡ	1.0
ɨ	-	1.0
ʂ	ʃ	1.0
ʊ	uː	1.0
ʐ	ʒ	1.0
ˈu	ûː	1.0
ˈɨ	î	1.0
ˈɵ	-	1.0
j	-	0.681
nʲ	ɲ	0.071
ɐ	aː	0.091
ɐ	-	0.121
ɐ	ô	0.301
ˈe	ê	0.191
mʲ	n	0.142
r	r	0.952
tʲ	t	0.682
ˈe	î	0.492
ˈo	â	0.132
ˈo	-	0.2
ɪ	ê	0.053
ɪ	-	0.173
ɫ	-	0.243
ˈi	i	0.443
ɪ	a	0.304
ɪ	e	0.374
ʨ	ʧ	0.834
ˈo	ô	0.374
s	<#_j	0.055
s	s	0.945
ˈa	a	0.175
ˈa	â	0.825
ə	e	0.146
ʨ	c	0.166
ɐ	o	0.487
ə	âː	0.067
ˈo	ôː	0.237
mʲ	m	0.858
tʲ	t_i	0.318
ə	o	0.378
ɫ	l	0.598
ˈe	îː	0.178
ˈi	î	0.388
ˈo	ǎː	0.058
j	j	0.319
nʲ	n	0.929
ə	a	0.409
ɪ	eː	0.069
ɫ	ǔː	0.159
ʦ	ʦ	0.99
ˈe	-	0.139
ˈi	îː	0.169
