Occitan	Old French	probability
<#	<#_w	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_w	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈa_w	<#_ˈɔ	1.0
a_β	ə_v	1.0
b	-	1.0
d_ɾ	d_r	1.0
e_n	ə_n	1.0
e_r	ɛ_r	1.0
j_#>	j_#>	1.0
j_ˈɛ	ˈi	1.0
k	j	1.0
k_ɔ	ʧ_ə	1.0
l	l	1.0
l_ˈa	l_ˈã	1.0
lː	l	1.0
m_#>	m_#>	1.0
n	n	1.0
n_#>	n_t	1.0
p	-	1.0
r	r	1.0
r_#>	r_#>	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
u_n	ũ_n	1.0
w_t	w_t	1.0
w_ɾ	v_r	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɛ	ˈy_j	1.0
ɲ	ɲ	1.0
ɾ	r	1.0
ɾ_e	r	1.0
ʎ	ʎ	1.0
ʤ_e	ʤ_ə	1.0
ʦ_#>	j_s	1.0
ʧ	-	1.0
ʧ_#>	t_#>	1.0
ˈa_j	ˈɛ	1.0
ˈa_w	ˈɔ	1.0
ˈa_ʦ	ˈa_j	1.0
ˈa_β	ˈa	1.0
ˈe_j	o_j	1.0
ˈu_n	ˈũ_n	1.0
ˈu_t	ˈu_t	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_n	ˈẽ_n	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_ʦ	ˈi_s	1.0
a	a_j	0.111
e	ə	0.421
j	j	0.231
l_#>	l_#>	0.741
s	j	0.111
s	s	0.611
t	-	0.111
ð	-	0.571
ˈa	ˈɛ	0.071
ˈu	ˈũ	0.31
ˈɛ	ˈe	0.111
<#_s	<#_s	0.722
ˈe	ˈi	0.062
ˈɔ	w_ˈɛ	0.2
#>	n_#>	0.293
#>	ə_#>	0.293
<#_k	<#_k	0.553
e	-	0.263
m	-	0.143
t_#>	t_#>	0.833
u	-	0.143
ʤ	-	0.333
ˈa	ˈa	0.3
ˈɔ	ˈũ	0.133
ˈɔ	ˈu	0.133
i	-	0.4
ˈe	ˈe	0.094
ˈi	ˈi	0.714
ˈu	ˈu	0.414
β	b	0.4
<#_a	<#_ã	0.25
<#_a	<#_a	0.375
<#_a	<#_ɔ	0.375
<#_ˈa	<#_ˈa	0.5
<#_ˈa	<#_ˈã	0.5
e	e	0.105
e	j	0.105
e	ɔ	0.105
e_#>	r_ə	0.25
e_#>	ə	0.75
w	j	0.25
w	-	0.75
w_#>	w_#>	0.25
w_#>	f_#>	0.75
ˈe	ˈɛ	0.125
ˈe	ˈɔ_j	0.375
ˈy	ˈỹ	0.235
ˈɛ	ˈẽ	0.185
ˈɛ	j_ˈɛ	0.185
#>	r_#>	0.366
a	a	0.556
i	i	0.6
z	j_z	0.286
z	z	0.286
ɣ	j	0.286
ɣ	-	0.286
ˈa	ˈã	0.086
ˈa	ˈã_j	0.186
ˈe	ˈɔ	0.156
ˈi	ˈĩ	0.286
β	v	0.6
<#_k	<#_ʧ	0.447
a	ə	0.167
a	ã	0.167
k_#>	j_#>	0.167
k_#>	#>	0.417
k_#>	k_#>	0.417
m	m	0.857
t_#>	θ_#>	0.167
u	u	0.857
ʤ	j	0.667
ˈa	j_ˈɛ	0.057
ˈa	ˈe	0.257
ˈy	ˈy	0.647
ˈɔ	ˈɔ	0.267
ˈɔ	ˈɛ	0.267
<#_s	<#_ʦ	0.278
s	ʦ	0.278
ɔ_#>	ə_#>	0.958
ˈe	ˈẽ	0.188
ˈy	ˈõ_j	0.118
j	-	0.769
l_#>	ʎ_#>	0.259
t	t	0.889
z	-	0.429
ð	j	0.429
ɣ	ɡ	0.429
ˈu	ˈɔ	0.069
ˈu	ˈy	0.069
ˈu	ˈe	0.069
ˈu	ˈɛ	0.069
ˈɛ	ˈɛ	0.519
