Bellunese	Sicilian	probability
f	f	1.0
p	p	1.0
w	w	1.0
z	ɕ	1.0
ɲ	ɲː	1.0
ʧ	cː	1.0
ˈɛ	ˈɛ	1.0
b	b	0.851
d	d	0.411
n	nː	0.21
s	sː_ʊ	0.051
t	tː_ɪ	0.121
ɡ	ɡ	0.341
ˈa	ˈa	0.951
ˈe	ˈɛ	0.191
ˈi	ɪ	0.111
t	t_ɪ	0.102
t	t	0.542
ð	ʤ	0.212
ŋ	n_ɪ	0.172
ŋ	n	0.252
θ	-	0.302
d	-	0.053
i	i	0.583
j	j	0.43
m	mː	0.13
v	v	0.813
ŋ	n_ʊ	0.293
ɡ	k	0.53
ˈo	ˈu	0.513
ˈu	<#_a	0.133
e	-	0.074
j	-	0.4
k	kː	0.144
l	ɖː_ʊ	0.284
n	n	0.724
o	ɪ	0.05
o	o	0.05
r	r	0.065
r	ɾ_ɪ	0.25
s	ʃ	0.15
ŋ	ŋ	0.225
ˈɔ	ˈa_w	0.105
ˈɔ	ˈɔ	0.895
k	k	0.856
l	ɖː	0.136
r	ɽ	0.06
r	ɾ	0.366
v	p	0.166
θ	ɕ	0.676
a	a	0.947
i	ɪ	0.417
j	ɟː	0.17
l	l	0.37
m	m	0.87
o	ʊ	0.707
s	ʃː	0.207
t	tː_ʊ	0.127
ˈu	ˈu	0.867
d	ɾ	0.148
e	i	0.168
e	ɪ	0.758
n	-	0.058
o	u	0.158
s	s	0.548
t	tː	0.088
ð	j	0.788
ˈo	ˈo	0.08
ˈo	ˈɔ	0.408
b	v	0.149
d	t	0.389
l	l_ʊ	0.069
l	-	0.09
r	r_ɪ	0.169
ɡ	-	0.129
ˈe	ˈi	0.809
ˈi	ˈi	0.889
