Bellunese	Latin	probability
ʤ	ɡ	1.0
d	d	0.711
e	ɛ̃ː	0.171
j	-	0.051
k	kː	0.101
m	mː	0.061
n	nː	0.061
p	p	0.901
s	sː	0.101
ɡ	ɡ	0.231
ʧ	t	0.211
ˈi	ˈi	0.071
ˈi	ˈiː	0.741
ˈo	ˈɔ	0.381
ˈu	uː	0.051
ˈɔ	ɔ	0.051
ˈɔ	ˈau̯	0.211
a	aː	0.082
a	ãː	0.72
k	k	0.822
l	lʲː	0.382
r	r	0.842
w	ɫ	0.072
ɲ	n	0.672
f	f	0.963
s	s	0.773
z	t	0.053
z	k	0.303
ŋ	ˈɪ_n	0.063
ˈu	ˈʊ	0.223
a	-	0.084
d	t	0.264
i	ˈiː	0.14
i	iː	0.734
k	kʷ	0.054
l	ɫ	0.44
n	n	0.874
o	ʊ̃ː	0.34
s	-	0.114
t	t	0.624
u	ʊ̃ː	0.194
ʧ	k	0.634
ˈo	ˈoː	0.314
b	-	0.055
b	b	0.945
j	ɡ_ɫ	0.085
j	lʲ_i	0.15
j	ɫ	0.345
l	l	0.075
o	ɔ	0.175
p	-	0.055
t	d	0.085
v	p	0.135
ŋ	ŋ	0.225
ɡ	k	0.685
ʧ	l	0.155
ˈi	ˈyː	0.085
θ	kʷ	0.15
θ	k	0.575
e	ɪ	0.236
e	ɛ	0.406
j	t	0.056
j	l	0.076
r	ɛ_r	0.056
t	p_t	0.096
t	k_t	0.116
z	s	0.526
ˈa	ˈa	0.436
ˈi	iː	0.06
ˈo	ˈʊ	0.216
j	i	0.137
o	oː	0.067
t	tː	0.067
u	uː	0.667
ð	j	0.057
ð	ɡ	0.887
ˈa	ˈaː	0.477
ˈɔ	ˈɔ	0.647
o	ʊ	0.188
u	ɔ	0.098
w	-	0.928
z	-	0.108
ɲ	ŋ	0.328
ˈe	ˈɛ	0.148
ˈe	ˈɪ	0.28
ˈu	ˈuː	0.68
θ	t	0.18
a	a	0.109
j	o	0.069
l	-	0.089
m	m	0.939
v	b	0.139
v	w	0.689
ŋ	-	0.069
ŋ	n	0.599
ˈe	ˈeː	0.399
ˈɛ	ˈɛ	0.839
θ	-	0.059
