Old Norse	West Flemish	probability
a	n	0.483
a	ə	0.311
a	-	0.205
b	b	0.99
c	h	0.898
c	k	0.102
cʰ	k	1.0
cː	k	1.0
d	d	0.514
d	t	0.47
f	v	0.923
f	f	0.077
h	-	0.782
h	ɦ	0.128
i	-	0.611
i	ə	0.389
j	ˈiə̯	0.519
j	-	0.187
j	ˈɛː	0.095
j	ˈeː	0.075
j	ˈɔ	0.074
k	k	0.92
kʰ	k	0.806
kʰ	v	0.194
kː	k	1.0
l	l	0.554
l	w	0.224
l	-	0.116
l	ə_l	0.106
lː	l	0.461
lː	t	0.371
lː	w	0.168
l̥	l	1.0
m	m	0.977
mː	m	0.662
mː	v	0.338
n	n	0.882
n	-	0.08
nː	n	0.892
nː	-	0.108
p	p	1.0
pː	p	1.0
r	-	0.565
r	ɾ	0.409
rː	ɾ	0.963
r̥	ɾ	0.896
r̥	-	0.104
s	z	0.528
s	s	0.356
s	ʃ	0.097
sː	s	1.0
t	t	1.0
tʰ	t	0.94
tʰ	b	0.06
tː	h	0.95
tː	t	0.05
u	-	0.378
u	ə	0.361
u	ɪ	0.26
v	ʋ	0.511
v	v	0.23
v	f	0.152
v	s	0.052
ð	t	0.52
ð	-	0.348
ð	d	0.132
ŋ	ŋ	0.777
ŋ	n	0.123
ŋ	-	0.1
ɑ	n	0.603
ɑ	ə	0.369
ɑː	iə̯	1.0
ɟ	ɦ	0.747
ɟ	j	0.205
ɟː	ɦ	1.0
ɡ	-	0.437
ɡ	ɦ	0.409
ɡ	k	0.154
ɡː	-	0.511
ɡː	ɦ	0.261
ɡː	k	0.228
ɣ	h	0.54
ɣ	ɦ	0.369
ɣ	ç	0.091
ʝː	ɦ	1.0
ʦ	t	1.0
ˈa	ˈɑ	0.732
ˈa	ˈɒː	0.268
ˈe	ˈɒː	0.316
ˈe	ˈeː	0.294
ˈe	ˈæ	0.2
ˈe	ˈɛ	0.102
ˈeː	ˈi	0.74
ˈeː	ˈæ	0.155
ˈeː	ˈiə̯	0.07
ˈi	ˈɪ	0.596
ˈi	ˈæ	0.144
ˈi	ˈœ	0.11
ˈi	ˈeː	0.089
ˈi	ˈɛ	0.06
ˈiː	ˈi	0.614
ˈiː	ˈiə̯	0.205
ˈiː	ˈɛ	0.079
ˈiː	ˈɪ	0.075
ˈo	ˈoː	0.699
ˈo	ˈɔ	0.155
ˈo	ˈøː	0.119
ˈoː	-	0.339
ˈoː	ˈuə̯	0.275
ˈoː	ˈu	0.103
ˈoː	ˈœ	0.102
ˈoː	w	0.091
ˈu	ˈu	0.445
ˈu	ˈɔ	0.19
ˈu	ˈɪ	0.085
ˈu	ˈɛː	0.08
ˈuː	-	0.498
ˈuː	ˈyː	0.41
ˈuː	ˈoː	0.059
ˈy	ˈoː	0.254
ˈy	ˈœ	0.224
ˈy	ˈɪ	0.207
ˈy	ˈøː	0.138
ˈy	ˈɔ	0.101
ˈy	ˈiə̯	0.076
ˈyː	ˈiə̯	0.879
ˈyː	ˈuə̯	0.107
ˈøy̯	ˈoː	1.0
ˈøː	ˈuə̯	1.0
ˈɑ	ˈɑ	0.522
ˈɑ	ˈɒː	0.214
ˈɑ	ˈæ	0.101
ˈɑ	ˈu	0.08
ˈɑu̯	ˈoː	0.913
ˈɑu̯	-	0.087
ˈɑː	ˈɒː	0.434
ˈɑː	ˈɑ	0.271
ˈɑː	-	0.2
ˈɒu̯	ɾ	0.764
ˈɒu̯	ˈoː	0.236
ˈɔ	ˈɑ	0.483
ˈɔ	-	0.375
ˈɔ	ˈɪ	0.064
ˈɔː	ˈuə̯	1.0
ˈɛ	ˈiə̯	0.23
ˈɛ	ˈɑ	0.228
ˈɛ	ˈɛː	0.176
ˈɛ	ˈøː	0.108
ˈɛ	ˈɛ	0.105
ˈɛ	ˈæ	0.079
ˈɛ	ˈeː	0.074
ˈɛi̯	ˈɛː	0.735
ˈɛi̯	ˈeː	0.143
ˈɛi̯	ˈɪ	0.073
ˈɛː	ˈɛː	0.511
ˈɛː	ˈɑ	0.489
θ	d	1.0
