Asturian	Asturian	probability
θ_a	s_a	1.0
β_ˈa	β_ˈa	1.0
β_e_#>	w_#>	1.0
ˈu	ˈu	1.0
ˈo_t	ˈa_t	1.0
ˈe_s	ˈe_s	1.0
ˈe_#>	ˈe_#>	1.0
ˈa	ˈa	1.0
ʧ_e_#>	j_#>	1.0
ʧ	j_t	1.0
ʎ_ˈe	l_ˈe	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_n	ɾ_n	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	ʝ	1.0
ŋ_#>	n_#>	1.0
ŋ	ŋ	1.0
ð_ɾ	j	1.0
w_ˈa	w_ˈa	1.0
u_#>	#>	1.0
t_e_#>	#>	1.0
t_a	t_a	1.0
t	t	1.0
s_#>	s_#>	1.0
r	r	1.0
p	p	1.0
o_ɾ	o_ɾ	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j	j	1.0
f	f	1.0
e_n	e_n	1.0
e_#>	#>	1.0
d	d	1.0
b_ˈe	b_ˈe	1.0
b_ˈa	b_ˈa	1.0
b	b	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ_w	<#_w	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
#>	t_#>	1.0
a	a	0.973
s	s	0.972
n	n	0.947
ˈi	ˈi	0.935
θ	θ	0.929
β	β	0.917
ˈe	ˈe	0.917
w	w	0.909
u	o	0.902
ð	ð	0.867
ʝ	ʎ	0.857
o	o	0.824
ɲ	ɲ	0.778
e	e	0.714
ˈo	ˈo	0.692
ʎ	l	0.679
ʃ	ʧ	0.636
i	i	0.5
<#	<#_p	0.429
<#	<#_ʧ	0.286
<#	<#_a	0.286
ʎ	ʎ	0.25
i	e	0.25
i	-	0.25
ɲ	-	0.222
ˈo	w_ˈe	0.205
ʃ	ʃ	0.182
ʃ	-	0.182
o	u	0.176
e	ɾ_e	0.171
ʝ	ð	0.143
ð	ʝ	0.133
e	i	0.114
ˈo	ˈu	0.103
w	ˈo	0.091
β	-	0.083
θ	j_ʃ	0.071
ʎ	k_l	0.071
ˈi	-	0.065
u	u	0.061
n	-	0.053
