West Frisian	Old Frisian	probability
ˈɪə̯_r	ˈe_r	1.0
ˈɪ_n	ˈe_nː	1.0
ˈɛ_t	ˈe_t	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈi̯uː	1.0
ˈø	ˈeː	1.0
ˈy	-	1.0
ˈu̯o	ˈeː	1.0
ˈu	ˈu	1.0
ˈeː	-	1.0
ˈai̯	ˈa	1.0
ɡ	ɡ	1.0
ə_n	ə_n	1.0
ɕ	s_j	1.0
ŋ	ŋ	1.0
s_ˈɪ	s_ˈi	1.0
s_l	s_l	1.0
k	k	1.0
j_ˈɪ	ˈi̯aː	1.0
j_ə	ə	1.0
h	h	1.0
f	f	1.0
b	b	1.0
s	s	0.974
m	m	0.952
r	r	0.945
l	l	0.939
p	p	0.928
n	n	0.865
ʋ	w	0.859
d	d	0.828
ə	ə	0.806
d̥	d	0.766
χ	x	0.762
v	w	0.751
t	t	0.742
ˈuː	ˈuː	0.686
ɪ	iː	0.684
ɣ	ɣ	0.674
ˈɔː	ˈɔː	0.624
ˈuə̯	ˈoː	0.572
ˈɛ	ˈe	0.566
z	z	0.562
ˈɛː	ˈe	0.529
ˈɪə̯	ˈaː	0.506
ˈɛi̯	ˈe_j	0.5
ˈiː	ˈiː	0.482
ˈɛː	ˈeː_r	0.471
ˈi	ˈi	0.469
ˈiə̯	ˈeː	0.463
ˈɪ	ˈi	0.456
z	ʣ	0.438
ˈɛ	-	0.434
ˈuə̯	-	0.428
ˈaː	ˈa	0.422
j	j	0.41
ˈɔ	ˈu	0.409
ʦ	-	0.395
ˈiː	ˈi	0.379
ˈoə̯	ˈɔː_r	0.377
ˈɔː	ˈa_l	0.376
ˈa	ˈa	0.372
ˈi	ˈiː	0.348
j	-	0.345
ˈa	ˈɔː	0.343
ˈɔ	ˈo	0.334
ɣ	ɡː	0.326
ˈaː	ˈe	0.325
ˈiə̯	ˈɛː	0.316
ɪ	i	0.316
ˈuː	-	0.314
ʦ	θ	0.303
ʦ	ʦ	0.303
ˈɛi̯	-	0.295
ˈa	ˈe	0.285
d̥	θ	0.234
ˈiə̯	ˈi̯aː	0.221
ˈɪ	ˈe	0.218
ˈɛi̯	ˈe	0.205
ˈoə̯	ˈo	0.198
ˈɔ	-	0.196
ˈɪə̯	ˈi̯aː	0.189
ˈi	ˈeː	0.183
ˈoə̯	ˈɔː	0.181
v	v	0.179
ˈɪə̯	ˈɛː	0.177
t	θ	0.171
j	ˈiː	0.15
ˈɪ	ˈɛː	0.146
ˈaː	-	0.144
ˈoə̯	-	0.142
ʋ	h_w	0.141
ˈiː	ˈi̯aː	0.138
χ	ɡː	0.135
ˈɪə̯	ˈa	0.128
ˈaː	ˈeː	0.109
χ	ɣ_ə	0.103
ˈoə̯	ˈo_r	0.102
ˈɪ	-	0.097
j	ˈi̯uː	0.095
ˈɪ	ˈu	0.083
d	ð	0.076
p	pː	0.072
v	bː	0.07
ə	-	0.065
ˈɔ	ˈe	0.06
n	-	0.059
d	θ	0.059
r	ə_r	0.055
ə	ɡ_ə	0.054
