East Franconian	Middle English	probability
β	v	1.0
ˈʊ_n	ˈuː	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈaː	1.0
ˈɒ_x	ˈi_ç	1.0
ˈiː_ɐ	ˈeː	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɪ	iː	1.0
ɣ̊	x	1.0
ɣ	ˈæi̯	1.0
ə	ˈiː_ə	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	r_n	1.0
ç_d̥	ç_t	1.0
ç	x	1.0
x_d̥	x_t	1.0
x	k	1.0
v̥	p_ə	1.0
v_ˈɒ	w	1.0
n_d̥	n_d	1.0
l_n	l_ə	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
eː	eː	1.0
d̥_ˈɪ	θ_ˈi	1.0
b̥͡v̥	p	1.0
a	ə	1.0
b̥	b	0.977
v	w	0.93
r	r	0.907
m	m	0.847
ˈʊ	ˈu	0.791
ˈaʊ̯	ˈuː	0.773
ʃ	ʃ	0.763
z̥	t_ə	0.754
f	f	0.709
ˈɛ	ˈɛ	0.688
d̥	d	0.685
s	s	0.664
n	n	0.659
ɐ	r	0.613
ˈɪ	ˈi	0.611
ˈaɪ̯	ˈiː	0.594
ɾ	d_ə	0.574
ˈaː	ˈɔː	0.572
ɡ̊_n	ʤ_ə	0.564
l	l	0.528
ˈuː	ˈoː	0.495
ɡ̊	ɡ	0.486
ɡ̊_n	ʤ	0.436
ɾ	ð	0.426
ˈiː	ˈeː	0.38
ˈoː	-	0.376
ˈɔ	ˈɔ	0.374
ˈeː	ˈi	0.365
l	ɫ	0.361
ˈɒ	ˈa	0.36
ɡ̊	k	0.352
s	t	0.336
ˈɒ	ˈɔː	0.332
ŋ	n	0.317
ˈaː	ˈɛː	0.315
ˈɔ	ˈu	0.312
ˈuː	ˈɛː	0.294
ˈɪ	ˈiː	0.291
ˈoː	ˈɛː	0.273
ŋ	ŋ_ɡ	0.267
d̥	θ	0.26
ˈaɪ̯	ˈeː	0.254
z̥	z	0.246
ʃ	s	0.237
ˈaʊ̯	-	0.227
ˈeː	ˈɛ	0.223
ˈeː	ˈæi̯	0.223
ŋ	n_ɡ	0.221
ˈuː	-	0.212
n	ə	0.21
ɐ	ə_r	0.194
ɐ	r_ə	0.192
ˈeː	ˈɛː	0.19
ˈɔ	-	0.188
ˈoː	ˈæi̯	0.188
ˈiː	ˈiː_ə	0.172
ˈoː	ˈa	0.163
ˈɒ	ˈaː	0.16
m	v	0.153
ˈʊ	-	0.144
ŋ	k_ə	0.129
ˈɔ	ˈa	0.125
f	p	0.125
ˈiː	-	0.119
ˈɛ	ˈu	0.114
ˈaː	-	0.113
l	l_ə	0.111
ɡ̊	j	0.102
ˈɪ	-	0.097
ˈɒ	-	0.096
ˈiː	ˈɛː	0.094
ˈiː	ˈɔu̯	0.094
r	r_ˈeː	0.093
f	v	0.092
ˈiː	ˈi	0.087
ˈaɪ̯	-	0.077
ˈaɪ̯	ˈi	0.076
n	n_d	0.076
f	p_ə	0.074
v	ʍ	0.07
ˈɛ	-	0.067
ˈɛ	ˈi	0.066
ˈʊ	ˈɔ	0.065
ˈɛ	ˈɛː	0.065
ŋ	ə_n	0.065
ɡ̊	-	0.06
n	ˈoː	0.056
d̥	t	0.056
ˈiː	ˈiː	0.054
